Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,74.5,69.1,73.12,75.76
s002,72.02,78.38,70.2,69.72
s003,85.06,88.24,69.32,74.72
s004,69.62,78.5,62.5,78.5
s005,79.72,72.04,74.06,72.42
s006,75.02,76.22,69.96,79.52
s007,80.42,72.36,67.68,66.9
s008,83.74,77.18,65.78,78.02
s009,70.36,76.44,67.96,67.72
s010,75.34,74.68,78.24,79.52
s011,78.86,74.76,73.04,71.32
s012,79.8,70.84,69.52,77.24
s013,77.28,73.44,74.02,79.92
s014,71.8,80.76,73.3,66.74
s015,66.02,73.84,63.36,72.62
s016,85.24,76.12,65.72,73.64
s017,72.98,76.8,61.82,77.24
s018,77.52,79.86,66.82,71.82
s019,76.26,71.42,68.22,80.26
s020,76.12,79.0,84.14,68.72
s021,84.34,73.4,67.18,79.16
s022,77.42,70.52,68.12,75.44
s023,67.6,70.16,80.16,74.38
s024,75.72,74.98,58.32,74.02
s025,84.48,80.82,71.0,75.12
s026,79.08,73.92,65.34,76.22
s027,76.22,72.46,78.4,70.8
s028,75.22,79.18,79.12,71.66
s029,76.6,75.4,55.62,60.52
s030,61.58,77.82,72.84,67.26
s031,75.76,77.56,72.5,73.04
s032,75.9,72.72,76.2,71.8
s033,67.44,79.28,68.02,70.42
s034,75.86,77.18,77.66,76.44
s035,74.78,76.38,74.68,72.68
s036,70.2,75.48,72.0,75.8
s037,68.06,76.12,69.08,67.18
s038,70.02,77.16,73.24,71.48
s039,78.9,75.2,63.28,68.88
s040,76.8,74.92,61.84,65.12
s041,82.7,75.46,66.82,72.4
s042,78.42,74.6,70.46,76.82
s043,70.98,80.98,69.14,68.68
s044,68.12,73.9,64.3,76.28
s045,83.16,72.98,71.8,70.92
s046,72.38,79.42,75.58,75.26
s047,70.24,78.68,71.98,74.94
s048,75.08,71.88,71.76,64.76
s049,76.18,76.14,79.78,76.04
s050,73.78,76.26,69.98,64.42
