Subject,bot,hum
s001,71.8,74.44
s002,75.2,69.96
s003,86.65,72.02
s004,74.06,70.5
s005,75.88,73.24
s006,75.62,74.74
s007,76.39,67.29
s008,80.46,71.9
s009,73.4,67.84
s010,75.01,78.88
s011,76.81,72.18
s012,75.32,73.38
s013,75.36,76.97
s014,76.28,70.02
s015,69.93,67.99
s016,80.68,69.68
s017,74.89,69.53
s018,78.69,69.32
s019,73.84,74.24
s020,77.56,76.43
s021,78.87,73.17
s022,73.97,71.78
s023,68.88,77.27
s024,75.35,66.17
s025,82.65,73.06
s026,76.5,70.78
s027,74.34,74.6
s028,77.2,75.39
s029,76.0,58.07
s030,69.7,70.05
s031,76.66,72.77
s032,74.31,74.0
s033,73.36,69.22
s034,76.52,77.05
s035,75.58,73.68
s036,72.84,73.9
s037,72.09,68.13
s038,73.59,72.36
s039,77.05,66.08
s040,75.86,63.48
s041,79.08,69.61
s042,76.51,73.64
s043,75.98,68.91
s044,71.01,70.29
s045,78.07,71.36
s046,75.9,75.42
s047,74.46,73.46
s048,73.48,68.26
s049,76.16,77.91
s050,75.02,67.2
