Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,59.42,60.96,50.44,57.98
s002,60.06,58.66,51.52,43.98
s003,51.08,60.42,49.64,53.68
s004,68.1,56.72,39.22,49.1
s005,56.08,58.8,50.96,63.18
s006,66.88,62.98,51.62,57.1
s007,60.92,60.98,58.58,60.94
s008,56.62,59.0,50.42,53.44
s009,61.66,74.58,65.82,53.0
s010,55.46,62.56,56.1,61.52
s011,63.54,55.46,49.54,60.06
s012,67.46,61.26,56.7,59.78
s013,63.56,56.46,52.98,57.96
s014,52.84,57.1,59.16,57.06
s015,57.48,63.92,51.74,50.86
s016,61.68,59.4,51.54,54.12
s017,62.94,58.64,46.66,56.54
s018,61.3,64.08,48.86,49.42
s019,74.84,63.28,59.16,48.9
s020,55.9,57.7,58.4,61.62
s021,77.64,60.12,44.92,62.3
s022,73.32,60.3,49.74,58.9
s023,60.04,54.34,54.3,52.58
s024,59.58,53.98,56.54,56.64
s025,64.94,63.06,45.66,49.64
s026,55.02,63.88,62.4,55.92
s027,51.62,65.6,55.6,52.26
s028,59.42,62.64,54.44,49.5
s029,62.36,59.28,49.46,47.52
s030,57.58,63.56,51.12,55.16
s031,63.1,62.3,50.78,58.0
s032,57.56,60.66,45.76,56.12
s033,64.28,67.46,42.46,55.78
s034,69.4,62.38,49.46,54.04
s035,62.54,59.18,53.34,60.74
s036,56.34,58.5,56.36,66.18
s037,58.4,60.06,52.74,73.06
s038,57.44,48.24,60.28,57.76
s039,63.24,63.86,45.92,53.56
s040,56.42,62.24,50.02,51.62
s041,59.68,65.5,51.86,56.64
s042,61.52,62.7,47.62,50.72
s043,67.9,67.32,61.08,64.18
s044,71.44,61.64,48.08,59.34
s045,70.68,62.1,59.36,54.16
s046,54.3,54.36,57.8,56.86
s047,60.84,57.1,59.48,53.68
s048,64.38,63.18,54.32,57.34
s049,50.68,65.24,62.3,59.4
s050,71.88,65.3,51.82,54.16
