Subject,bot,hum
s001,1.38,1.76
s002,1.63,1.79
s003,1.41,1.36
s004,1.15,1.67
s005,1.29,1.49
s006,1.28,1.78
s007,1.59,1.26
s008,1.38,1.69
s009,1.43,1.2
s010,1.35,1.59
s011,1.12,1.39
s012,1.16,1.62
s013,1.38,1.53
s014,1.41,1.71
s015,1.13,1.5
s016,1.32,1.3
s017,1.74,1.56
s018,1.16,1.52
s019,1.49,1.57
s020,1.24,1.69
s021,1.4,1.71
s022,1.31,1.86
s023,1.03,1.87
s024,1.04,1.73
s025,1.52,1.52
s026,1.29,1.57
s027,1.04,1.6
s028,1.37,1.61
s029,1.24,1.49
s030,1.22,1.67
s031,1.26,1.78
s032,1.47,1.45
s033,1.36,1.44
s034,1.43,1.43
s035,1.6,1.64
s036,1.59,1.59
s037,1.36,1.69
s038,1.68,1.53
s039,1.61,1.46
s040,1.41,1.5
s041,1.53,1.57
s042,1.17,1.57
s043,1.19,1.43
s044,1.36,1.42
s045,1.51,1.3
s046,1.63,1.28
s047,1.46,1.58
s048,1.38,1.42
s049,1.21,1.81
s050,1.39,1.21
