layer,reading_best_acc,reading_final_acc,reading_train_acc,control_best_acc,control_final_acc,control_train_acc,diff_best_acc,z_stat,p_raw,p_fdr,sig_fdr_05,layer_group
0,0.5600,0.5600,0.5656,0.5425,0.5350,0.5656,0.0175,0.4976,0.6188,0.9635,0,early
1,0.5625,0.5550,0.5569,0.5575,0.5425,0.5569,0.0050,0.1425,0.8867,0.9635,0,early
2,0.5625,0.5450,0.5744,0.5350,0.5350,0.5625,0.0275,0.7815,0.4345,0.9635,0,early
3,0.5500,0.5425,0.6219,0.5400,0.5300,0.5906,0.0100,0.2840,0.7764,0.9635,0,early
4,0.5500,0.5250,0.6556,0.5400,0.5175,0.6569,0.0100,0.2840,0.7764,0.9635,0,early
5,0.5375,0.5175,0.7075,0.5650,0.5450,0.7081,-0.0275,-0.7819,0.4343,0.9635,0,early
6,0.5575,0.5375,0.7206,0.5675,0.5650,0.7606,-0.0100,-0.2851,0.7756,0.9635,0,early
7,0.5600,0.5450,0.7325,0.6000,0.6000,0.8137,-0.0400,-1.1461,0.2517,0.9635,0,early
8,0.5975,0.5900,0.7794,0.6675,0.6550,0.8731,-0.0700,-2.0533,0.0400,0.9635,0,early
9,0.6450,0.6325,0.8531,0.6850,0.6575,0.8894,-0.0400,-1.1985,0.2307,0.9635,0,early
10,0.6550,0.6275,0.8600,0.6750,0.6525,0.8962,-0.0200,-0.5993,0.5490,0.9635,0,early
11,0.6425,0.6375,0.8831,0.6625,0.6425,0.9062,-0.0200,-0.5940,0.5525,0.9635,0,early
12,0.6475,0.6425,0.9000,0.6600,0.6475,0.9119,-0.0125,-0.3716,0.7102,0.9635,0,early
13,0.6725,0.6675,0.9350,0.6700,0.6600,0.9094,0.0025,0.0753,0.9400,0.9635,0,early
14,0.6775,0.6700,0.9469,0.6550,0.6525,0.9413,0.0225,0.6748,0.4998,0.9635,0,middle
15,0.7025,0.6925,0.9500,0.6750,0.6700,0.9494,0.0275,0.8400,0.4009,0.9635,0,middle
16,0.7125,0.7100,0.9544,0.7000,0.6975,0.9712,0.0125,0.3881,0.6979,0.9635,0,middle
17,0.6925,0.6925,0.9600,0.6900,0.6875,0.9681,0.0025,0.0765,0.9390,0.9635,0,middle
18,0.6900,0.6825,0.9581,0.6750,0.6625,0.9725,0.0150,0.4557,0.6486,0.9635,0,middle
19,0.6600,0.6550,0.9750,0.7025,0.6850,0.9625,-0.0425,-1.2898,0.1971,0.9635,0,middle
20,0.6825,0.6725,0.9769,0.6650,0.6575,0.9731,0.0175,0.5279,0.5976,0.9635,0,middle
21,0.6875,0.6825,0.9775,0.6850,0.6775,0.9875,0.0025,0.0762,0.9393,0.9635,0,middle
22,0.6900,0.6875,0.9900,0.6775,0.6700,0.9888,0.0125,0.3802,0.7038,0.9635,0,middle
23,0.6900,0.6825,0.9844,0.7175,0.7150,0.9912,-0.0275,-0.8517,0.3944,0.9635,0,middle
24,0.6775,0.6650,0.9875,0.6925,0.6900,0.9894,-0.0150,-0.4567,0.6479,0.9635,0,middle
25,0.6925,0.6875,0.9919,0.7175,0.7150,0.9912,-0.0250,-0.7753,0.4382,0.9635,0,middle
26,0.6875,0.6875,0.9925,0.7025,0.7025,0.9931,-0.0150,-0.4607,0.6450,0.9635,0,middle
27,0.7100,0.7100,0.9906,0.7025,0.7025,0.9950,0.0075,0.2329,0.8159,0.9635,0,middle
28,0.7000,0.6925,0.9906,0.7025,0.6975,0.9962,-0.0025,-0.0772,0.9384,0.9635,0,late
29,0.7125,0.7050,0.9925,0.7000,0.6875,0.9969,0.0125,0.3881,0.6979,0.9635,0,late
30,0.7125,0.7050,0.9844,0.6900,0.6875,0.9962,0.0225,0.6952,0.4869,0.9635,0,late
31,0.6950,0.6875,0.9925,0.7100,0.6975,0.9969,-0.0150,-0.4640,0.6426,0.9635,0,late
32,0.7150,0.7150,0.9925,0.7150,0.7075,0.9962,0.0000,0.0000,1.0000,1.0000,0,late
33,0.7000,0.6925,0.9950,0.7075,0.7025,0.9969,-0.0075,-0.2323,0.8163,0.9635,0,late
34,0.7025,0.6850,0.9950,0.7000,0.6950,0.9975,0.0025,0.0772,0.9384,0.9635,0,late
35,0.6700,0.6625,0.9962,0.7050,0.7000,0.9994,-0.0350,-1.0679,0.2856,0.9635,0,late
36,0.7025,0.6800,0.9950,0.7325,0.7175,0.9981,-0.0300,-0.9424,0.3460,0.9635,0,late
37,0.7050,0.7000,0.9994,0.7150,0.7050,0.9994,-0.0100,-0.3117,0.7553,0.9635,0,late
38,0.6850,0.6750,0.9975,0.7125,0.7025,0.9981,-0.0275,-0.8477,0.3966,0.9635,0,late
39,0.7500,0.7425,0.9944,0.7450,0.7200,0.9988,0.0050,0.1628,0.8707,0.9635,0,late
40,0.7075,0.7075,0.9994,0.7175,0.7125,0.9988,-0.0100,-0.3125,0.7547,0.9635,0,late
