probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
operational,4,Intentions,Mental,11,Formality,Pragmatic,0.0007777278510574478,0.0002811403360223536,0.0012570370891462211,0.0,1.0,0.0,0.0,True,***
operational,4,Intentions,Mental,12,Expertise,Pragmatic,0.0012051549111835164,0.0008729175397011418,0.001539723555678362,0.0,1.0,0.0,0.0,True,***
operational,4,Intentions,Mental,13,Helpfulness,Pragmatic,0.0006906514928610261,0.00022321831186595436,0.0011577961369175162,0.004,0.996,0.008,0.021473684210526315,True,*
operational,4,Intentions,Mental,14,Biological,Control,-8.105692186549509e-05,-0.0005204706472293159,0.00035891905536613385,0.641,0.359,0.718,0.822089552238806,False,n.s.
operational,4,Intentions,Mental,15,Shapes,Control,0.0010104488252114575,0.0006308496017193299,0.0013858923896274324,0.0,1.0,0.0,0.0,True,***
operational,4,Intentions,Mental,17,Attention,Mental,0.00022761953578294772,-0.00016404702254667512,0.0006053704168579397,0.127,0.873,0.254,0.4134255319148936,False,n.s.
operational,4,Intentions,Mental,18,SysPrompt (labeled),SysPrompt,0.0009352061011871473,0.0005958698400605778,0.0012850904137439328,0.0,1.0,0.0,0.0,True,***
operational,5,Prediction,Mental,6,Cognitive,Mental,0.00025425195558687443,-0.0001965103427179455,0.0007338513432544774,0.148,0.852,0.296,0.47174999999999995,False,n.s.
operational,5,Prediction,Mental,7,Social,Mental,-0.0003243646952401835,-0.000852284537586428,0.00017011781146801687,0.888,0.112,0.224,0.3939310344827586,False,n.s.
operational,5,Prediction,Mental,8,Embodiment,Physical,-0.0001826437429123835,-0.0005634269106466237,0.00014894905695361457,0.837,0.163,0.326,0.5038181818181818,False,n.s.
operational,5,Prediction,Mental,9,Roles,Physical,-1.562806798189376e-06,-0.0004078250554658205,0.0003784016850861389,0.494,0.506,0.988,0.9879999999999999,False,n.s.
operational,5,Prediction,Mental,10,Animacy,Physical,0.0001129542301578699,-0.0002947840314211062,0.0005125394891645663,0.281,0.719,0.562,0.7015609756097559,False,n.s.
operational,5,Prediction,Mental,11,Formality,Pragmatic,0.0006387038490099872,0.00015849656561050214,0.0011282734369816262,0.004,0.996,0.008,0.021473684210526315,True,*
operational,5,Prediction,Mental,12,Expertise,Pragmatic,0.0010661309091360555,0.0007922208603759429,0.001413921812479608,0.0,1.0,0.0,0.0,True,***
operational,5,Prediction,Mental,13,Helpfulness,Pragmatic,0.0005516274908135654,5.31876539645228e-05,0.0010322566872192087,0.018,0.982,0.036,0.0860625,False,n.s.
operational,5,Prediction,Mental,14,Biological,Control,-0.00022008092391295576,-0.0006170476685019365,0.0001946345345591511,0.846,0.154,0.308,0.48581443298969074,False,n.s.
operational,5,Prediction,Mental,15,Shapes,Control,0.0008714248231639967,0.0005254981495182166,0.0012598346200214225,0.0,1.0,0.0,0.0,True,***
operational,5,Prediction,Mental,17,Attention,Mental,8.859553373548704e-05,-0.000287144961785512,0.000493923421828542,0.33,0.67,0.66,0.7827906976744187,False,n.s.
operational,5,Prediction,Mental,18,SysPrompt (labeled),SysPrompt,0.0007961820991396866,0.0005048236579437047,0.0011375495622359534,0.0,1.0,0.0,0.0,True,***
operational,6,Cognitive,Mental,7,Social,Mental,-0.0005786166508270578,-0.0011858342571559178,-7.015768714191496e-06,0.977,0.023,0.046,0.10663636363636364,False,n.s.
operational,6,Cognitive,Mental,8,Embodiment,Physical,-0.00043689569849925786,-0.0009017333075121549,1.9373736108961284e-05,0.969,0.031,0.062,0.13551428571428573,False,n.s.
operational,6,Cognitive,Mental,9,Roles,Physical,-0.0002558147623850638,-0.000791974001221941,0.0002577340606477696,0.834,0.166,0.332,0.50796,False,n.s.
operational,6,Cognitive,Mental,10,Animacy,Physical,-0.0001412977254290045,-0.0005328648496891806,0.0002697276947269225,0.763,0.237,0.474,0.641787610619469,False,n.s.
operational,6,Cognitive,Mental,11,Formality,Pragmatic,0.0003844518934231128,-4.0677320369514815e-05,0.0008431886563325821,0.05,0.95,0.1,0.20400000000000001,False,n.s.
operational,6,Cognitive,Mental,12,Expertise,Pragmatic,0.0008118789535491813,0.00050644993985106,0.0011558408901001002,0.0,1.0,0.0,0.0,True,***
operational,6,Cognitive,Mental,13,Helpfulness,Pragmatic,0.00029737553522669104,-0.00018680158255996885,0.0007609118630984159,0.115,0.885,0.23,0.3998863636363637,False,n.s.
operational,6,Cognitive,Mental,14,Biological,Control,-0.00047433287949983017,-0.0009538216213850623,3.476865748497606e-05,0.966,0.034,0.068,0.14653521126760563,False,n.s.
operational,6,Cognitive,Mental,15,Shapes,Control,0.0006171728675771223,0.00023199050493207888,0.0009863836391607902,0.001,0.999,0.002,0.006244897959183674,True,**
operational,6,Cognitive,Mental,17,Attention,Mental,-0.00016565642185138735,-0.0006276295027028213,0.00027094142552978894,0.773,0.227,0.454,0.6257837837837839,False,n.s.
operational,6,Cognitive,Mental,18,SysPrompt (labeled),SysPrompt,0.0005419301435528123,0.00022362675919422836,0.0008995378331841693,0.0,1.0,0.0,0.0,True,***
operational,7,Social,Mental,8,Embodiment,Physical,0.00014172095232780003,-0.0004245368371832105,0.0006961753470675268,0.313,0.687,0.626,0.765,False,n.s.
operational,7,Social,Mental,9,Roles,Physical,0.0003228018884419941,-0.00021982966676645376,0.0009225512813746801,0.123,0.877,0.246,0.4112903225806452,False,n.s.
operational,7,Social,Mental,10,Animacy,Physical,0.0004373189253980534,-6.507303911909616e-05,0.0009754959182732374,0.042,0.958,0.084,0.1785,False,n.s.
operational,7,Social,Mental,11,Formality,Pragmatic,0.0009630685442501706,0.00035910851981341287,0.0015859787965368038,0.0,1.0,0.0,0.0,True,***
operational,7,Social,Mental,12,Expertise,Pragmatic,0.001390495604376239,0.0009379876511403778,0.0018950693986016472,0.0,1.0,0.0,0.0,True,***
operational,7,Social,Mental,13,Helpfulness,Pragmatic,0.0008759921860537488,0.00026461119717890937,0.0014917217666465012,0.003,0.997,0.006,0.017,True,*
operational,7,Social,Mental,14,Biological,Control,0.0001042837713272277,-0.0004970217016315174,0.0007394901325094019,0.377,0.623,0.754,0.8327571428571429,False,n.s.
operational,7,Social,Mental,15,Shapes,Control,0.00119578951840418,0.0006879470574575575,0.0017159610834627075,0.0,1.0,0.0,0.0,True,***
operational,7,Social,Mental,17,Attention,Mental,0.00041296022897567054,-0.00015213485160966154,0.0009787323479667949,0.065,0.935,0.13,0.248625,False,n.s.
operational,7,Social,Mental,18,SysPrompt (labeled),SysPrompt,0.0011205467943798699,0.0006663335666135988,0.0016405598869425483,0.0,1.0,0.0,0.0,True,***
operational,8,Embodiment,Physical,9,Roles,Physical,0.00018108093611419413,-0.00028748816543380063,0.0006140635726005858,0.211,0.789,0.422,0.5923486238532111,False,n.s.
operational,8,Embodiment,Physical,10,Animacy,Physical,0.00029559797307025337,-0.00011760006455564944,0.0007141791917783998,0.059,0.941,0.118,0.23446753246753244,False,n.s.
operational,8,Embodiment,Physical,11,Formality,Pragmatic,0.0008213475919223708,0.00032221612364313816,0.001368963342584738,0.0,1.0,0.0,0.0,True,***
operational,8,Embodiment,Physical,12,Expertise,Pragmatic,0.0012487746520484391,0.0009416275090279749,0.0016266489895360116,0.0,1.0,0.0,0.0,True,***
operational,8,Embodiment,Physical,13,Helpfulness,Pragmatic,0.000734271233725949,0.0002691271612910957,0.0011856746256139286,0.003,0.997,0.006,0.017,True,*
operational,8,Embodiment,Physical,14,Biological,Control,-3.74371810005723e-05,-0.000494773973044462,0.0005056991328326928,0.57,0.43,0.86,0.8871946308724833,False,n.s.
operational,8,Embodiment,Physical,15,Shapes,Control,0.00105406856607638,0.0007090764781784784,0.001461541191688591,0.0,1.0,0.0,0.0,True,***
operational,8,Embodiment,Physical,17,Attention,Mental,0.0002712392766478705,-7.762003586609955e-05,0.0006590706403194674,0.076,0.924,0.152,0.2871111111111111,False,n.s.
operational,8,Embodiment,Physical,18,SysPrompt (labeled),SysPrompt,0.00097882584205207,0.0006635446785736331,0.001366359826637533,0.0,1.0,0.0,0.0,True,***
operational,9,Roles,Physical,10,Animacy,Physical,0.00011451703695605928,-0.0003199692641058235,0.0006048272190316225,0.326,0.674,0.652,0.77934375,False,n.s.
operational,9,Roles,Physical,11,Formality,Pragmatic,0.0006402666558081765,0.00018555168350859564,0.0011731801702719192,0.002,0.998,0.004,0.01224,True,*
operational,9,Roles,Physical,12,Expertise,Pragmatic,0.001067693715934245,0.0007558019200253303,0.0014550443538097633,0.0,1.0,0.0,0.0,True,***
operational,9,Roles,Physical,13,Helpfulness,Pragmatic,0.0005531902976117547,-8.883032050144535e-07,0.0010898276969168155,0.026,0.974,0.052,0.11699999999999999,False,n.s.
operational,9,Roles,Physical,14,Biological,Control,-0.00021851811711476644,-0.0006353397214983244,0.0002455298865669169,0.822,0.178,0.356,0.5339999999999999,False,n.s.
operational,9,Roles,Physical,15,Shapes,Control,0.0008729876299621861,0.00047920741246340414,0.0012919792552667252,0.0,1.0,0.0,0.0,True,***
operational,9,Roles,Physical,17,Attention,Mental,9.015834053367641e-05,-0.00035618017873224043,0.000539739528014777,0.356,0.644,0.712,0.822089552238806,False,n.s.
operational,9,Roles,Physical,18,SysPrompt (labeled),SysPrompt,0.000797744905937876,0.00047662725217588865,0.0011878053591844746,0.0,1.0,0.0,0.0,True,***
operational,10,Animacy,Physical,11,Formality,Pragmatic,0.0005257496188521174,0.00016340262623129213,0.0008846321410113169,0.003,0.997,0.006,0.017,True,*
operational,10,Animacy,Physical,12,Expertise,Pragmatic,0.0009531766789781857,0.0007572392081089796,0.0011806105996204747,0.0,1.0,0.0,0.0,True,***
operational,10,Animacy,Physical,13,Helpfulness,Pragmatic,0.0004386732606556954,5.134426458544512e-05,0.0007694617357308192,0.016,0.984,0.032,0.07771428571428571,False,n.s.
operational,10,Animacy,Physical,14,Biological,Control,-0.00033303515407082573,-0.0007014114666970855,2.0863321858716396e-05,0.97,0.03,0.06,0.13304347826086957,False,n.s.
operational,10,Animacy,Physical,15,Shapes,Control,0.0007584705930061268,0.0004685545638915946,0.0010210656916717427,0.0,1.0,0.0,0.0,True,***
operational,10,Animacy,Physical,17,Attention,Mental,-2.4358696422382856e-05,-0.0004034042028668497,0.00037441996712355276,0.556,0.444,0.888,0.8997615894039735,False,n.s.
operational,10,Animacy,Physical,18,SysPrompt (labeled),SysPrompt,0.0006832278689818167,0.00048516380075968457,0.0009293432747974537,0.0,1.0,0.0,0.0,True,***
operational,11,Formality,Pragmatic,12,Expertise,Pragmatic,0.0004274270601260685,0.00015703854808996688,0.0007392837590690814,0.0,1.0,0.0,0.0,True,***
operational,11,Formality,Pragmatic,13,Helpfulness,Pragmatic,-8.707635819642179e-05,-0.0006224924788815464,0.00039595493705858823,0.619,0.381,0.762,0.8327571428571429,False,n.s.
operational,11,Formality,Pragmatic,14,Biological,Control,-0.0008587847729229429,-0.0012746178724849372,-0.00043103174164714524,1.0,0.0,0.0,0.0,True,***
operational,11,Formality,Pragmatic,15,Shapes,Control,0.0002327209741540095,-0.0001442410958976212,0.0006064601184718383,0.104,0.896,0.208,0.37439999999999996,False,n.s.
operational,11,Formality,Pragmatic,17,Attention,Mental,-0.0005501083152745001,-0.001036412606053785,-7.660026588563116e-05,0.988,0.012,0.024,0.061200000000000004,False,n.s.
operational,11,Formality,Pragmatic,18,SysPrompt (labeled),SysPrompt,0.0001574782501296994,-0.00011541253887742069,0.0004668734921544933,0.16,0.84,0.32,0.4995918367346939,False,n.s.
operational,12,Expertise,Pragmatic,13,Helpfulness,Pragmatic,-0.0005145034183224904,-0.0009174810923574924,-0.0001891583219310552,1.0,0.0,0.0,0.0,True,***
operational,12,Expertise,Pragmatic,14,Biological,Control,-0.0012862118330490115,-0.001592171486934273,-0.0009775498020940803,1.0,0.0,0.0,0.0,True,***
operational,12,Expertise,Pragmatic,15,Shapes,Control,-0.000194706085972059,-0.00043276468105868653,-4.189349288540064e-05,0.996,0.004,0.008,0.021473684210526315,True,*
operational,12,Expertise,Pragmatic,17,Attention,Mental,-0.0009775353754005686,-0.0013215667861120912,-0.0006805688822752485,1.0,0.0,0.0,0.0,True,***
operational,12,Expertise,Pragmatic,18,SysPrompt (labeled),SysPrompt,-0.0002699488099963691,-0.0003462009222081514,-0.00020106931472842427,1.0,0.0,0.0,0.0,True,***
operational,13,Helpfulness,Pragmatic,14,Biological,Control,-0.0007717084147265212,-0.0012128062380089713,-0.00031477462690299716,1.0,0.0,0.0,0.0,True,***
operational,13,Helpfulness,Pragmatic,15,Shapes,Control,0.0003197973323504313,-7.909838179004666e-05,0.0007717544949659852,0.065,0.935,0.13,0.248625,False,n.s.
operational,13,Helpfulness,Pragmatic,17,Attention,Mental,-0.0004630319570780784,-0.0009095576761332704,1.1672227534674136e-05,0.974,0.026,0.052,0.11699999999999999,False,n.s.
operational,13,Helpfulness,Pragmatic,18,SysPrompt (labeled),SysPrompt,0.0002445546083261212,-0.00010557616387338216,0.0006541269236557007,0.108,0.892,0.216,0.38427906976744186,False,n.s.
operational,14,Biological,Control,15,Shapes,Control,0.0010915057470769524,0.000737650323565059,0.001454147148444127,0.0,1.0,0.0,0.0,True,***
operational,14,Biological,Control,17,Attention,Mental,0.0003086764576484428,-0.00015529217826557577,0.0007352567098027683,0.099,0.901,0.198,0.3649879518072289,False,n.s.
operational,14,Biological,Control,18,SysPrompt (labeled),SysPrompt,0.0010162630230526424,0.0007212063526365675,0.0013387484469956099,0.0,1.0,0.0,0.0,True,***
operational,15,Shapes,Control,17,Attention,Mental,-0.0007828292894285096,-0.001132260040468708,-0.0004494878647844045,1.0,0.0,0.0,0.0,True,***
operational,15,Shapes,Control,18,SysPrompt (labeled),SysPrompt,-7.524272402431007e-05,-0.00025524300331485403,0.00016970242145356075,0.781,0.219,0.438,0.6092181818181818,False,n.s.
operational,17,Attention,Mental,18,SysPrompt (labeled),SysPrompt,0.0007075865654041995,0.0003931205999789974,0.0010598224912102925,0.0,1.0,0.0,0.0,True,***
