metric,metric_col,turn,human_mean,ai_mean,diff,t,p
Type-Token Ratio (TTR),sub_ttr,1,0.7470148277392118,0.7377582847916747,0.009256542947537083,2.54199199641811,0.011097213653406332
Type-Token Ratio (TTR),sub_ttr,5,0.5883199370036092,0.600779688072005,-0.012459751068395808,-2.8325550473189796,0.0046640674412376975
Trigram Repetition Rate,sub_trigram_rep,1,0.006774269106676529,0.008269616721529822,-0.0014953476148532934,-2.5723850787380744,0.010171685576536586
Trigram Repetition Rate,sub_trigram_rep,5,0.06205087142691904,0.05512833133185366,0.006922540095065384,2.1782573529969285,0.029503445650928398
Word Count,sub_word_count,1,110.709,115.794,-5.084999999999994,-2.5116766257548635,0.012094210800588437
Word Count,sub_word_count,5,205.373,197.273,8.099999999999994,2.458775420395507,0.014025439253725241
Self-Reference Rate,sub_self_ref_rate,1,0.04406673818781764,0.041237420969164024,0.002829317218653614,2.5179708811430634,0.011880904401243784
Self-Reference Rate,sub_self_ref_rate,5,0.036451000532141564,0.035806793783269376,0.0006442067488721878,0.6568018845452972,0.5113839541988654
ALL-CAPS Ratio,sub_allcaps_ratio,1,0.0009365371986175544,0.003378092897716056,-0.002441555699098502,-10.227476658595586,5.752622316862332e-24
ALL-CAPS Ratio,sub_allcaps_ratio,5,0.06606885941046153,0.06903972959418278,-0.002970870183721247,-0.31657243417608255,0.7516011258976808
Exclamation Rate,sub_exclamation_rate,1,0.01623381096821723,0.017639058557376238,-0.0014052475891590081,-2.240081581649974,0.025195179771817493
Exclamation Rate,sub_exclamation_rate,5,0.02451610178818725,0.022603423834883434,0.0019126779533038159,2.0314704355423294,0.042339403491928974
Emoji Count,sub_emoji_count,1,0.287,0.293,-0.006000000000000005,-0.1808342506368053,0.8565160186646037
Emoji Count,sub_emoji_count,5,1.535,2.149,-0.6140000000000001,-3.98002325767256,7.137004154508594e-05
