Subject,bot,hum
s001,1.24,1.2692307692307692
s002,1.23,1.24
s003,1.26,1.33
s004,1.05,1.21
s005,1.1,1.32
s006,1.04,1.53
s007,1.54,0.94
s008,1.39,1.29
s009,1.25,1.3
s010,1.41,1.21
s011,1.33,1.58
s012,1.22,1.73
s013,1.51,1.01
s014,1.03,1.43
s015,1.26,1.38
s016,1.26,1.34
s017,1.55,1.54
s018,0.99,1.4
s019,1.09,1.36
s020,1.36,1.34
s021,1.29,1.41
s022,1.32,1.48
s023,1.04,1.35
s024,1.15,1.61
s025,1.1,1.5
s026,1.53,1.31
s027,1.23,1.32
s028,1.2,1.52
s029,1.17,1.54
s030,1.27,1.25
s031,1.0,1.26
s032,1.35,1.44
s033,1.18,1.31
s034,1.74,1.38
s035,1.29,1.27
s036,1.29,1.24
s037,1.15,1.6
s038,1.17,1.39
s039,1.15,1.29
s040,1.35,1.43
s041,1.09,1.47
s042,1.08,1.65
s043,1.3,1.57
s044,1.26,1.3
s045,1.41,1.24
s046,1.62,1.17
s047,1.33,1.17
s048,1.19,1.54
s049,1.09,1.52
s050,1.43,1.35
