approach,dimension,human_mean,ai_mean,diff,p,p_fdr,cohen_d
A,10_animacy,0.19648446142673492,0.16833533346652985,0.028149127960205078,5.087142171067132e-05,7.539173434953547e-05,0.1815880686044693
A,11_formality,0.18749481439590454,0.15915581583976746,0.028338998556137085,5.9593016593441014e-05,7.539173434953547e-05,0.17991536855697632
A,12_expertise,0.18657907843589783,0.15814222395420074,0.028436854481697083,5.692243667172757e-05,7.539173434953547e-05,0.18040145933628082
A,13_helpfulness,0.19003930687904358,0.16110695898532867,0.028932347893714905,4.742678440524113e-05,7.539173434953547e-05,0.1823248714208603
A,14_biological,0.18861718475818634,0.1608356386423111,0.027781546115875244,5.9648540910918496e-05,7.539173434953547e-05,0.1799054890871048
A,15_shapes,0.1893293857574463,0.16106539964675903,0.028263986110687256,6.135039929778682e-05,7.539173434953547e-05,0.17960664629936218
A,16_human,0.18833807110786438,0.16080352663993835,0.027534544467926025,7.392962691807872e-05,7.714395852321257e-05,0.17761412262916565
A,17_ai,0.19224777817726135,0.16462410986423492,0.027623668313026428,8.203328484946947e-05,8.203328484946947e-05,0.176494300365448
A,18_attention,0.18853026628494263,0.16031017899513245,0.02822008728981018,6.596776755584354e-05,7.539173434953547e-05,0.1788337677717209
A,1_phenomenology,0.19463784992694855,0.16605059802532196,0.028587251901626587,4.894545726314293e-05,7.539173434953547e-05,0.1819939762353897
A,25_beliefs,0.1888331174850464,0.1604512333869934,0.02838188409805298,5.62611669719109e-05,7.539173434953547e-05,0.18052515387535095
A,26_desires,0.1936643421649933,0.1651006042957306,0.028563737869262695,5.2381957642294875e-05,7.539173434953547e-05,0.18127980828285217
A,27_goals,0.19617578387260437,0.1671658307313919,0.029009953141212463,4.579979278967384e-05,7.539173434953547e-05,0.18269072473049164
A,2_emotions,0.1990758776664734,0.17017382383346558,0.028902053833007812,4.672284518401066e-05,7.539173434953547e-05,0.18248169124126434
A,30_granite_sandstone,0.18904556334018707,0.16100375354290009,0.028041809797286987,6.342233561170378e-05,7.539173434953547e-05,0.17925326526165009
A,31_squares_triangles,0.19005002081394196,0.16187545657157898,0.028174564242362976,5.637341397713682e-05,7.539173434953547e-05,0.18050405383110046
A,32_horizontal_vertical,0.19106177985668182,0.16254836320877075,0.028513416647911072,5.737734638735553e-05,7.539173434953547e-05,0.18031716346740723
A,3_agency,0.1933394819498062,0.16443286836147308,0.02890661358833313,5.354915408707702e-05,7.539173434953547e-05,0.18104730546474457
A,4_intentions,0.19899612665176392,0.16994820535182953,0.029047921299934387,4.785182035023574e-05,7.539173434953547e-05,0.18223127722740173
A,5_prediction,0.18959131836891174,0.161000058054924,0.028591260313987732,5.557896603880395e-05,7.539173434953547e-05,0.18065421283245087
A,6_cognitive,0.1913168877363205,0.16252721846103668,0.028789669275283813,5.7203345750733803e-05,7.539173434953547e-05,0.18034932017326355
A,7_social,0.1851142942905426,0.15682898461818695,0.028285309672355652,5.5310200450585015e-05,7.539173434953547e-05,0.1807054728269577
A,8_embodiment,0.19300219416618347,0.1648053526878357,0.02819684147834778,5.726001302865736e-05,7.539173434953547e-05,0.18033884465694427
A,9_roles,0.19144652783870697,0.16321834921836853,0.02822817862033844,6.951369044003026e-05,7.583311684366937e-05,0.1782742738723755
C,10_animacy,0.008724714629352093,0.01176401600241661,-0.003039301373064518,0.01284860966740024,0.023775163282696892,-0.11136415600776672
C,11_formality,-0.010769592598080635,-0.011021173559129238,0.00025158096104860306,0.7056861842736294,0.7611274858020236,0.016891703009605408
C,12_expertise,-0.011951864697039127,-0.012775189243257046,0.0008233245462179184,0.14647488214126925,0.18502090375739275,0.06496497988700867
C,13_helpfulness,-0.002439828822389245,-0.005556721705943346,0.003116892883554101,5.232475262095387e-07,6.278970314514465e-06,0.2251303344964981
C,14_biological,-0.01671627350151539,-0.013092773966491222,-0.003623499535024166,5.726675952812691e-05,0.00022906703811250765,-0.180337592959404
C,15_shapes,-0.012740857899188995,-0.011473499238491058,-0.001267358660697937,0.01287821344479415,0.023775163282696892,-0.11132746189832687
C,16_human,0.0010174775961786509,0.0030860910192131996,-0.0020686134230345488,2.251450568519081e-05,0.00010806962728891589,-0.18999652564525604
