layer,reading_best_acc,reading_final_acc,reading_train_acc,control_best_acc,control_final_acc,control_train_acc,diff_best_acc,z_stat,p_raw,p_fdr,sig_fdr_05,layer_group
0,0.5375,0.5325,0.6156,0.5250,0.5175,0.6331,0.0125,0.3542,0.7232,1.0000,0,early
1,0.5225,0.5025,0.5756,0.5400,0.4975,0.6050,-0.0175,-0.4959,0.6199,1.0000,0,early
2,0.5125,0.4800,0.6381,0.5050,0.5025,0.6450,0.0075,0.2122,0.8320,1.0000,0,early
3,0.5200,0.4950,0.6737,0.5450,0.5275,0.7100,-0.0250,-0.7086,0.4786,1.0000,0,early
4,0.5050,0.4925,0.6850,0.5325,0.5325,0.7300,-0.0275,-0.7784,0.4364,1.0000,0,early
5,0.5275,0.4875,0.7050,0.5275,0.5200,0.7063,0.0000,0.0000,1.0000,1.0000,0,early
6,0.5825,0.5375,0.7188,0.5950,0.5825,0.8131,-0.0125,-0.3593,0.7194,1.0000,0,early
7,0.5450,0.5225,0.7494,0.5725,0.5650,0.8500,-0.0275,-0.7832,0.4335,1.0000,0,early
8,0.5925,0.5650,0.7575,0.6425,0.6250,0.8694,-0.0500,-1.4550,0.1457,1.0000,0,early
9,0.6125,0.6125,0.8750,0.6325,0.6200,0.8944,-0.0200,-0.5835,0.5596,1.0000,0,early
10,0.6050,0.5975,0.8962,0.6475,0.6400,0.9050,-0.0425,-1.2423,0.2141,1.0000,0,early
11,0.6325,0.6325,0.9019,0.6575,0.6475,0.9213,-0.0250,-0.7389,0.4600,1.0000,0,early
12,0.6500,0.6425,0.9256,0.6575,0.6325,0.9294,-0.0075,-0.2229,0.8236,1.0000,0,early
13,0.6425,0.6100,0.9275,0.6250,0.6100,0.9444,0.0175,0.5137,0.6075,1.0000,0,early
14,0.6450,0.6375,0.9544,0.6475,0.6475,0.9487,-0.0025,-0.0739,0.9411,1.0000,0,middle
15,0.6200,0.6125,0.9550,0.6550,0.6425,0.9663,-0.0350,-1.0296,0.3032,1.0000,0,middle
16,0.6550,0.6500,0.9688,0.6400,0.6300,0.9738,0.0150,0.4440,0.6570,1.0000,0,middle
17,0.6600,0.6450,0.9600,0.6450,0.6425,0.9744,0.0150,0.4455,0.6560,1.0000,0,middle
18,0.6425,0.6325,0.9700,0.6450,0.6325,0.9762,-0.0025,-0.0738,0.9411,1.0000,0,middle
19,0.6675,0.6625,0.9569,0.6300,0.6250,0.9825,0.0375,1.1110,0.2666,1.0000,0,middle
20,0.6750,0.6625,0.9675,0.6400,0.6350,0.9706,0.0350,1.0430,0.2969,1.0000,0,middle
21,0.6650,0.6575,0.9762,0.6250,0.6200,0.9850,0.0400,1.1822,0.2371,1.0000,0,middle
22,0.6400,0.6350,0.9912,0.6300,0.6250,0.9888,0.0100,0.2938,0.7689,1.0000,0,middle
23,0.6600,0.6575,0.9856,0.6350,0.6200,0.9838,0.0250,0.7400,0.4593,1.0000,0,middle
24,0.6475,0.6225,0.9819,0.6200,0.6175,0.9869,0.0275,0.8072,0.4195,1.0000,0,middle
25,0.6275,0.6175,0.9744,0.6400,0.6400,0.9862,-0.0125,-0.3669,0.7137,1.0000,0,middle
26,0.6375,0.6250,0.9844,0.6375,0.6225,0.9875,0.0000,0.0000,1.0000,1.0000,0,middle
27,0.6525,0.6475,0.9888,0.6225,0.6150,0.9894,0.0300,0.8826,0.3775,1.0000,0,middle
28,0.6075,0.6050,0.9912,0.6575,0.6550,0.9894,-0.0500,-1.4666,0.1425,1.0000,0,late
29,0.6425,0.6300,0.9931,0.6500,0.6250,0.9950,-0.0075,-0.2218,0.8244,1.0000,0,late
30,0.6050,0.5875,0.9881,0.6200,0.6100,0.9856,-0.0150,-0.4354,0.6633,1.0000,0,late
31,0.6300,0.6200,0.9894,0.6450,0.6275,0.9975,-0.0150,-0.4413,0.6590,1.0000,0,late
32,0.6600,0.6450,0.9944,0.6425,0.6425,0.9988,0.0175,0.5193,0.6035,1.0000,0,late
33,0.6300,0.6225,0.9975,0.6275,0.6175,0.9975,0.0025,0.0732,0.9417,1.0000,0,late
34,0.6325,0.6225,0.9956,0.6350,0.6275,0.9931,-0.0025,-0.0734,0.9415,1.0000,0,late
35,0.6425,0.6300,0.9925,0.6475,0.6425,0.9962,-0.0050,-0.1478,0.8825,1.0000,0,late
36,0.6625,0.6375,0.9956,0.6425,0.6150,0.9994,0.0200,0.5940,0.5525,1.0000,0,late
37,0.6375,0.6325,0.9975,0.6350,0.6250,0.9994,0.0025,0.0735,0.9414,1.0000,0,late
38,0.6775,0.6500,0.9994,0.6600,0.6575,0.9981,0.0175,0.5258,0.5990,1.0000,0,late
39,0.6650,0.6550,0.9975,0.6650,0.6400,0.9988,0.0000,0.0000,1.0000,1.0000,0,late
40,0.6550,0.6475,0.9881,0.6750,0.6550,0.9881,-0.0200,-0.5993,0.5490,1.0000,0,late
