Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,1.22,1.04,1.24,1.62
s002,1.28,1.3,1.86,1.28
s003,1.44,1.7,1.76,1.32
s004,1.02,1.4,1.42,1.78
s005,1.28,1.36,1.44,1.52
s006,1.04,1.22,1.44,1.3
s007,1.34,1.64,1.3,0.9
s008,1.16,1.18,1.42,1.62
s009,1.38,1.38,1.5,1.54
s010,1.7,1.1,1.28,1.5
s011,1.64,0.98,1.42,1.76
s012,1.32,0.88,1.28,2.16
s013,1.22,1.06,1.32,1.28
s014,1.16,1.5,2.04,1.28
s015,1.08,0.94,1.72,1.62
s016,1.38,1.3,1.42,1.4
s017,1.02,1.5,1.32,1.7
s018,1.3,1.22,1.2,1.26
s019,1.26,1.16,1.36,1.42
s020,1.72,1.24,1.88,1.28
s021,1.16,0.96,1.76,2.0
s022,1.18,0.84,1.54,1.84
s023,1.24,1.04,1.66,1.94
s024,1.42,1.02,1.16,1.72
s025,1.64,0.94,1.66,2.06
s026,1.44,1.2,1.32,1.4
s027,1.06,1.0,1.64,1.58
s028,1.44,1.04,1.68,1.64
s029,1.34,1.22,1.58,1.34
s030,1.06,0.8,1.48,1.86
s031,1.24,1.0,1.2,1.78
s032,1.32,1.46,1.52,1.46
s033,1.14,1.04,1.64,1.58
s034,1.3,1.48,1.22,1.22
s035,1.34,1.82,1.5,1.52
s036,1.24,1.28,1.54,1.38
s037,1.24,1.1,1.62,1.66
s038,1.04,1.4,1.62,1.3
s039,0.94,1.4,1.12,1.24
s040,0.98,1.14,1.36,1.28
s041,1.12,1.36,1.66,1.44
s042,1.36,0.9,1.64,2.0
s043,1.54,1.2,1.42,1.12
s044,1.1,1.38,1.34,1.34
s045,1.32,1.38,1.4,1.5
s046,1.26,1.5,1.4,1.18
s047,1.16,1.44,1.48,1.4
s048,1.22,1.06,1.3,1.28
s049,1.3,0.92,1.36,1.3
s050,1.56,1.24,1.56,1.04
