dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
0_baseline,0,reading,6,0.04536149278283119,0.04536149278283119,0.0020576650274868463
0_baseline,0,reading,7,0.09503286331892014,0.09503286331892014,0.009031245110592556
0_baseline,0,reading,8,0.057044558227062225,0.057044558227062225,0.0032540816233206926
0_baseline,0,reading,9,0.008189335465431213,0.008189335465431213,6.706521536536947e-05
0_baseline,0,reading,10,0.0010390733368694782,0.0010390733368694782,1.0796733993930722e-06
0_baseline,0,reading,11,0.0021614888682961464,0.0021614888682961464,4.672034127768156e-06
0_baseline,0,reading,12,0.012123922817409039,0.012123922817409039,0.00014698950448249152
0_baseline,0,reading,13,0.0069348132237792015,0.0069348132237792015,4.809163444870288e-05
0_baseline,0,reading,14,0.004389157984405756,0.004389157984405756,1.92647078120728e-05
0_baseline,0,reading,15,-0.012302003800868988,0.012302003800868988,0.00015133929751659503
0_baseline,0,reading,16,-0.03188316896557808,0.03188316896557808,0.0010165364632876012
0_baseline,0,reading,17,-0.010406294837594032,0.010406294837594032,0.00010829097224693621
0_baseline,0,reading,18,-0.004062791354954243,0.004062791354954243,1.650627359389093e-05
0_baseline,0,reading,19,-0.017269639298319817,0.017269639298319817,0.00029824044149407217
0_baseline,0,reading,20,0.00043479073792696,0.00043479073792696,1.890429857870704e-07
0_baseline,0,reading,21,-0.007872328162193298,0.007872328162193298,6.197355069326171e-05
0_baseline,0,reading,22,-0.02399817667901516,0.02399817667901516,0.0005759124839172271
0_baseline,0,reading,23,-0.031192822381854057,0.031192822381854057,0.0009729921681458954
0_baseline,0,reading,24,-0.015414703637361526,0.015414703637361526,0.00023761308822768668
0_baseline,0,reading,25,-0.02677219547331333,0.02677219547331333,0.0007167504504612988
0_baseline,0,reading,26,-0.009836309589445591,0.009836309589445591,9.675298633941929e-05
0_baseline,0,reading,27,-0.016347676515579224,0.016347676515579224,0.00026724652745802047
0_baseline,0,reading,28,-0.009059709496796131,0.009059709496796131,8.207833616633801e-05
0_baseline,0,reading,29,-0.010812579654157162,0.010812579654157162,0.00011691187877749341
0_baseline,0,reading,30,-0.009763429872691631,0.009763429872691631,9.532456287896732e-05
0_baseline,0,reading,31,-0.007230708841234446,0.007230708841234446,5.228315034670598e-05
0_baseline,0,reading,32,-0.0019398864824324846,0.0019398864824324846,3.7631595647242785e-06
