probe_type,layer_range,cat_a,cat_b,diff,p_value,p_adjusted,ci_lo,ci_hi,sig_raw,sig_fdr
control_probe,all_layers,Bio Ctrl,Human vs AI (General),0.100663,0.000000,0.000000,0.059229,0.140876,***,***
control_probe,all_layers,Bio Ctrl,Mental,-0.008630,0.607200,0.637560,-0.041359,0.024007,n.s.,n.s.
control_probe,all_layers,Bio Ctrl,Physical,0.018782,0.315200,0.367733,-0.019197,0.055356,n.s.,n.s.
control_probe,all_layers,Bio Ctrl,Pragmatic,0.129645,0.000000,0.000000,0.090156,0.168413,***,***
control_probe,all_layers,Bio Ctrl,Shapes,0.192588,0.000000,0.000000,0.153486,0.231376,***,***
control_probe,all_layers,Bio Ctrl,SysPrompt,-0.012928,0.582400,0.637560,-0.059141,0.031962,n.s.,n.s.
control_probe,all_layers,Human vs AI (General),Mental,-0.109293,0.000000,0.000000,-0.137940,-0.079242,***,***
control_probe,all_layers,Human vs AI (General),Physical,-0.081881,0.000000,0.000000,-0.115047,-0.048991,***,***
control_probe,all_layers,Human vs AI (General),Pragmatic,0.028982,0.112800,0.139835,-0.006864,0.064350,n.s.,n.s.
control_probe,all_layers,Human vs AI (General),Shapes,0.091925,0.000000,0.000000,0.056638,0.127745,***,***
control_probe,all_layers,Human vs AI (General),SysPrompt,-0.113591,0.000000,0.000000,-0.157134,-0.071285,***,***
control_probe,all_layers,Mental,Physical,0.027411,0.017400,0.024360,0.004214,0.050076,*,*
control_probe,all_layers,Mental,Pragmatic,0.138275,0.000000,0.000000,0.111426,0.164803,***,***
control_probe,all_layers,Mental,Shapes,0.201218,0.000000,0.000000,0.174770,0.227415,***,***
control_probe,all_layers,Mental,SysPrompt,-0.004298,0.827000,0.827000,-0.040884,0.030055,n.s.,n.s.
control_probe,all_layers,Physical,Pragmatic,0.110863,0.000000,0.000000,0.079658,0.142755,***,***
control_probe,all_layers,Physical,Shapes,0.173806,0.000000,0.000000,0.143274,0.204822,***,***
control_probe,all_layers,Physical,SysPrompt,-0.031710,0.113200,0.139835,-0.072203,0.006240,n.s.,n.s.
control_probe,all_layers,Pragmatic,Shapes,0.062943,0.000400,0.000600,0.029578,0.097241,***,***
control_probe,all_layers,Pragmatic,SysPrompt,-0.142573,0.000000,0.000000,-0.184646,-0.102047,***,***
control_probe,all_layers,Shapes,SysPrompt,-0.205516,0.000000,0.000000,-0.248103,-0.164927,***,***
control_probe,layers_6plus,Bio Ctrl,Human vs AI (General),0.115908,0.000000,0.000000,0.068053,0.162541,***,***
control_probe,layers_6plus,Bio Ctrl,Mental,-0.009764,0.610400,0.640920,-0.047451,0.028258,n.s.,n.s.
control_probe,layers_6plus,Bio Ctrl,Physical,0.021588,0.322800,0.376600,-0.020903,0.063671,n.s.,n.s.
control_probe,layers_6plus,Bio Ctrl,Pragmatic,0.149866,0.000000,0.000000,0.104659,0.193933,***,***
control_probe,layers_6plus,Bio Ctrl,Shapes,0.222923,0.000000,0.000000,0.178712,0.268027,***,***
control_probe,layers_6plus,Bio Ctrl,SysPrompt,-0.016120,0.558800,0.617621,-0.070065,0.036987,n.s.,n.s.
control_probe,layers_6plus,Human vs AI (General),Mental,-0.125672,0.000000,0.000000,-0.159576,-0.090838,***,***
control_probe,layers_6plus,Human vs AI (General),Physical,-0.094320,0.000000,0.000000,-0.134158,-0.054413,***,***
control_probe,layers_6plus,Human vs AI (General),Pragmatic,0.033958,0.113600,0.140329,-0.007530,0.076652,n.s.,n.s.
control_probe,layers_6plus,Human vs AI (General),Shapes,0.107015,0.000000,0.000000,0.065198,0.149336,***,***
control_probe,layers_6plus,Human vs AI (General),SysPrompt,-0.132028,0.000000,0.000000,-0.182692,-0.082528,***,***
control_probe,layers_6plus,Mental,Physical,0.031352,0.020600,0.028840,0.004347,0.057718,*,*
control_probe,layers_6plus,Mental,Pragmatic,0.159630,0.000000,0.000000,0.128938,0.190757,***,***
control_probe,layers_6plus,Mental,Shapes,0.232687,0.000000,0.000000,0.202637,0.262674,***,***
control_probe,layers_6plus,Mental,SysPrompt,-0.006356,0.782200,0.782200,-0.049421,0.033986,n.s.,n.s.
control_probe,layers_6plus,Physical,Pragmatic,0.128278,0.000000,0.000000,0.092041,0.165203,***,***
control_probe,layers_6plus,Physical,Shapes,0.201335,0.000000,0.000000,0.165482,0.237154,***,***
control_probe,layers_6plus,Physical,SysPrompt,-0.037708,0.103000,0.135187,-0.085404,0.006966,n.s.,n.s.
control_probe,layers_6plus,Pragmatic,Shapes,0.073057,0.000000,0.000000,0.034060,0.112362,***,***
control_probe,layers_6plus,Pragmatic,SysPrompt,-0.165986,0.000000,0.000000,-0.213968,-0.119282,***,***
control_probe,layers_6plus,Shapes,SysPrompt,-0.239043,0.000000,0.000000,-0.287853,-0.192430,***,***
reading_probe,all_layers,Bio Ctrl,Human vs AI (General),0.003668,0.844000,0.886200,-0.030633,0.037713,n.s.,n.s.
reading_probe,all_layers,Bio Ctrl,Mental,-0.074844,0.000000,0.000000,-0.099853,-0.049109,***,***
reading_probe,all_layers,Bio Ctrl,Physical,-0.031901,0.030800,0.046200,-0.061036,-0.003310,*,*
reading_probe,all_layers,Bio Ctrl,Pragmatic,-0.032993,0.049400,0.061024,-0.066199,-0.000077,*,n.s.
reading_probe,all_layers,Bio Ctrl,Shapes,0.034160,0.047600,0.061024,0.000287,0.069114,*,n.s.
reading_probe,all_layers,Bio Ctrl,SysPrompt,-0.083633,0.000000,0.000000,-0.115805,-0.051457,***,***
reading_probe,all_layers,Human vs AI (General),Mental,-0.078511,0.000000,0.000000,-0.106309,-0.050232,***,***
reading_probe,all_layers,Human vs AI (General),Physical,-0.035569,0.027600,0.044585,-0.067093,-0.003874,*,*
reading_probe,all_layers,Human vs AI (General),Pragmatic,-0.036660,0.047800,0.061024,-0.072085,-0.000525,*,n.s.
reading_probe,all_layers,Human vs AI (General),Shapes,0.030492,0.102400,0.119467,-0.006067,0.066980,n.s.,n.s.
reading_probe,all_layers,Human vs AI (General),SysPrompt,-0.087301,0.000000,0.000000,-0.121184,-0.052458,***,***
reading_probe,all_layers,Mental,Physical,0.042943,0.000200,0.000467,0.021755,0.063970,***,***
reading_probe,all_layers,Mental,Pragmatic,0.041851,0.002800,0.004900,0.014705,0.068097,**,**
reading_probe,all_layers,Mental,Shapes,0.109003,0.000000,0.000000,0.081096,0.136720,***,***
reading_probe,all_layers,Mental,SysPrompt,-0.008790,0.504200,0.557274,-0.034764,0.016102,n.s.,n.s.
reading_probe,all_layers,Physical,Pragmatic,-0.001092,0.947200,0.947200,-0.031627,0.028634,n.s.,n.s.
reading_probe,all_layers,Physical,Shapes,0.066061,0.000000,0.000000,0.035032,0.097692,***,***
reading_probe,all_layers,Physical,SysPrompt,-0.051732,0.000400,0.000840,-0.080868,-0.023628,***,***
reading_probe,all_layers,Pragmatic,Shapes,0.067153,0.000200,0.000467,0.031803,0.102530,***,***
reading_probe,all_layers,Pragmatic,SysPrompt,-0.050640,0.002400,0.004582,-0.083985,-0.017652,**,**
reading_probe,all_layers,Shapes,SysPrompt,-0.117793,0.000000,0.000000,-0.153135,-0.083769,***,***
reading_probe,layers_6plus,Bio Ctrl,Human vs AI (General),0.003663,0.871000,0.906200,-0.036812,0.045237,n.s.,n.s.
reading_probe,layers_6plus,Bio Ctrl,Mental,-0.087530,0.000000,0.000000,-0.117711,-0.056327,***,***
reading_probe,layers_6plus,Bio Ctrl,Physical,-0.037507,0.032400,0.048600,-0.072372,-0.003091,*,*
reading_probe,layers_6plus,Bio Ctrl,Pragmatic,-0.039685,0.048000,0.063000,-0.078465,-0.000211,*,n.s.
reading_probe,layers_6plus,Bio Ctrl,Shapes,0.039297,0.053000,0.065471,-0.000653,0.078942,n.s.,n.s.
reading_probe,layers_6plus,Bio Ctrl,SysPrompt,-0.098656,0.000000,0.000000,-0.136089,-0.060360,***,***
reading_probe,layers_6plus,Human vs AI (General),Mental,-0.091194,0.000000,0.000000,-0.123524,-0.057860,***,***
reading_probe,layers_6plus,Human vs AI (General),Physical,-0.041170,0.031000,0.048600,-0.078705,-0.004564,*,*
reading_probe,layers_6plus,Human vs AI (General),Pragmatic,-0.043349,0.041600,0.058240,-0.084728,-0.001826,*,n.s.
reading_probe,layers_6plus,Human vs AI (General),Shapes,0.035633,0.097600,0.113867,-0.006440,0.078267,n.s.,n.s.
reading_probe,layers_6plus,Human vs AI (General),SysPrompt,-0.102319,0.000000,0.000000,-0.142537,-0.061761,***,***
reading_probe,layers_6plus,Mental,Physical,0.050024,0.000000,0.000000,0.024859,0.075538,***,***
reading_probe,layers_6plus,Mental,Pragmatic,0.047845,0.004200,0.007350,0.016523,0.079315,**,**
reading_probe,layers_6plus,Mental,Shapes,0.126827,0.000000,0.000000,0.094666,0.159531,***,***
reading_probe,layers_6plus,Mental,SysPrompt,-0.011125,0.463800,0.512621,-0.040611,0.017276,n.s.,n.s.
reading_probe,layers_6plus,Physical,Pragmatic,-0.002179,0.906200,0.906200,-0.037730,0.032996,n.s.,n.s.
reading_probe,layers_6plus,Physical,Shapes,0.076803,0.000000,0.000000,0.040373,0.113163,***,***
reading_probe,layers_6plus,Physical,SysPrompt,-0.061149,0.000000,0.000000,-0.095592,-0.027415,***,***
reading_probe,layers_6plus,Pragmatic,Shapes,0.078982,0.000200,0.000420,0.038383,0.119643,***,***
reading_probe,layers_6plus,Pragmatic,SysPrompt,-0.058971,0.003600,0.006873,-0.097370,-0.020925,**,**
reading_probe,layers_6plus,Shapes,SysPrompt,-0.137953,0.000000,0.000000,-0.177309,-0.098455,***,***
