category,probe_type,layer_range,mean,ci_lo,ci_hi,n_dims
Mental,control_probe,all_layers,0.211211,0.199957,0.222434,8
Physical,control_probe,all_layers,0.183972,0.164019,0.203857,3
Pragmatic,control_probe,all_layers,0.072779,0.048829,0.097147,3
SysPrompt,control_probe,all_layers,0.215498,0.183395,0.251429,1
Human vs AI (General),control_probe,all_layers,0.101615,0.074932,0.128937,1
Bio Ctrl,control_probe,all_layers,0.202759,0.172368,0.232985,1
Shapes,control_probe,all_layers,0.010017,-0.013307,0.033380,1
Mental,control_probe,layers_6plus,0.243853,0.231022,0.256885,8
Physical,control_probe,layers_6plus,0.212319,0.189175,0.235519,3
Pragmatic,control_probe,layers_6plus,0.084133,0.056243,0.112268,3
SysPrompt,control_probe,layers_6plus,0.250081,0.212756,0.290414,1
Human vs AI (General),control_probe,layers_6plus,0.117945,0.085977,0.149951,1
Bio Ctrl,control_probe,layers_6plus,0.233975,0.198260,0.269760,1
Shapes,control_probe,layers_6plus,0.010936,-0.016675,0.038024,1
Mental,reading_probe,all_layers,0.121556,0.110322,0.132713,8
Physical,reading_probe,all_layers,0.078656,0.060267,0.096829,3
Pragmatic,reading_probe,all_layers,0.079608,0.055424,0.103195,3
SysPrompt,reading_probe,all_layers,0.130279,0.108170,0.153325,1
Human vs AI (General),reading_probe,all_layers,0.043352,0.017081,0.069558,1
Bio Ctrl,reading_probe,all_layers,0.047062,0.024323,0.070658,1
Shapes,reading_probe,all_layers,0.012853,-0.012406,0.038508,1
Mental,reading_probe,layers_6plus,0.140994,0.127982,0.154009,8
Physical,reading_probe,layers_6plus,0.090994,0.070146,0.112482,3
Pragmatic,reading_probe,layers_6plus,0.093017,0.065487,0.121071,3
SysPrompt,reading_probe,layers_6plus,0.152091,0.126034,0.179380,1
Human vs AI (General),reading_probe,layers_6plus,0.049544,0.019347,0.079379,1
Bio Ctrl,reading_probe,layers_6plus,0.053552,0.026605,0.080538,1
Shapes,reading_probe,layers_6plus,0.014072,-0.015965,0.044294,1
