probe_type,layer_range,dim_a,dim_b,name_a,name_b,diff,p_value,p_adjusted,ci_lo,ci_hi,sig_raw,sig_fdr
control_probe,all_layers,0,1,0_baseline,1_phenomenology,-0.063629,0.008800,0.018444,-0.111346,-0.016041,**,*
control_probe,all_layers,0,2,0_baseline,2_emotions,-0.167572,0.000000,0.000000,-0.209622,-0.125454,***,***
control_probe,all_layers,0,3,0_baseline,3_agency,-0.091910,0.000000,0.000000,-0.130052,-0.051925,***,***
control_probe,all_layers,0,4,0_baseline,4_intentions,-0.144391,0.000000,0.000000,-0.183188,-0.105064,***,***
control_probe,all_layers,0,5,0_baseline,5_prediction,-0.112664,0.000000,0.000000,-0.151710,-0.073855,***,***
control_probe,all_layers,0,6,0_baseline,6_cognitive,-0.087176,0.000000,0.000000,-0.128528,-0.043788,***,***
control_probe,all_layers,0,7,0_baseline,7_social,-0.089440,0.000200,0.000510,-0.133741,-0.044123,***,***
control_probe,all_layers,0,8,0_baseline,8_embodiment,-0.090451,0.000200,0.000510,-0.139110,-0.042802,***,***
control_probe,all_layers,0,9,0_baseline,9_roles,-0.115549,0.000000,0.000000,-0.158049,-0.072124,***,***
control_probe,all_layers,0,10,0_baseline,10_animacy,-0.040560,0.040400,0.068680,-0.080226,-0.001792,*,n.s.
control_probe,all_layers,0,11,0_baseline,11_formality,0.129859,0.000000,0.000000,0.074684,0.185646,***,***
control_probe,all_layers,0,12,0_baseline,12_expertise,-0.093500,0.000000,0.000000,-0.135889,-0.050682,***,***
control_probe,all_layers,0,13,0_baseline,13_helpfulness,0.049918,0.049800,0.082820,0.000135,0.099612,*,n.s.
control_probe,all_layers,0,14,0_baseline,14_biological,-0.100598,0.000000,0.000000,-0.141293,-0.059414,***,***
control_probe,all_layers,0,15,0_baseline,15_shapes,0.091632,0.000000,0.000000,0.055354,0.127933,***,***
control_probe,all_layers,0,17,0_baseline,17_attention,-0.118818,0.000000,0.000000,-0.158873,-0.078262,***,***
control_probe,all_layers,0,18,0_baseline,18_sysprompt_labeled,-0.113636,0.000000,0.000000,-0.157908,-0.070830,***,***
control_probe,all_layers,1,2,1_phenomenology,2_emotions,-0.103943,0.000000,0.000000,-0.154093,-0.053878,***,***
control_probe,all_layers,1,3,1_phenomenology,3_agency,-0.028281,0.241800,0.345751,-0.075739,0.019792,n.s.,n.s.
control_probe,all_layers,1,4,1_phenomenology,4_intentions,-0.080761,0.000800,0.001855,-0.129763,-0.033140,***,**
control_probe,all_layers,1,5,1_phenomenology,5_prediction,-0.049035,0.043000,0.072297,-0.097213,-0.001626,*,n.s.
control_probe,all_layers,1,6,1_phenomenology,6_cognitive,-0.023547,0.354600,0.441088,-0.073803,0.026044,n.s.,n.s.
control_probe,all_layers,1,7,1_phenomenology,7_social,-0.025811,0.344400,0.431911,-0.079076,0.027954,n.s.,n.s.
control_probe,all_layers,1,8,1_phenomenology,8_embodiment,-0.026822,0.336200,0.431911,-0.082971,0.028686,n.s.,n.s.
control_probe,all_layers,1,9,1_phenomenology,9_roles,-0.051920,0.052000,0.085548,-0.104652,0.000495,n.s.,n.s.
control_probe,all_layers,1,10,1_phenomenology,10_animacy,0.023069,0.341200,0.431911,-0.025586,0.071875,n.s.,n.s.
control_probe,all_layers,1,11,1_phenomenology,11_formality,0.193488,0.000000,0.000000,0.130973,0.255102,***,***
control_probe,all_layers,1,12,1_phenomenology,12_expertise,-0.029871,0.245800,0.348217,-0.080833,0.020800,n.s.,n.s.
control_probe,all_layers,1,13,1_phenomenology,13_helpfulness,0.113547,0.000200,0.000510,0.056582,0.171319,***,***
control_probe,all_layers,1,14,1_phenomenology,14_biological,-0.036969,0.134800,0.212623,-0.086487,0.012680,n.s.,n.s.
control_probe,all_layers,1,15,1_phenomenology,15_shapes,0.155262,0.000000,0.000000,0.109717,0.200907,***,***
control_probe,all_layers,1,17,1_phenomenology,17_attention,-0.055189,0.025600,0.048356,-0.103855,-0.006614,*,*
control_probe,all_layers,1,18,1_phenomenology,18_sysprompt_labeled,-0.050007,0.053000,0.086266,-0.102865,0.000746,n.s.,n.s.
control_probe,all_layers,2,3,2_emotions,3_agency,0.075662,0.000200,0.000510,0.034335,0.117109,***,***
control_probe,all_layers,2,4,2_emotions,4_intentions,0.023181,0.276800,0.378129,-0.019436,0.065926,n.s.,n.s.
control_probe,all_layers,2,5,2_emotions,5_prediction,0.054908,0.009200,0.018768,0.013898,0.096584,**,*
control_probe,all_layers,2,6,2_emotions,6_cognitive,0.080396,0.000400,0.000987,0.036560,0.125509,***,***
control_probe,all_layers,2,7,2_emotions,7_social,0.078132,0.000800,0.001855,0.031185,0.125369,***,**
control_probe,all_layers,2,8,2_emotions,8_embodiment,0.077121,0.003000,0.006652,0.027226,0.127101,**,**
control_probe,all_layers,2,9,2_emotions,9_roles,0.052023,0.030800,0.056100,0.005284,0.098321,*,n.s.
control_probe,all_layers,2,10,2_emotions,10_animacy,0.127012,0.000000,0.000000,0.085660,0.169334,***,***
control_probe,all_layers,2,11,2_emotions,11_formality,0.297431,0.000000,0.000000,0.239189,0.354957,***,***
control_probe,all_layers,2,12,2_emotions,12_expertise,0.074072,0.001200,0.002700,0.029058,0.119254,**,**
control_probe,all_layers,2,13,2_emotions,13_helpfulness,0.217490,0.000000,0.000000,0.164515,0.271095,***,***
control_probe,all_layers,2,14,2_emotions,14_biological,0.066974,0.003400,0.007431,0.023294,0.110525,**,**
control_probe,all_layers,2,15,2_emotions,15_shapes,0.259204,0.000000,0.000000,0.219957,0.298220,***,***
control_probe,all_layers,2,17,2_emotions,17_attention,0.048754,0.026800,0.050005,0.005479,0.091529,*,n.s.
control_probe,all_layers,2,18,2_emotions,18_sysprompt_labeled,0.053936,0.029000,0.053458,0.006189,0.099222,*,n.s.
control_probe,all_layers,3,4,3_agency,4_intentions,-0.052480,0.011200,0.022547,-0.093010,-0.013854,*,*
control_probe,all_layers,3,5,3_agency,5_prediction,-0.020754,0.297000,0.398605,-0.059767,0.018550,n.s.,n.s.
control_probe,all_layers,3,6,3_agency,6_cognitive,0.004734,0.823800,0.893911,-0.037617,0.046754,n.s.,n.s.
control_probe,all_layers,3,7,3_agency,7_social,0.002470,0.921200,0.952322,-0.043526,0.048820,n.s.,n.s.
control_probe,all_layers,3,8,3_agency,8_embodiment,0.001459,0.942000,0.960840,-0.048137,0.048943,n.s.,n.s.
control_probe,all_layers,3,9,3_agency,9_roles,-0.023639,0.296600,0.398605,-0.067875,0.020449,n.s.,n.s.
control_probe,all_layers,3,10,3_agency,10_animacy,0.051350,0.009200,0.018768,0.011236,0.090812,**,*
control_probe,all_layers,3,11,3_agency,11_formality,0.221769,0.000000,0.000000,0.166428,0.276157,***,***
control_probe,all_layers,3,12,3_agency,12_expertise,-0.001590,0.954800,0.967446,-0.043843,0.039998,n.s.,n.s.
control_probe,all_layers,3,13,3_agency,13_helpfulness,0.141828,0.000000,0.000000,0.090492,0.191324,***,***
control_probe,all_layers,3,14,3_agency,14_biological,-0.008688,0.675200,0.765227,-0.050705,0.032735,n.s.,n.s.
