Subject,bot,hum
s001,80.23,71.69
s002,87.16,70.23
s003,82.48,73.0
s004,80.93,74.85
s005,80.88,70.8
s006,78.67,81.71
s007,79.29,75.93
s008,81.77,80.95
s009,80.7,72.8
s010,77.3,72.65
s011,78.26,73.74
s012,81.23,75.12
s013,81.21,69.22
s014,76.01,75.94
s015,79.06,68.85
s016,85.64,69.4
s017,78.07,75.45
s018,82.29,68.38
s019,79.39,76.28
s020,70.5,76.95
s021,79.55,70.89
s022,82.33,79.28
s023,80.52,71.06
s024,78.89,70.97
s025,79.18,66.8
s026,79.89,74.36
s027,70.76,76.54
s028,79.37,75.94
s029,81.56,76.36
s030,76.48,73.48
s031,78.13,75.51
s032,76.58,67.28
s033,77.16,70.72
s034,81.11,74.12
s035,81.65,74.85
s036,81.61,70.36
s037,80.51,73.16
s038,75.77,74.09
s039,77.53,73.92
s040,80.0,71.28
s041,74.06,78.37
s042,75.52,72.56
s043,74.12,76.81
s044,83.74,69.08
s045,83.24,73.54
s046,80.1,73.53
s047,80.49,79.13
s048,79.02,70.4
s049,81.11,79.31
s050,86.29,67.18
