Subject,bot,hum
s001,0.29272,0.31763461538461535
s002,0.30362,0.30063
s003,0.27996,0.29414
s004,0.30262999999999995,0.29433
s005,0.27902,0.29102999999999996
s006,0.28432999999999997,0.30868
s007,0.30513,0.2897
s008,0.29299,0.2978
s009,0.31005,0.29228000000000004
s010,0.29279,0.31171
s011,0.29209,0.28588
s012,0.29774999999999996,0.29949
s013,0.29462,0.29925
s014,0.29414,0.29883
s015,0.30434,0.28901
s016,0.29224,0.30507
s017,0.29588000000000003,0.2967
s018,0.32454,0.26971
s019,0.30831,0.2802
s020,0.29366,0.28163
s021,0.27965,0.31111
s022,0.30352999999999997,0.31643
s023,0.28082999999999997,0.28944
s024,0.29456,0.2817
s025,0.31486000000000003,0.28117000000000003
s026,0.30383,0.27319
s027,0.29556,0.29639
s028,0.3015,0.29143
s029,0.29393,0.30696
s030,0.308,0.29397
s031,0.28870999999999997,0.29739
s032,0.30264,0.29933
s033,0.28485,0.31486000000000003
s034,0.31611999999999996,0.28781
s035,0.31027,0.2736
s036,0.29187,0.28096
s037,0.27849,0.32449
s038,0.30263,0.30024999999999996
s039,0.28376999999999997,0.31911
s040,0.26828,0.28557
s041,0.28514,0.29075
s042,0.2793,0.29645
s043,0.29202,0.30957
s044,0.30474,0.29204
s045,0.30199000000000004,0.27378
s046,0.32028,0.28644
s047,0.29191,0.26952000000000004
s048,0.30306,0.29837
s049,0.29947,0.29834
s050,0.30748000000000003,0.29975
