experiment,subject,condition,topic,social_type,social,word_count,question_count,tom_count,polite_pos,polite_neg,impolite,politeness_score,nonfluency_count,liwc_filler_count,disfluency_count,like_count,fung_interpersonal_count,fung_referential_count,fung_structural_count,fung_cognitive_count,fung_total_count,demir_modal_count,demir_verb_count,demir_adverb_count,demir_adjective_count,demir_quantifier_count,demir_noun_count,demir_total_count,sentiment,sentiment_pos,sentiment_neg,sentiment_neu,quality,connectedness,tom_rate,politeness_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate
Human,sub-001,bot,books,nonsocial,0,136,0,1,0,0,0,0,0,1,1,5,15,7,3,7,21,3,5,0,0,0,0,8,0.75465,0.1925,0.0335,0.774,3.0,3.0,0.007352941176470588,0.0,0.0,0.007352941176470588,0.007352941176470588,0.03676470588235294,0.11029411764705882,0.051470588235294115,0.022058823529411766,0.051470588235294115,0.15441176470588236,0.022058823529411766,0.03676470588235294,0.0,0.0,0.0,0.0,0.058823529411764705
Human,sub-001,bot,boundaries,social,1,164,1,0,0,0,0,0,0,1,1,0,6,9,6,3,15,3,5,5,0,0,0,13,0.44545,0.10500000000000001,0.053000000000000005,0.8420000000000001,4.0,2.0,0.0,0.0,0.0,0.006097560975609756,0.006097560975609756,0.0,0.036585365853658534,0.054878048780487805,0.036585365853658534,0.018292682926829267,0.09146341463414634,0.018292682926829267,0.03048780487804878,0.03048780487804878,0.0,0.0,0.0,0.07926829268292683
Human,sub-001,bot,cars,nonsocial,0,118,0,0,0,0,1,-1,0,0,0,2,8,5,3,3,11,2,1,8,0,0,0,11,0.5798,0.15333333333333332,0.0,0.8466666666666667,3.0,3.0,0.0,-0.00847457627118644,0.0,0.0,0.0,0.01694915254237288,0.06779661016949153,0.0423728813559322,0.025423728813559324,0.025423728813559324,0.09322033898305085,0.01694915254237288,0.00847457627118644,0.06779661016949153,0.0,0.0,0.0,0.09322033898305085
Human,sub-001,bot,childhood_memories,social,1,168,1,0,0,0,0,0,0,0,0,0,10,8,8,6,18,0,4,1,0,0,0,5,0.8603000000000001,0.177,0.017,0.806,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05952380952380952,0.047619047619047616,0.047619047619047616,0.03571428571428571,0.10714285714285714,0.0,0.023809523809523808,0.005952380952380952,0.0,0.0,0.0,0.02976190476190476
Human,sub-001,bot,exercise,nonsocial,0,137,1,1,0,0,0,0,0,0,0,3,12,8,4,3,20,2,2,0,0,0,0,4,0.7746,0.194,0.048,0.7585,2.0,1.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.021897810218978103,0.08759124087591241,0.058394160583941604,0.029197080291970802,0.021897810218978103,0.145985401459854,0.014598540145985401,0.014598540145985401,0.0,0.0,0.0,0.0,0.029197080291970802
Human,sub-001,bot,family,social,1,162,0,0,1,0,0,1,0,0,0,4,7,11,8,4,17,0,0,0,0,0,0,0,0.9534,0.235,0.047,0.718,3.0,2.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.024691358024691357,0.043209876543209874,0.06790123456790123,0.04938271604938271,0.024691358024691357,0.10493827160493827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,sub-001,bot,fashion,nonsocial,0,83,0,0,0,0,0,0,0,0,0,1,7,5,5,3,12,0,0,0,0,1,0,1,0.11235,0.0535,0.0385,0.9079999999999999,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.08433734939759036,0.060240963855421686,0.060240963855421686,0.03614457831325301,0.14457831325301204,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.012048192771084338
Human,sub-001,bot,forgiveness,social,1,146,0,0,0,0,0,0,0,0,0,1,3,9,6,2,12,4,2,1,0,0,0,7,0.72475,0.20400000000000001,0.0845,0.712,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.02054794520547945,0.06164383561643835,0.0410958904109589,0.0136986301369863,0.0821917808219178,0.0273972602739726,0.0136986301369863,0.00684931506849315,0.0,0.0,0.0,0.04794520547945205
Human,sub-001,bot,friendship,social,1,114,0,0,0,0,0,0,0,0,0,3,8,4,4,4,12,0,1,3,0,2,0,6,0.8794,0.32966666666666666,0.0,0.6703333333333333,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.07017543859649122,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.10526315789473684,0.0,0.008771929824561403,0.02631578947368421,0.0,0.017543859649122806,0.0,0.05263157894736842
Human,sub-001,bot,gardening,nonsocial,0,122,0,1,0,0,0,0,0,2,2,1,8,6,7,6,16,0,4,0,0,0,0,4,0.6509333333333333,0.17966666666666664,0.04533333333333334,0.7753333333333333,2.0,1.0,0.00819672131147541,0.0,0.0,0.01639344262295082,0.01639344262295082,0.00819672131147541,0.06557377049180328,0.04918032786885246,0.05737704918032787,0.04918032786885246,0.13114754098360656,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.03278688524590164
Human,sub-001,bot,loneliness,social,1,75,2,2,0,0,0,0,0,1,1,1,9,2,0,4,9,1,5,1,0,0,0,7,0.39095,0.116,0.0395,0.844,1.0,2.0,0.02666666666666667,0.0,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.12,0.02666666666666667,0.0,0.05333333333333334,0.12,0.013333333333333334,0.06666666666666667,0.013333333333333334,0.0,0.0,0.0,0.09333333333333334
Human,sub-001,bot,love,social,1,143,1,0,0,0,0,0,0,0,0,0,5,7,4,2,13,3,5,0,0,1,0,9,0.9923500000000001,0.4285,0.0155,0.556,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03496503496503497,0.04895104895104895,0.027972027972027972,0.013986013986013986,0.09090909090909091,0.02097902097902098,0.03496503496503497,0.0,0.0,0.006993006993006993,0.0,0.06293706293706294
Human,sub-001,bot,mentorship,social,1,174,1,0,0,1,0,1,0,0,0,0,12,7,6,4,18,0,5,0,0,0,0,5,0.77675,0.146,0.0105,0.8435,2.0,2.0,0.0,0.005747126436781609,0.0,0.0,0.0,0.0,0.06896551724137931,0.040229885057471264,0.034482758620689655,0.022988505747126436,0.10344827586206896,0.0,0.028735632183908046,0.0,0.0,0.0,0.0,0.028735632183908046
Human,sub-001,bot,movies,nonsocial,0,146,1,0,0,0,0,0,0,0,0,3,10,13,10,3,23,2,4,3,0,1,0,10,0.9499,0.239,0.017,0.7435,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02054794520547945,0.0684931506849315,0.08904109589041095,0.0684931506849315,0.02054794520547945,0.15753424657534246,0.0136986301369863,0.0273972602739726,0.02054794520547945,0.0,0.00684931506849315,0.0,0.0684931506849315
Human,sub-001,bot,music,nonsocial,0,108,1,0,0,0,0,0,0,1,1,4,10,4,3,6,12,0,1,1,0,0,0,2,0.72745,0.1435,0.018,0.838,2.0,1.0,0.0,0.0,0.0,0.009259259259259259,0.009259259259259259,0.037037037037037035,0.09259259259259259,0.037037037037037035,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.0,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.018518518518518517
Human,sub-001,bot,photography,nonsocial,0,191,0,1,1,0,0,1,0,3,3,6,22,12,6,9,32,2,6,3,0,3,0,14,0.9694499999999999,0.267,0.052500000000000005,0.6805000000000001,3.0,3.0,0.005235602094240838,0.005235602094240838,0.0,0.015706806282722512,0.015706806282722512,0.031413612565445025,0.11518324607329843,0.06282722513089005,0.031413612565445025,0.04712041884816754,0.16753926701570682,0.010471204188481676,0.031413612565445025,0.015706806282722512,0.0,0.015706806282722512,0.0,0.07329842931937172
Human,sub-001,bot,role_models,social,1,163,0,1,0,0,0,0,1,1,2,0,11,11,10,5,20,1,3,0,0,0,0,4,0.0993,0.1235,0.084,0.7925,2.0,1.0,0.006134969325153374,0.0,0.006134969325153374,0.006134969325153374,0.012269938650306749,0.0,0.06748466257668712,0.06748466257668712,0.06134969325153374,0.03067484662576687,0.12269938650306748,0.006134969325153374,0.018404907975460124,0.0,0.0,0.0,0.0,0.024539877300613498
