layer,reading_best_acc,reading_final_acc,reading_train_acc,control_best_acc,control_final_acc,control_train_acc,diff_best_acc,z_stat,p_raw,p_fdr,sig_fdr_05,layer_group
0,0.5750,0.5675,0.5825,0.5725,0.5725,0.5775,0.0025,0.0715,0.9430,1.0000,0,early
1,0.5725,0.5675,0.5981,0.5750,0.5750,0.5787,-0.0025,-0.0715,0.9430,1.0000,0,early
2,0.5700,0.5650,0.5956,0.5800,0.5800,0.5881,-0.0100,-0.2861,0.7748,1.0000,0,early
3,0.5800,0.5675,0.6194,0.5800,0.5750,0.6181,0.0000,0.0000,1.0000,1.0000,0,early
4,0.5750,0.5650,0.6737,0.5825,0.5700,0.6619,-0.0075,-0.2148,0.8299,1.0000,0,early
5,0.5925,0.5875,0.7194,0.5925,0.5825,0.7212,0.0000,0.0000,1.0000,1.0000,0,early
6,0.5925,0.5900,0.7531,0.6150,0.6150,0.7700,-0.0225,-0.6506,0.5153,1.0000,0,early
7,0.6500,0.6350,0.8069,0.7000,0.6875,0.8381,-0.0500,-1.5097,0.1311,1.0000,0,early
8,0.7125,0.6900,0.8500,0.7475,0.7450,0.9069,-0.0350,-1.1149,0.2649,1.0000,0,early
9,0.7475,0.7325,0.9056,0.7775,0.7700,0.9175,-0.0300,-0.9970,0.3188,1.0000,0,early
10,0.7325,0.7275,0.9219,0.7700,0.7675,0.9275,-0.0375,-1.2268,0.2199,1.0000,0,early
11,0.7725,0.7725,0.9425,0.7775,0.7725,0.9413,-0.0050,-0.1693,0.8655,1.0000,0,early
12,0.7750,0.7750,0.9419,0.7725,0.7700,0.9506,0.0025,0.0845,0.9327,1.0000,0,early
13,0.7850,0.7825,0.9613,0.7800,0.7725,0.9606,0.0050,0.1714,0.8639,1.0000,0,early
14,0.7550,0.7500,0.9712,0.7725,0.7650,0.9681,-0.0175,-0.5826,0.5601,1.0000,0,middle
15,0.7875,0.7850,0.9812,0.7925,0.7875,0.9762,-0.0050,-0.1736,0.8622,1.0000,0,middle
16,0.8025,0.8000,0.9812,0.8100,0.8000,0.9850,-0.0075,-0.2684,0.7884,1.0000,0,middle
17,0.7800,0.7750,0.9856,0.7925,0.7900,0.9862,-0.0125,-0.4312,0.6663,1.0000,0,middle
18,0.7800,0.7725,0.9912,0.7875,0.7750,0.9906,-0.0075,-0.2576,0.7967,1.0000,0,middle
19,0.7800,0.7800,0.9850,0.7950,0.7725,0.9894,-0.0150,-0.5186,0.6041,1.0000,0,middle
20,0.7675,0.7650,0.9938,0.7800,0.7700,0.9900,-0.0125,-0.4225,0.6727,1.0000,0,middle
21,0.7800,0.7750,0.9969,0.7800,0.7650,0.9931,0.0000,0.0000,1.0000,1.0000,0,middle
22,0.7825,0.7725,0.9975,0.7800,0.7775,0.9969,0.0025,0.0855,0.9318,1.0000,0,middle
23,0.7950,0.7900,0.9988,0.7900,0.7850,0.9988,0.0050,0.1744,0.8616,1.0000,0,middle
24,0.7800,0.7700,0.9981,0.8050,0.8000,0.9962,-0.0250,-0.8719,0.3833,1.0000,0,middle
25,0.7825,0.7750,0.9969,0.7700,0.7700,0.9981,0.0125,0.4242,0.6714,1.0000,0,middle
26,0.7925,0.7850,0.9994,0.7950,0.7875,0.9981,-0.0025,-0.0874,0.9304,1.0000,0,middle
27,0.8200,0.8150,0.9962,0.8000,0.7950,0.9988,0.0200,0.7210,0.4709,1.0000,0,middle
28,0.8000,0.7925,0.9975,0.8000,0.8000,0.9981,0.0000,0.0000,1.0000,1.0000,0,late
29,0.7825,0.7750,0.9944,0.7975,0.7925,0.9994,-0.0150,-0.5208,0.6025,1.0000,0,late
30,0.7675,0.7625,0.9962,0.7925,0.7850,0.9975,-0.0250,-0.8535,0.3934,1.0000,0,late
31,0.7775,0.7775,0.9981,0.7900,0.7875,0.9975,-0.0125,-0.4294,0.6676,1.0000,0,late
32,0.7600,0.7550,0.9962,0.7875,0.7825,0.9988,-0.0275,-0.9295,0.3526,1.0000,0,late
33,0.7925,0.7875,0.9981,0.7750,0.7700,0.9988,0.0175,0.6012,0.5477,1.0000,0,late
34,0.7850,0.7825,1.0000,0.7650,0.7600,0.9988,0.0200,0.6773,0.4982,1.0000,0,late
35,0.7700,0.7600,0.9969,0.8025,0.8025,0.9975,-0.0325,-1.1212,0.2622,1.0000,0,late
36,0.7750,0.7725,0.9988,0.7750,0.7650,1.0000,0.0000,0.0000,1.0000,1.0000,0,late
37,0.7650,0.7575,0.9988,0.7750,0.7700,0.9988,-0.0100,-0.3361,0.7368,1.0000,0,late
38,0.7400,0.7400,0.9994,0.7600,0.7575,0.9994,-0.0200,-0.6532,0.5136,1.0000,0,late
39,0.7775,0.7750,1.0000,0.7675,0.7625,0.9988,0.0100,0.3373,0.7359,1.0000,0,late
40,0.7625,0.7600,0.9981,0.7650,0.7650,0.9981,-0.0025,-0.0832,0.9337,1.0000,0,late
