experiment,subject,condition,social_type,word_count,question_count,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,tom_rate,politeness_rate,sentiment,quality,connectedness
LLM,s029,bot,social,209.8,0.48,0.01437804496016579,0.016583287041867848,0.010459254335411035,0.0008358262953167947,0.004698032110366498,0.001580594497363416,0.04853503924049138,0.026291291371667923,0.07508149987153898,0.07306601639678828,0.009308903326671584,0.09472877891222123,0.0017915379978752518,0.000643718025845727,0.0024352560237209785,0.004008189033673888,0.0008870633359592353,0.00534481839269811,0.990266,3.0,3.0
LLM,s029,hum,nonsocial,163.12,2.36,0.009015335398515003,0.008799933710682769,0.010029954567742402,0.00021126022226881946,0.00484593711153004,0.0007244926512867845,0.03362691366202582,0.05459004254543923,0.08194117501571017,0.07768691632492998,0.019516318924116184,0.13524399430076295,0.0017482599792776705,0.004675074883374824,0.006423334862652496,0.012052695088318728,0.0031498070880362017,0.004561296562046799,0.969644,3.0,2.9
LLM,s029,hum,social,175.28,0.46,0.01755169865978335,0.016290004219353144,0.010181576583039144,0.0008276314356777079,0.00577248904460888,0.0012463952174055675,0.051869795159867796,0.029645439646077704,0.08061449164590308,0.07770468329266861,0.011654918178015734,0.1052050412447075,0.002219572447847028,0.0011151448986784949,0.0033347173465255227,0.004928501371132812,0.0009222296838120605,0.007730766712244407,0.970798,3.0,3.0
LLM,s030,bot,nonsocial,165.7,1.9,0.006705206979784262,0.005801961853997501,0.00982403725749868,6.84931506849315e-05,0.009232185520441355,8.733624454148471e-05,0.03171922100694821,0.04343753668782115,0.0675861848583802,0.06102602026944812,0.013313765526636136,0.11301777788156185,0.0005120627832780144,0.0042343831842146275,0.004746445967492643,0.008453355220442263,0.0011374912558604624,0.005805724291184857,0.94125,3.0,3.2
LLM,s030,bot,social,189.7,0.88,0.0109162031918957,0.018563974718875456,0.008578263721444487,0.0006503970921864816,0.0044504342146724695,0.00364251765366425,0.04680179059273884,0.023607169958326082,0.08136631999690276,0.07586219043610903,0.007816040145854228,0.09972074663610661,0.0020604922883428406,0.0008055539692364492,0.00286604625757929,0.0032466740515415186,0.0006570211346003143,0.007650890446597209,0.98543,3.0,3.2
LLM,s030,hum,nonsocial,185.86,2.12,0.009423639225038498,0.006975498090758656,0.011547043819230118,0.001602664450920598,0.005156390319179857,0.0012945563428124899,0.03599979224794022,0.04043270351742774,0.07950185031236529,0.07438906068555912,0.01714354876932039,0.12077872137896493,0.0005752060006231539,0.004214300525144709,0.004789506525767863,0.012133499076007892,0.003594561268000406,0.0031294623191913513,0.975552,3.0,2.9
LLM,s030,hum,social,198.82,0.72,0.014428960798740096,0.018068782258389936,0.009434656484264597,0.0008875717509737635,0.004310200025419931,0.0012724162098717525,0.04840258752766007,0.02874595367324118,0.07384842136774374,0.06795119782381372,0.013104015909220003,0.0990991460490245,0.002124435062530861,0.0007507913285376397,0.002875226391068501,0.00625077924023676,0.0014054826339125236,0.006090384516101559,0.9819580000000001,3.0,2.9
LLM,s031,bot,nonsocial,164.24,2.1,0.011270883982252719,0.009618132766173708,0.011316706193690955,0.0006445404138452982,0.004616043784938279,0.00021682129891085117,0.03768312843981181,0.044237861781609225,0.08497612117070608,0.08004237009011797,0.019082502372202388,0.12805824347574127,0.0021980442353915146,0.003923901442735896,0.006121945678127412,0.010871098524286069,0.003077313692529041,0.004261046767264853,0.962856,3.0,3.0
LLM,s031,bot,social,199.36,0.58,0.013530832480104256,0.017135632664651613,0.00882864818324765,0.0005421982562696071,0.005708421920101527,0.002514487091661693,0.04826022059603634,0.027207501957501656,0.08148949351919951,0.07607096658339663,0.007918017443743956,0.10297240895357485,0.00036215152856091727,0.0007398911211251539,0.0011020426496860711,0.003845361158565046,0.001191646786736482,0.008520190989204666,0.983052,3.1,3.1
LLM,s031,hum,nonsocial,183.88,2.38,0.00919981355413347,0.0072052302452187775,0.014186527618894882,0.0004263736263736264,0.00557002914751378,0.0008045921876868397,0.03739256637982138,0.049155330053069865,0.08294313204644087,0.08022916219782184,0.016524476757819873,0.1314417696616727,0.0012929665543155158,0.003565311814290895,0.004858278368606411,0.010346233362075151,0.0028769231131431116,0.005767127187774434,0.984296,3.0,2.9
LLM,s031,hum,social,208.76,0.48,0.015472144693153849,0.022028950644675773,0.011067657618003717,0.000661768047774193,0.003586747287096828,0.001983054629726676,0.05480032292043104,0.027075621465102218,0.07609481003883131,0.07075930111296545,0.010502588803247535,0.09716124302742861,0.0028494752080164432,0.0005425395186500478,0.0033920147266664914,0.0041119717398688275,0.0004916514456602645,0.006803732692703089,0.9714700000000001,3.0,3.0
LLM,s032,bot,nonsocial,172.66,2.38,0.008187211083547868,0.007882820085050193,0.013372362601599774,0.00024060906413847592,0.004834600352933518,0.000210319104848736,0.03472792229211857,0.05186886403455244,0.07874796268338626,0.0748673627858041,0.025253821636222605,0.1300417528429964,0.0015085212991358507,0.005267963332104788,0.006776484631240639,0.017269967472338717,0.004956093219662455,0.005956157270378224,0.985006,3.0,3.0
LLM,s032,bot,social,168.4,1.08,0.012230983250989312,0.014559691224871838,0.008468538838712014,0.000638854187014584,0.004454315731694367,0.001110205160914877,0.041462588394196996,0.03120992322192797,0.08506973430863043,0.08162180143580164,0.012031992589564803,0.11158459866938264,0.0022068436603227075,0.0015077768783949247,0.003714620538717632,0.006793171949926508,0.0015422511091041213,0.005618210274522928,0.9303,3.0,3.1
LLM,s032,hum,nonsocial,184.88,2.24,0.011332913689334825,0.009531832782796432,0.011067610347363845,0.0003954987602517643,0.0061805902741584725,0.00019225081336882578,0.038700696667274166,0.049973340131495424,0.07847469568805182,0.07517362251286071,0.020507368375269123,0.13089392540342654,0.0011051203509163678,0.005599351836224349,0.0067044721871407165,0.01239670191683891,0.00324870095462853,0.004461732088517444,0.979928,2.8,3.0
