layer,reading_best_acc,reading_final_acc,reading_train_acc,control_best_acc,control_final_acc,control_train_acc,diff_best_acc,z_stat,p_raw,p_fdr,sig_fdr_05,layer_group
0,0.5200,0.5000,0.6462,0.5100,0.5075,0.6200,0.0100,0.2830,0.7772,0.9917,0,early
1,0.5200,0.5050,0.5944,0.5275,0.5125,0.6012,-0.0075,-0.2124,0.8318,0.9917,0,early
2,0.5425,0.5250,0.6344,0.5550,0.5325,0.6450,-0.0125,-0.3552,0.7224,0.9917,0,early
3,0.5375,0.5175,0.6831,0.5600,0.5575,0.6850,-0.0225,-0.6394,0.5225,0.9917,0,early
4,0.5325,0.5200,0.6937,0.5575,0.5350,0.7081,-0.0250,-0.7100,0.4777,0.9917,0,early
5,0.5400,0.5250,0.7212,0.5600,0.5300,0.7106,-0.0200,-0.5685,0.5697,0.9917,0,early
6,0.5250,0.5250,0.7169,0.5250,0.5075,0.7288,0.0000,0.0000,1.0000,1.0000,0,early
7,0.5300,0.5250,0.7325,0.5375,0.5275,0.7150,-0.0075,-0.2126,0.8316,0.9917,0,early
8,0.5400,0.5225,0.7375,0.5350,0.5225,0.7706,0.0050,0.1418,0.8872,0.9917,0,early
9,0.5200,0.5050,0.7312,0.5250,0.5050,0.7569,-0.0050,-0.1416,0.8874,0.9917,0,early
10,0.5525,0.5475,0.7506,0.5550,0.5175,0.7650,-0.0025,-0.0711,0.9433,0.9917,0,early
11,0.5350,0.5225,0.7625,0.5475,0.5450,0.7781,-0.0125,-0.3548,0.7228,0.9917,0,early
12,0.5200,0.5125,0.7581,0.5300,0.5200,0.7675,-0.0100,-0.2832,0.7770,0.9917,0,early
13,0.5250,0.5175,0.7575,0.5325,0.5175,0.7512,-0.0075,-0.2125,0.8317,0.9917,0,early
14,0.5425,0.5175,0.7688,0.5250,0.5000,0.7706,0.0175,0.4961,0.6198,0.9917,0,middle
15,0.5375,0.5200,0.7856,0.5525,0.5400,0.7706,-0.0150,-0.4260,0.6701,0.9917,0,middle
16,0.5350,0.5000,0.8300,0.5625,0.5600,0.8125,-0.0275,-0.7815,0.4345,0.9917,0,middle
17,0.5375,0.5350,0.8113,0.5775,0.5400,0.7837,-0.0400,-1.1389,0.2547,0.9917,0,middle
18,0.5400,0.5325,0.8013,0.5625,0.5475,0.8306,-0.0225,-0.6398,0.5223,0.9917,0,middle
19,0.5525,0.5350,0.8325,0.5525,0.5375,0.8344,0.0000,0.0000,1.0000,1.0000,0,middle
20,0.5475,0.5450,0.8363,0.5275,0.5225,0.8406,0.0200,0.5673,0.5705,0.9917,0,middle
21,0.5675,0.5525,0.8400,0.5500,0.5500,0.8306,0.0175,0.4984,0.6182,0.9917,0,middle
22,0.5150,0.5050,0.8656,0.5550,0.5525,0.8306,-0.0400,-1.1342,0.2567,0.9917,0,middle
23,0.5625,0.5525,0.8106,0.5500,0.5250,0.8750,0.0125,0.3558,0.7220,0.9917,0,middle
24,0.5475,0.5275,0.8281,0.5550,0.5475,0.8562,-0.0075,-0.2133,0.8311,0.9917,0,middle
25,0.5725,0.5575,0.8506,0.5400,0.5300,0.8838,0.0325,0.9251,0.3549,0.9917,0,middle
26,0.5575,0.5400,0.8644,0.5175,0.5050,0.8700,0.0400,1.1346,0.2566,0.9917,0,middle
27,0.5525,0.5500,0.8794,0.5600,0.5300,0.8744,-0.0075,-0.2135,0.8309,0.9917,0,middle
28,0.5325,0.5125,0.8456,0.5450,0.5325,0.8762,-0.0125,-0.3546,0.7229,0.9917,0,late
29,0.5150,0.4950,0.8606,0.5400,0.5200,0.8756,-0.0250,-0.7082,0.4788,0.9917,0,late
30,0.5775,0.5400,0.8712,0.5800,0.5700,0.8519,-0.0025,-0.0716,0.9429,0.9917,0,late
31,0.5650,0.5575,0.8775,0.5625,0.5375,0.8719,0.0025,0.0713,0.9432,0.9917,0,late
32,0.5525,0.5475,0.8800,0.5275,0.5100,0.8825,0.0250,0.7094,0.4781,0.9917,0,late
33,0.5550,0.5475,0.8906,0.5575,0.5575,0.8738,-0.0025,-0.0712,0.9433,0.9917,0,late
34,0.5475,0.5450,0.8444,0.5375,0.5000,0.8575,0.0100,0.2839,0.7765,0.9917,0,late
35,0.5475,0.5425,0.8969,0.5525,0.5425,0.8875,-0.0050,-0.1421,0.8870,0.9917,0,late
36,0.5300,0.5175,0.8906,0.5625,0.5500,0.8962,-0.0325,-0.9232,0.3559,0.9917,0,late
37,0.5775,0.5725,0.8700,0.5475,0.5275,0.8944,0.0300,0.8552,0.3924,0.9917,0,late
38,0.5275,0.5250,0.8831,0.5475,0.5250,0.8550,-0.0200,-0.5673,0.5705,0.9917,0,late
39,0.5125,0.4950,0.8331,0.5275,0.4825,0.8975,-0.0150,-0.4246,0.6711,0.9917,0,late
40,0.5225,0.5150,0.8331,0.5150,0.4950,0.8931,0.0075,0.2123,0.8319,0.9917,0,late
