dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
12_expertise,12,reading,6,0.004539841320365667,0.004539841320365667,2.0610159214099486e-05
12_expertise,12,reading,7,0.0010400358587503433,0.0010400358587503433,1.081674587486564e-06
12_expertise,12,reading,8,0.022714192047715187,0.022714192047715187,0.0005159345203804878
12_expertise,12,reading,9,0.03841463476419449,0.03841463476419449,0.0014756841640664597
12_expertise,12,reading,10,-0.0028028786182403564,0.0028028786182403564,7.85612854858897e-06
12_expertise,12,reading,11,-0.015200628899037838,0.015200628899037838,0.00023105911892626427
12_expertise,12,reading,12,-0.017953945323824883,0.017953945323824883,0.00032234415269089337
12_expertise,12,reading,13,-0.032414648681879044,0.032414648681879044,0.0010507094491696428
12_expertise,12,reading,14,0.008551452308893204,0.008551452308893204,7.31273365912749e-05
12_expertise,12,reading,15,0.007505130488425493,0.007505130488425493,5.632698364829388e-05
12_expertise,12,reading,16,0.015664909034967422,0.015664909034967422,0.000245389375073804
12_expertise,12,reading,17,0.009232263080775738,0.009232263080775738,8.523468159265472e-05
12_expertise,12,reading,18,-0.014032330363988876,0.014032330363988876,0.0001969062954441242
12_expertise,12,reading,19,0.005097815301269293,0.005097815301269293,2.598772084585533e-05
12_expertise,12,reading,20,-0.001964103663340211,0.001964103663340211,3.8577032003464366e-06
12_expertise,12,reading,21,-0.0006938173901289701,0.0006938173901289701,4.813825708453756e-07
12_expertise,12,reading,22,0.002991127548739314,0.002991127548739314,8.946844012827258e-06
12_expertise,12,reading,23,0.01035067904740572,0.01035067904740572,0.00010713655674240378
12_expertise,12,reading,24,-0.006873343139886856,0.006873343139886856,4.7242845918629706e-05
12_expertise,12,reading,25,-0.01133107952773571,0.01133107952773571,0.00012839336326387132
12_expertise,12,reading,26,-0.006485257763415575,0.006485257763415575,4.2058568257941987e-05
12_expertise,12,reading,27,0.0109730688855052,0.0109730688855052,0.00012040824076604232
12_expertise,12,reading,28,-0.007699150126427412,0.007699150126427412,5.9276912669267235e-05
12_expertise,12,reading,29,-0.023960281163454056,0.023960281163454056,0.0005740950734317712
12_expertise,12,reading,30,-0.01518681924790144,0.01518681924790144,0.00023063947886842965
12_expertise,12,reading,31,0.01865120604634285,0.01865120604634285,0.0003478674869831361
12_expertise,12,reading,32,0.00436480063945055,0.00436480063945055,1.905148462214793e-05
12_expertise,12,reading,33,-0.007087420672178268,0.007087420672178268,5.023153178441986e-05
12_expertise,12,reading,34,-0.032417770475149155,0.032417770475149155,0.0010509118425794522
12_expertise,12,reading,35,-0.005642828065901995,0.005642828065901995,3.1841508581331246e-05
12_expertise,12,reading,36,-0.010887201875448227,0.010887201875448227,0.00011853116467676339
12_expertise,12,reading,37,0.0003127452509943396,0.0003127452509943396,9.780959201951247e-08
12_expertise,12,reading,38,-0.006068253889679909,0.006068253889679909,3.682370526961534e-05
12_expertise,12,reading,39,0.007761856075376272,0.007761856075376272,6.024640973485555e-05
12_expertise,12,reading,40,0.009860233403742313,0.009860233403742313,9.722420277627573e-05
12_expertise,12,control,6,-0.017762012779712677,0.017762012779712677,0.00031548909798667646
12_expertise,12,control,7,-0.012749573215842247,0.012749573215842247,0.00016255161718612202
12_expertise,12,control,8,-0.008387764915823936,0.008387764915823936,7.035460028312693e-05
12_expertise,12,control,9,0.008478663861751556,0.008478663861751556,7.188774088057182e-05
12_expertise,12,control,10,0.0009644096717238426,0.0009644096717238426,9.300860149144899e-07
12_expertise,12,control,11,0.01090607512742281,0.01090607512742281,0.00011894247468499045
12_expertise,12,control,12,-0.003938016481697559,0.003938016481697559,1.5507973810121624e-05
12_expertise,12,control,13,-0.020302096381783485,0.020302096381783485,0.0004121751174952261
12_expertise,12,control,14,0.01010502502322197,0.01010502502322197,0.00010211153071994217
12_expertise,12,control,15,-0.004388332832604647,0.004388332832604647,1.9257465049715922e-05
12_expertise,12,control,16,0.006127980072051287,0.006127980072051287,3.755213976345769e-05
12_expertise,12,control,17,-0.0010545294499024749,0.0010545294499024749,1.1120323607116163e-06
12_expertise,12,control,18,0.021376369521021843,0.021376369521021843,0.0004569491738992716
12_expertise,12,control,19,0.019907984882593155,0.019907984882593155,0.0003963278620855576
12_expertise,12,control,20,0.00209430861286819,0.00209430861286819,4.386128565933881e-06
12_expertise,12,control,21,0.019786518067121506,0.019786518067121506,0.00039150629722052577
12_expertise,12,control,22,0.015664294362068176,0.015664294362068176,0.00024537011786152085
12_expertise,12,control,23,-0.004675652831792831,0.004675652831792831,2.1861729403452324e-05
12_expertise,12,control,24,-0.0027465890161693096,0.0027465890161693096,7.543751223741896e-06
12_expertise,12,control,25,-0.011424874886870384,0.011424874886870384,0.00013052776618064157
12_expertise,12,control,26,0.007210140582174063,0.007210140582174063,5.198612721471333e-05
12_expertise,12,control,27,-0.00032836603350006044,0.00032836603350006044,1.0782425195656281e-07
12_expertise,12,control,28,-0.012726947665214539,0.012726947665214539,0.0001619751968731098
12_expertise,12,control,29,0.01595737226307392,0.01595737226307392,0.0002546377295423209
12_expertise,12,control,30,-0.008974961005151272,0.008974961005151272,8.054992504398593e-05
12_expertise,12,control,31,-0.000843816960696131,0.000843816960696131,7.120270631584559e-07
12_expertise,12,control,32,-0.01303943432867527,0.01303943432867527,0.0001700268476118351
12_expertise,12,control,33,-0.012828271836042404,0.012828271836042404,0.00016456455829939876
12_expertise,12,control,34,0.004019096493721008,0.004019096493721008,1.6153136625840503e-05
12_expertise,12,control,35,-0.01241631992161274,0.01241631992161274,0.0001541650003958374
12_expertise,12,control,36,-0.012739739380776882,0.012739739380776882,0.00016230095949011734
12_expertise,12,control,37,-0.00036186829674988985,0.00036186829674988985,1.3094866419266634e-07
12_expertise,12,control,38,-0.011286391876637936,0.011286391876637936,0.00012738264159303878
12_expertise,12,control,39,0.0018135277787223458,0.0018135277787223458,3.2888830041976057e-06
12_expertise,12,control,40,0.002118743257597089,0.002118743257597089,4.489072991613124e-06
