metric,metric_col,turn,human_mean,ai_mean,diff,t,p
Type-Token Ratio (TTR),sub_ttr,1,0.7191396475178312,0.7230410161924448,-0.003901368674613548,-1.026213773302755,0.3049150528101387
Type-Token Ratio (TTR),sub_ttr,5,0.5729076887125639,0.5836826982311752,-0.010775009518611323,-2.523957721285158,0.011681120726035558
Trigram Repetition Rate,sub_trigram_rep,1,0.010087605682074023,0.009428100318175316,0.0006595053638987075,1.0182514940250276,0.3086817340794732
Trigram Repetition Rate,sub_trigram_rep,5,0.07156219664756276,0.0615951901553013,0.009967006492261461,2.8001315768338664,0.005157308734055351
Word Count,sub_word_count,1,128.306,126.071,2.2350000000000136,0.9845664625491269,0.32495627851848874
Word Count,sub_word_count,5,217.343,209.732,7.61099999999999,2.2839946121080095,0.022476333505427944
Self-Reference Rate,sub_self_ref_rate,1,0.04338664801195938,0.0451958392090022,-0.0018091911970428212,-1.5624244707781403,0.11834639184924331
Self-Reference Rate,sub_self_ref_rate,5,0.033558848557172394,0.035190088369844316,-0.0016312398126719224,-1.6625757361147804,0.09655424260430921
ALL-CAPS Ratio,sub_allcaps_ratio,1,0.0005232358369882989,0.0017532794359752326,-0.0012300435989869337,-7.4731425906632944,1.1644124569943892e-13
ALL-CAPS Ratio,sub_allcaps_ratio,5,0.06542959445132886,0.08523833201696936,-0.0198087375656405,-1.9378710868067015,0.05277968711796573
Exclamation Rate,sub_exclamation_rate,1,0.01651303255772778,0.01536546961935126,0.0011475629383765219,2.096041221966917,0.03620404831095924
Exclamation Rate,sub_exclamation_rate,5,0.020084097110299324,0.04856124024027988,-0.028477143129980554,-0.9377758137094735,0.34847297536576194
Emoji Count,sub_emoji_count,1,0.078,0.067,0.010999999999999996,0.7439132066593191,0.45701645889084563
Emoji Count,sub_emoji_count,5,1.18,1.451,-0.27100000000000013,-2.017269019407617,0.04380094075473188
