degradation_metric,probe,condition,r,p,n
TTR Drop (Turn 1 to 5),Reading Probe Confidence,all,0.10687719538249543,1.6642286400582234e-06,2000
TTR Drop (Turn 1 to 5),Reading Probe Confidence,human,0.0826748239151309,0.008906654919319112,1000
TTR Drop (Turn 1 to 5),Reading Probe Confidence,ai,0.17501779960821054,2.5375155541303056e-08,1000
TTR Drop (Turn 1 to 5),Control Probe Confidence,all,0.07221483342477698,0.0012303616996114197,2000
TTR Drop (Turn 1 to 5),Control Probe Confidence,human,0.021530049062274542,0.4964618995790901,1000
TTR Drop (Turn 1 to 5),Control Probe Confidence,ai,0.11945098480570408,0.00015296176075941652,1000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,all,0.12038518667288348,6.661385311479794e-08,2000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,human,0.0840411348994479,0.007837406357104748,1000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,ai,0.1572004819463734,5.853422944170934e-07,1000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,all,0.09615674969499267,1.650678726744562e-05,2000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,human,0.00877155752227823,0.7817498470478843,1000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,ai,0.15338730690107372,1.0973155967687285e-06,1000
