experiment,subject,condition,social_type,word_count,question_count,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,filler_rate,hedge_rate,tom_rate,politeness_rate,sentiment,quality,connectedness
Exp1_Human,sub-001,bot,nonsocial,124.6,0.3,0.012617268502204673,0.021625039519965885,0.014213841778598673,0.0,0.004386357338155926,0.0,0.05284250713892515,0.08277918221098458,0.05690255247076846,0.043939341235749406,0.03649965467972075,0.13588689539233814,0.0,0.004871244934140318,0.004871244934140318,0.02054737342352561,0.03767598830135764,0.014609048915623517,0.002808453465517954,-0.0012498233436204862,0.6145033333333333,2.5,2.1
Exp1_Human,sub-001,bot,social,143.4,0.6,0.011813726683830955,0.02415401304401901,0.009093862370594043,0.0,0.00245368666421298,0.0,0.04751528876265699,0.06014576505057499,0.04904621491339946,0.03655752190755447,0.02724673757932789,0.10560562353728238,0.0006134969325153375,0.0025565863634096466,0.003170083295924984,0.008718979590020205,0.017256702518761727,0.015353933858428337,0.004080163599182005,0.0011919965942954447,0.6859149999999999,2.4,2.0
Exp1_Human,sub-001,hum,nonsocial,141.4,0.7,0.011114315162576055,0.022957936995129824,0.013423011203426555,0.0005555555555555556,0.00443144736360182,0.0007092198581560283,0.05319148613844584,0.07486910214910417,0.055673051059532755,0.03460648858729003,0.03545531250644466,0.12306248590303606,0.0016285153695225637,0.009374634554966467,0.011003149924489032,0.013436039511605302,0.025782208276985512,0.016308339975703284,0.006439557148098756,0.004649419709445308,0.8058299999999999,3.2,2.9
Exp1_Human,sub-001,hum,social,146.8,0.1,0.010357918990953768,0.021075320030574052,0.008357416650946248,0.0012477036129822413,0.0068197087750160364,0.0,0.047858068060472346,0.055841755251190395,0.059922623411923205,0.042436618475211095,0.019643524972022333,0.1110251239432499,0.001262884569989771,0.007171487802135108,0.008434372372124879,0.006126011252136488,0.01997561265609791,0.014227552903143098,0.002476224141123399,0.0004177305722755522,0.520565,3.3,3.6
Exp1_Human,sub-002,bot,nonsocial,135.3,0.0,0.009067196950704348,0.028999442501643373,0.013955319794611778,0.0007936507936507937,0.011096861662505656,0.0007936507936507937,0.06470612249676674,0.05293714347770677,0.0536967366529715,0.03604800558971118,0.037733246264422204,0.1101662010921658,0.0008620689655172414,0.016316303499715242,0.017178372465232482,0.020542320266268795,0.034796710102979786,0.014891848120544199,0.0,0.0,0.39519000000000004,2.6,2.4
Exp1_Human,sub-002,bot,social,143.5,0.2,0.008426705746960814,0.03217240390181157,0.01138157830386603,0.0,0.004513861222461821,0.0,0.05649454917510024,0.06253409814726428,0.053139510692763084,0.0422087552470609,0.04889186988731588,0.12136784313536098,0.0029363177347139927,0.017175832931032912,0.020112150665746904,0.025082629778064282,0.03959917613542116,0.018508561561894326,0.002739389070426604,0.0014863387978142077,0.7170449999999999,2.8,2.6
Exp1_Human,sub-002,hum,nonsocial,157.9,0.0,0.012382592566259952,0.018010380348407795,0.008872850983903991,0.0006097560975609756,0.007564454091063065,0.0,0.04744003408719578,0.0720374275789237,0.06258677013420205,0.045316442827375784,0.04829408534974915,0.1307807957566803,0.001207590569292697,0.009987463244491207,0.011195053813783903,0.028925640764356025,0.04254060891955271,0.01893383219425899,0.0,0.0010246164092317937,0.788635,3.0,2.8
Exp1_Human,sub-002,hum,social,159.7,0.0,0.003480552526354053,0.023439118141482262,0.09381043735509409,0.0,0.0007462686567164179,0.0,0.12147637667964681,0.06025065111895127,0.056314389550247514,0.04567146056637294,0.04387928048491492,0.11442315139316317,0.0038353469243337566,0.008947486779570883,0.01278283370390464,0.020756313417635584,0.034164534023106166,0.02286533840864991,0.0016260162601626018,-0.0004924462551203678,0.60712,3.4,3.1
Exp1_Human,sub-003,bot,nonsocial,148.3,0.5,0.004957154310347002,0.01588572825941563,0.011175161959823385,0.0,0.007157954127963012,0.0007633587786259542,0.03993935743617498,0.08574234381983424,0.06889841714832746,0.060701360220030066,0.036555987053653725,0.14193362397716833,0.00474902488802548,0.010331952650299502,0.01508097753832498,0.01037551119700733,0.04954986539166561,0.018894019675137715,0.006648412171478868,0.00011847435603454864,0.816245,2.6,2.3
Exp1_Human,sub-003,bot,social,175.5,0.2,0.010401982092322584,0.031037583161177707,0.014231005426596836,0.00041666666666666664,0.007122335395159431,0.0004716981132075472,0.06368127085513077,0.06118133363919938,0.051138764005178375,0.04612625579267759,0.02865139824460975,0.10734259169588949,0.0016838193253287594,0.009057467158764607,0.010741286484093367,0.010825975020220395,0.03523160314634809,0.01640104672130357,0.005631985986225441,0.0010338257585031819,0.53942,2.5,2.2
