experiment,subject,condition,word_count,question_count,hedge_count,tom_count,filler_rate,politeness_rate,quality,connectedness
Exp2_LLM,s003,hum,258.3,2.5,0.25,0.25,0.011917576918755956,0.021411735974538885,3.9,3.95
Exp2_LLM,s004,bot,312.05,1.55,0.25,0.3,0.008953751979139671,0.014057574657299569,3.95,3.9
Exp2_LLM,s004,hum,220.8,2.2,0.5,0.3,0.011552815662324505,0.03114051003119756,3.7,3.7
Exp2_LLM,s005,bot,287.2,1.85,0.05,0.3,0.008730560933844052,0.019682117438634794,3.85,3.85
Exp2_LLM,s005,hum,285.35,2.8,0.55,0.55,0.01267188131791347,0.016046482501174488,3.85,3.9
Exp2_LLM,s006,bot,324.65,1.85,0.45,0.45,0.006440242949850688,0.01605761933819606,3.9,3.95
Exp2_LLM,s006,hum,271.8,2.7,0.4,0.4,0.01286201138281671,0.015689099779797232,3.9,3.9
Exp2_LLM,s007,bot,304.75,2.2,0.35,0.3,0.008115026218960713,0.013799786941287773,3.95,3.95
Exp2_LLM,s007,hum,298.8,2.5,0.3,0.3,0.00957476467900225,0.016900630913860896,3.9,3.9
Exp2_LLM,s008,bot,289.05,1.55,0.1,0.25,0.008349252143100911,0.016179298757929454,3.75,3.8
Exp2_LLM,s008,hum,259.65,1.95,0.35,0.3,0.011713064422463759,0.0221444143600709,3.9,3.9
Exp2_LLM,s009,bot,340.6,2.3,0.3,0.6,0.008022787101033638,0.009447722138840943,4.0,3.95
Exp2_LLM,s009,hum,297.05,2.55,0.45,0.4,0.009385623879131694,0.01798172527746722,3.95,3.95
Exp2_LLM,s010,bot,295.05,2.25,0.2,0.2,0.008287757462168269,0.018915865685650582,3.8,3.8
Exp2_LLM,s010,hum,294.05,2.65,0.35,0.3,0.008919746218222899,0.0161935678506195,3.85,3.85
Exp2_LLM,s011,bot,297.5,2.4,0.15,0.1,0.00879214079030379,0.014752317500254488,3.8,3.9
Exp2_LLM,s011,hum,274.0,2.65,0.65,0.5,0.009448279476855117,0.018248580913001262,3.9,3.95
Exp2_LLM,s012,bot,321.8,2.45,0.25,0.2,0.010009145329091113,0.013497827545888469,3.8,3.8
Exp2_LLM,s012,hum,291.2,2.55,0.35,0.3,0.010945936132377059,0.016321321018659463,3.95,4.0
Exp2_LLM,s013,bot,300.05,1.9,0.2,0.15,0.008870108402253033,0.011368083894236585,4.0,4.0
Exp2_LLM,s013,hum,277.35,2.6,0.35,0.45,0.009524536100038691,0.01718104533221397,3.9,3.9
Exp2_LLM,s014,bot,274.85,1.5,0.3,0.2,0.00811078699355512,0.017958570523470718,3.8,3.8
Exp2_LLM,s014,hum,290.55,2.25,0.7,0.55,0.00931529826199231,0.016405288730071386,3.95,3.9
Exp2_LLM,s015,bot,303.5,1.7,0.45,0.35,0.008142654777806799,0.015733926396719552,3.85,3.85
Exp2_LLM,s015,hum,256.5,2.3,0.2,0.25,0.009394558404325822,0.018039547627202914,3.85,3.85
Exp2_LLM,s016,bot,302.7,1.85,0.1,0.35,0.00899656466581469,0.013354052715760633,3.9,3.9
Exp2_LLM,s016,hum,264.15,2.65,0.3,0.35,0.01042484773792655,0.018623495850338675,3.85,3.85
Exp2_LLM,s017,bot,303.95,2.7,0.45,0.35,0.006934789883015585,0.013206219693645788,3.9,3.85
Exp2_LLM,s017,hum,258.0,2.1,0.55,0.5,0.009183370782290385,0.020742699072591124,3.9,4.0
Exp2_LLM,s018,bot,313.45,2.15,0.3,0.2,0.011032203861038616,0.0145341895926653,4.0,4.0
Exp2_LLM,s018,hum,245.7,2.65,0.4,0.75,0.010795630611495282,0.025132515797476912,3.85,3.9
Exp2_LLM,s019,bot,345.3,2.25,0.25,0.25,0.007401303940387708,0.0115641243126753,3.9,3.9
Exp2_LLM,s019,hum,270.15,2.2,0.55,0.25,0.008158291599839499,0.017589222145822717,3.95,3.85
Exp2_LLM,s020,bot,284.0,1.55,0.15,0.2,0.013073766170205805,0.015113121599821944,3.9,3.9
Exp2_LLM,s020,hum,300.05,2.9,0.4,0.55,0.012301884251234541,0.01768074320300115,3.95,4.0
Exp2_LLM,s021,bot,344.4,2.15,0.1,0.2,0.007788497895927757,0.012683886304527953,3.95,3.95
Exp2_LLM,s021,hum,268.05,2.35,0.65,0.35,0.010289025926218618,0.019284331875294332,3.75,3.75
Exp2_LLM,s022,bot,334.05,1.7,0.2,0.15,0.006958502775313695,0.008419832557582479,3.95,3.9
Exp2_LLM,s022,hum,271.6,1.95,0.4,0.4,0.010769318941654954,0.02191497071307797,3.9,3.9
Exp2_LLM,s023,bot,285.95,2.05,0.4,0.35,0.008693905255717917,0.016165249467386976,3.8,3.8
Exp2_LLM,s023,hum,267.2,2.15,0.25,0.65,0.011351056948489391,0.018722400354179998,4.0,4.0
Exp2_LLM,s024,bot,283.9,1.7,0.45,0.1,0.0070297678211102875,0.02151182997013235,3.8,3.8
Exp2_LLM,s024,hum,282.95,2.1,0.6,0.35,0.009347045689198205,0.021459502486021534,3.75,3.85
Exp2_LLM,s025,bot,320.0,1.55,0.1,0.25,0.008078234164690251,0.012849101530890184,3.9,3.95
Exp2_LLM,s025,hum,238.25,2.05,0.35,0.5,0.011831098354349822,0.022282553671620662,3.95,3.95
Exp2_LLM,s026,bot,297.25,1.95,0.1,0.45,0.008974347678547495,0.013804395177447767,4.0,4.0
Exp2_LLM,s026,hum,295.8,2.25,0.25,0.35,0.009747669097860703,0.01612475775494035,3.95,3.9
Exp2_LLM,s027,bot,293.05,1.65,0.3,0.3,0.011922438558050707,0.019094914789433932,3.85,3.85
Exp2_LLM,s027,hum,269.65,1.95,0.7,0.5,0.007804786276627543,0.01781461778950385,3.85,3.85
Exp2_LLM,s028,bot,305.15,1.85,0.5,0.15,0.007376076428359681,0.013611349709680521,3.9,3.9
Exp2_LLM,s028,hum,259.85,2.7,0.5,0.4,0.012045223864416645,0.02079313903379256,3.9,3.95
Exp2_LLM,s029,bot,304.1,2.05,0.45,0.2,0.006563816301568544,0.01500157397265244,3.85,3.85
Exp2_LLM,s029,hum,242.45,2.5,0.45,0.45,0.011985993185829321,0.018887651326973398,3.75,3.9
Exp2_LLM,s030,bot,302.85,2.7,0.15,0.15,0.011484463904309683,0.013211935076256504,3.85,3.8
Exp2_LLM,s030,hum,265.7,2.7,0.45,0.8,0.009167312062804554,0.018786563247022815,3.95,3.95
Exp2_LLM,s031,bot,313.5,2.5,0.3,0.25,0.009921402964461765,0.014425628746316732,3.85,3.9
Exp2_LLM,s031,hum,271.95,2.5,0.5,0.25,0.009828388286039866,0.020252355683001568,3.9,3.9
Exp2_LLM,s032,bot,295.55,1.6,0.2,0.25,0.00825266415571231,0.017267026515014543,3.9,3.85
Exp2_LLM,s032,hum,254.7,2.35,0.4,0.45,0.00933945040161297,0.02306627639792821,3.85,3.85
Exp2_LLM,s033,bot,329.35,1.85,0.3,0.3,0.00981996503551101,0.01174530590989488,3.85,3.8
Exp2_LLM,s033,hum,245.6,2.5,0.55,0.65,0.011058483757799104,0.025707012878216834,3.7,3.75
Exp2_LLM,s034,bot,329.45,2.45,0.2,0.2,0.010322280563970814,0.00989797745426561,3.9,3.95
Exp2_LLM,s034,hum,258.75,2.6,0.4,0.5,0.0111022939000109,0.021192867686478316,3.85,3.9
Exp2_LLM,s035,bot,304.3,2.5,0.4,0.35,0.009569774652770084,0.01196345600072463,3.85,3.75
Exp2_LLM,s035,hum,285.2,2.55,0.35,0.55,0.01223881488580673,0.017053955259463804,3.85,3.8
Exp2_LLM,s036,bot,287.1,2.15,0.15,0.25,0.008624449468035417,0.01544828464888294,3.95,3.95
