experiment,subject,condition,social_type,word_count,question_count,hedge_count,tom_count,filler_rate,politeness_rate,quality,connectedness
Exp1_Human,sub-015,bot,nonsocial,107.9,0.7,1.0,0.1,0.04219889787029331,0.0024691358024691358,,
Exp1_Human,sub-015,bot,social,111.6,0.4,1.3,0.2,0.04398255625617943,0.0015584415584415587,,
Exp1_Human,sub-015,hum,nonsocial,111.5,0.0,2.6,0.0,0.04871595331308727,0.0013071895424836603,,
Exp1_Human,sub-015,hum,social,117.4,0.2,1.4,0.0,0.04594190789153044,0.002614550091255571,,
Exp1_Human,sub-016,bot,nonsocial,80.2,0.6,1.0,0.0,0.05039089121725197,0.004705882352941176,,
Exp1_Human,sub-016,bot,social,82.4,0.6,1.3,0.0,0.03494775988788489,0.0027777777777777775,,
Exp1_Human,sub-016,hum,nonsocial,89.4,0.4,1.6,0.2,0.07367498610323883,-0.0009259259259259259,,
Exp1_Human,sub-016,hum,social,98.0,0.2,2.1,0.0,0.048320650600121785,0.001526374859708193,,
Exp1_Human,sub-017,bot,nonsocial,102.1,0.5,1.9,0.6,0.051670074180946254,0.0014285714285714286,,
Exp1_Human,sub-017,bot,social,110.7,0.5,3.2,1.0,0.03212895686942895,0.0016741071428571428,,
Exp1_Human,sub-017,hum,nonsocial,93.1,0.5,2.0,1.0,0.05256502685585207,0.0015487582277780851,,
Exp1_Human,sub-017,hum,social,94.7,0.1,2.4,0.6,0.043270228719598805,0.0072763591832775585,,
Exp1_Human,sub-018,bot,nonsocial,90.1,0.0,1.1,0.2,0.026245739941687673,0.0012658227848101266,,
Exp1_Human,sub-018,bot,social,99.1,0.1,1.2,0.0,0.009938697260787699,-0.0009523809523809525,,
Exp1_Human,sub-018,hum,nonsocial,109.2,0.0,1.3,0.0,0.030462967706831934,0.0012048192771084338,,
Exp1_Human,sub-018,hum,social,104.2,0.0,0.7,0.0,0.011336655631689218,0.0,,
Exp1_Human,sub-019,bot,nonsocial,126.3,1.5,2.2,1.7,0.04787630189415469,0.02059345389478149,,
Exp1_Human,sub-019,bot,social,126.3,1.0,1.6,2.5,0.040838465045438435,0.005368450628145843,,
Exp1_Human,sub-019,hum,nonsocial,106.8,1.1,1.6,0.7,0.0544913122574421,0.002680652680652681,,
Exp1_Human,sub-019,hum,social,127.8,0.7,2.4,1.3,0.044471681454503156,0.0055808682622331155,,
Exp1_Human,sub-020,bot,nonsocial,137.375,0.125,3.875,0.0,0.03836110956703699,0.0014367816091954023,,
Exp1_Human,sub-020,bot,social,163.25,0.0,3.75,1.125,0.03908568802741365,0.0006793478260869565,,
Exp1_Human,sub-020,hum,nonsocial,150.125,0.0,2.875,0.125,0.025161652590312104,0.002564976436086985,,
Exp1_Human,sub-020,hum,social,172.75,0.125,4.5,0.25,0.0277540408329562,-0.0012832652247582975,,
Exp1_Human,sub-021,bot,nonsocial,34.4,0.0,0.2,0.0,0.047480152557747714,0.003125,,
Exp1_Human,sub-021,bot,social,38.3,0.4,0.4,0.1,0.027369194798343006,0.017225874867444327,,
Exp1_Human,sub-021,hum,nonsocial,38.3,0.1,0.6,0.1,0.05156679801445704,0.0020833333333333333,,
Exp1_Human,sub-021,hum,social,47.0,0.0,0.2,0.0,0.04653647182786679,0.0,,
Exp1_Human,sub-022,bot,nonsocial,139.1,0.1,0.7,0.1,0.03460836771373589,0.0008333333333333333,,
Exp1_Human,sub-022,bot,social,127.4,0.3,0.5,0.1,0.03777783679258635,0.0,,
Exp1_Human,sub-022,hum,nonsocial,158.6,0.3,1.3,0.1,0.03217852131902238,0.0,,
Exp1_Human,sub-022,hum,social,125.2,0.3,1.1,0.1,0.03673064552906964,0.003062558356676004,,
Exp1_Human,sub-023,bot,nonsocial,108.0,0.6,1.6,0.0,0.042670837653036794,0.0008333333333333333,,
Exp1_Human,sub-023,bot,social,112.2,0.2,3.0,0.0,0.0233397268503658,0.0014335401391238954,,
Exp1_Human,sub-023,hum,nonsocial,121.0,0.7,3.8,0.0,0.02967439999176582,0.0017508417508417507,,
Exp1_Human,sub-023,hum,social,135.4,0.2,2.9,0.1,0.05279462470966806,0.0011105276975584143,,
Exp2_LLM,s001,bot,nonsocial,297.1,2.5,0.4,0.3,0.009576245909859633,0.023381468576556423,3.7,3.8
Exp2_LLM,s001,bot,social,304.8,1.3,0.3,0.3,0.006421321422510035,0.011258074453621324,3.9,3.9
Exp2_LLM,s001,hum,nonsocial,252.2,3.1,0.6,0.4,0.015480997935401544,0.01848103524998653,3.8,3.9
Exp2_LLM,s001,hum,social,289.9,1.9,0.2,0.5,0.01224243417037048,0.022575314364569908,4.0,4.0
Exp2_LLM,s002,bot,nonsocial,300.3,1.7,0.5,0.3,0.00718737891303918,0.010034801874158597,3.9,3.9
Exp2_LLM,s002,bot,social,293.3,0.8,0.2,0.3,0.0057209104593259254,0.014112520979409482,4.0,4.0
Exp2_LLM,s002,hum,nonsocial,257.6,3.2,0.4,0.4,0.014035610052972136,0.016724926406779864,3.9,3.9
Exp2_LLM,s002,hum,social,219.9,3.1,0.4,0.7,0.00930807401293167,0.02777874407136821,3.6,3.6
Exp2_LLM,s003,bot,nonsocial,255.4,1.8,0.6,0.3,0.007536327655667363,0.023308043356700264,3.8,3.8
Exp2_LLM,s003,bot,social,302.1,1.8,0.3,0.2,0.0038289263356573516,0.012746061352614246,3.9,3.9
Exp2_LLM,s003,hum,nonsocial,248.2,2.8,0.2,0.2,0.017006258343480317,0.022426740177657965,3.8,3.9
Exp2_LLM,s003,hum,social,268.4,2.2,0.3,0.3,0.006828895494031593,0.020396731771419804,4.0,4.0
Exp2_LLM,s004,bot,nonsocial,340.5,2.0,0.3,0.6,0.007921240216226769,0.009013873159689543,4.0,4.0
Exp2_LLM,s004,bot,social,283.6,1.1,0.2,0.0,0.009986263742052576,0.019101276154909592,3.9,3.8
Exp2_LLM,s004,hum,nonsocial,196.1,2.7,0.4,0.3,0.016058439828441174,0.03642559163384932,3.5,3.5
Exp2_LLM,s004,hum,social,245.5,1.7,0.6,0.3,0.00704719149620784,0.025855428428545796,3.9,3.9
Exp2_LLM,s005,bot,nonsocial,280.4,2.4,0.1,0.2,0.009655663066772898,0.02451359666377146,3.8,3.8
Exp2_LLM,s005,bot,social,294.0,1.3,0.0,0.4,0.007805458800915206,0.01485063821349813,3.9,3.9
Exp2_LLM,s005,hum,nonsocial,254.8,2.8,0.6,0.5,0.013694858538610225,0.016129156514963175,3.8,3.9
Exp2_LLM,s005,hum,social,315.9,2.8,0.5,0.6,0.011648904097216714,0.0159638084873858,3.9,3.9
Exp2_LLM,s006,bot,nonsocial,334.4,2.4,0.3,0.3,0.007046810239471469,0.016854795773947048,3.9,3.9
Exp2_LLM,s006,bot,social,314.9,1.3,0.6,0.6,0.005833675660229906,0.015260442902445073,3.9,4.0
Exp2_LLM,s006,hum,nonsocial,258.1,3.1,0.2,0.4,0.014452029473853403,0.01617487696545631,3.9,3.9
Exp2_LLM,s006,hum,social,285.5,2.3,0.6,0.4,0.011271993291780014,0.015203322594138157,3.9,3.9
Exp2_LLM,s007,bot,nonsocial,304.6,2.8,0.6,0.3,0.008152220067838103,0.010990820134831422,3.9,3.9
Exp2_LLM,s007,bot,social,304.9,1.6,0.1,0.3,0.008077832370083323,0.016608753747744124,4.0,4.0
