degradation_metric,probe,condition,r,p,n
TTR Drop (Turn 1 to 5),Reading Probe Confidence,all,-0.05982474277457442,0.007446923832078557,2000
TTR Drop (Turn 1 to 5),Reading Probe Confidence,human,-0.0406605772213329,0.19888893101015995,1000
TTR Drop (Turn 1 to 5),Reading Probe Confidence,ai,-0.05812630995982983,0.06615529607798873,1000
TTR Drop (Turn 1 to 5),Control Probe Confidence,all,-0.023198232240247647,0.299760359500009,2000
TTR Drop (Turn 1 to 5),Control Probe Confidence,human,-0.030122419179209454,0.34131049262653573,1000
TTR Drop (Turn 1 to 5),Control Probe Confidence,ai,0.01469583309613214,0.6425281926951664,1000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,all,-0.06382738482737932,0.004295899903054976,2000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,human,-0.028129352475993335,0.37422265492713186,1000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,ai,-0.09210654009242097,0.0035543742999019166,1000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,all,-0.07149219676868525,0.0013775039933027193,2000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,human,-0.07278014555822601,0.0213529599532064,1000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,ai,-0.06651499995805825,0.03545811428337531,1000
