metric,metric_col,turn,human_mean,ai_mean,diff,t,p
Type-Token Ratio (TTR),sub_ttr,1,0.6978654982836374,0.7177783762202022,-0.01991287793656482,-5.148135570463762,2.889068383086113e-07
Type-Token Ratio (TTR),sub_ttr,5,0.5800461358998102,0.5799569148537136,8.922104609665471e-05,0.02119003417960293,0.9830961799296039
Trigram Repetition Rate,sub_trigram_rep,1,0.012069222295250244,0.009809913950414573,0.0022593083448356702,3.3810166512219753,0.0007360852795241148
Trigram Repetition Rate,sub_trigram_rep,5,0.06400608805417304,0.064218268692792,-0.00021218063861895564,-0.06360469773670263,0.9492913534730674
Word Count,sub_word_count,1,142.629,132.534,10.094999999999999,4.267611382287089,2.0681668110732937e-05
Word Count,sub_word_count,5,210.088,211.021,-0.9329999999999927,-0.28109817282143995,0.7786642086393588
Self-Reference Rate,sub_self_ref_rate,1,0.049465540054573105,0.04755509239513264,0.0019104476594404632,1.6544918565810232,0.09818468437718961
Self-Reference Rate,sub_self_ref_rate,5,0.03428592985341375,0.03670174686560727,-0.0024158170121935177,-2.4827483634514107,0.013118856478379123
ALL-CAPS Ratio,sub_allcaps_ratio,1,0.0010382309910047587,0.001337158052251288,-0.00029892706124652916,-1.441525311562927,0.14959304105914834
ALL-CAPS Ratio,sub_allcaps_ratio,5,0.048489171734659324,0.04817357645320872,0.0003155952814506008,0.03920923217117697,0.9687274903194293
Exclamation Rate,sub_exclamation_rate,1,0.01597520677282372,0.018647204278245354,-0.002671997505421634,-4.215399675251252,2.6045251429846075e-05
Exclamation Rate,sub_exclamation_rate,5,0.06704403736879333,0.02032504200813844,0.046718995360654894,0.9575759512056835,0.33839248246625997
Emoji Count,sub_emoji_count,1,0.11,0.156,-0.046,-2.378800752860887,0.01746252744886066
Emoji Count,sub_emoji_count,5,1.104,1.398,-0.2939999999999998,-2.164268282947871,0.030561886707793327
