Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,0.5,0.2,0.0,0.2
s002,0.4,0.4,0.6,0.1
s003,0.2,0.3,0.2,0.4
s004,0.2,0.3,0.1,0.4
s005,0.0,0.3,0.4,0.5
s006,0.0,0.2,0.5,0.2
s007,0.2,0.3,0.4,0.2
s008,0.1,0.2,0.3,0.3
s009,0.4,0.8,0.4,0.2
s010,0.3,0.2,0.4,0.4
s011,0.5,0.2,0.1,0.3
s012,0.2,0.2,0.1,0.6
s013,0.2,0.1,0.7,0.3
s014,0.2,0.1,0.1,0.1
s015,0.4,0.3,0.5,0.4
s016,0.3,0.2,0.2,0.1
s017,0.1,0.4,0.5,0.7
s018,0.1,0.2,0.2,0.7
s019,0.1,0.2,0.2,0.6
s020,0.3,0.6,0.5,0.2
s021,0.2,0.4,0.2,0.6
s022,0.3,0.1,0.2,0.2
s023,0.3,0.3,0.2,0.8
s024,0.4,0.2,0.2,0.7
s025,0.2,0.3,0.2,0.4
s026,0.4,0.3,0.3,0.3
s027,0.2,0.1,0.2,0.8
s028,0.3,0.4,0.5,0.0
s029,0.3,0.3,0.7,0.7
s030,0.2,0.0,0.6,0.3
s031,0.3,0.2,0.1,0.2
s032,0.1,0.1,0.4,0.4
s033,0.2,0.2,0.8,0.4
s034,0.2,0.2,0.3,0.4
s035,0.1,0.1,0.3,0.5
s036,0.1,0.2,0.2,0.4
s037,0.2,0.2,0.4,0.8
s038,0.1,0.2,0.4,0.3
s039,0.0,0.4,0.4,0.3
s040,0.4,0.1,0.5,0.4
s041,0.2,0.3,0.4,0.5
s042,0.1,0.2,0.6,1.0
s043,0.0,0.2,0.2,0.3
s044,0.4,0.2,0.4,0.2
s045,0.5,0.2,0.1,0.5
s046,0.6,0.3,0.3,0.2
s047,0.1,0.2,0.4,0.3
s048,0.2,0.3,0.1,0.3
s049,0.4,0.1,0.2,0.3
s050,0.7,0.5,0.3,0.2
