metric,metric_col,turn,human_mean,ai_mean,diff,t,p
Type-Token Ratio (TTR),sub_ttr,1,0.7220095917200685,0.7232206978350268,-0.001211106114958338,-0.322978977196354,0.7467449597415494
Type-Token Ratio (TTR),sub_ttr,5,0.5756920354527165,0.5843124106595879,-0.008620375206871422,-2.072082171639769,0.03838579130453886
Trigram Repetition Rate,sub_trigram_rep,1,0.010307902625357466,0.009003796955449917,0.0013041056699075494,2.0345815567500303,0.04202479555107214
Trigram Repetition Rate,sub_trigram_rep,5,0.06997620618051992,0.057534787362666324,0.012441418817853593,3.7726543113718947,0.00016622244418432723
Word Count,sub_word_count,1,125.67,125.265,0.40500000000000114,0.17921155711924314,0.8577897603120606
Word Count,sub_word_count,5,213.81,209.921,3.88900000000001,1.1757086307114646,0.23985140336017852
Self-Reference Rate,sub_self_ref_rate,1,0.042044580803758946,0.044755079463484296,-0.0027104986597253494,-2.406166200565669,0.016211225820208224
Self-Reference Rate,sub_self_ref_rate,5,0.034012124493241085,0.034827920332573356,-0.0008157958393322715,-0.8464206277862866,0.3974194978017094
ALL-CAPS Ratio,sub_allcaps_ratio,1,0.0005102461758146627,0.0019340565148091965,-0.0014238103389945338,-8.02932276183621,1.6567101187985526e-15
ALL-CAPS Ratio,sub_allcaps_ratio,5,0.052661515963152494,0.05033602505662506,0.002325490906527436,0.27769669294104926,0.7812739299505969
Exclamation Rate,sub_exclamation_rate,1,0.01622463434324127,0.015595537272224451,0.0006290970710168195,1.213743173374704,0.22498926619849374
Exclamation Rate,sub_exclamation_rate,5,0.01898318606002583,0.016831740948589115,0.002151445111436716,2.7517086070164116,0.00598206173942258
Emoji Count,sub_emoji_count,1,0.093,0.077,0.016,1.0747126038426602,0.28263318549692557
Emoji Count,sub_emoji_count,5,1.362,1.159,0.20300000000000007,1.5068561518834482,0.13200561595022628
