Subject,bot,hum
s001,0.008921498999012789,0.011295294240229199
s002,0.010834005474794508,0.01220851036507925
s003,0.010078738765629312,0.012864814652890062
s004,0.008298742428832143,0.01146201270076035
s005,0.01049204592725044,0.011030997621695762
s006,0.010655226863740673,0.01386292944408545
s007,0.008962651219207947,0.007662441515960083
s008,0.008651522359600823,0.012128086371370741
s009,0.010639576586712142,0.010854010349920092
s010,0.008512398068913723,0.010125697786965765
s011,0.011129883335714338,0.011520059218513977
s012,0.011654426656403555,0.010791925899849309
s013,0.011465686656437829,0.00867866830216253
s014,0.009916444770372245,0.01359494265622673
s015,0.010440423218020134,0.013479114472018413
s016,0.01145676156805939,0.013139389237570505
s017,0.013621567943010329,0.01395457732182672
s018,0.009605123358252966,0.010904446617204498
s019,0.009214771325765076,0.012026983505283757
s020,0.009520759104228404,0.00912291264079847
s021,0.012965626709428755,0.010110980482579279
s022,0.00981783649385699,0.012606648290398237
s023,0.010472002315352825,0.011586171426344294
s024,0.008187299363246248,0.013859043239056443
s025,0.011296174117506887,0.00929202619463838
s026,0.00977457733164122,0.009735220502378687
s027,0.011156283569502996,0.009935662227756964
s028,0.01171714538077861,0.012326948680169272
s029,0.007366302599122965,0.01148298446575073
s030,0.011562230921680114,0.010027128037408685
s031,0.008431625587506318,0.008430323281302195
s032,0.01099174197589737,0.012747630136675216
s033,0.0103980544260791,0.009808817394599873
s034,0.010856281731036279,0.010038940585281262
s035,0.009530751470512912,0.010924478528425086
s036,0.009616830626258436,0.009286657118562802
s037,0.009534478830881307,0.011780342835416782
s038,0.01058181538140557,0.011475895112319301
s039,0.008196741931792196,0.010711123654574706
s040,0.010060446347707704,0.013774019004197242
s041,0.007543364143973028,0.010800438318653629
s042,0.00876757680817767,0.010993063548388535
s043,0.010826605528634117,0.015471603392701216
s044,0.0117892523561546,0.011865725927354458
s045,0.01361347086454258,0.010645320939959724
s046,0.009835438875397718,0.00976691939786338
s047,0.011614034618737607,0.009166722285481078
s048,0.009275790976658038,0.011723867018839772
s049,0.010459687567403803,0.010135882967424476
s050,0.010875325619962678,0.01133587244200865
