metric,metric_col,turn,human_mean,ai_mean,diff,t,p
Type-Token Ratio (TTR),sub_ttr,1,0.7267080931475179,0.7336714938137809,-0.006963400666262998,-1.9198491602705685,0.05501920004599632
Type-Token Ratio (TTR),sub_ttr,5,0.5763331650792543,0.5835065341233503,-0.007173369044096045,-1.733461007353225,0.08316803398296069
Trigram Repetition Rate,sub_trigram_rep,1,0.010048060601218215,0.0077860546371807705,0.0022620059640374446,3.604241603484337,0.0003207307324528139
Trigram Repetition Rate,sub_trigram_rep,5,0.06761896774073647,0.0642868159866653,0.003332151754071172,0.9711731814737244,0.3315795988988183
Word Count,sub_word_count,1,124.269,118.709,5.560000000000002,2.5795671676989773,0.009963286652340267
Word Count,sub_word_count,5,214.522,210.632,3.8899999999999864,1.194753677967208,0.23232508739087263
Self-Reference Rate,sub_self_ref_rate,1,0.0446962581776871,0.0420936443012345,0.0026026138764525947,2.2434105683952854,0.024979521604093755
Self-Reference Rate,sub_self_ref_rate,5,0.03561568154333577,0.03440263115285414,0.0012130503904816264,1.1956759699632777,0.23196491815115056
ALL-CAPS Ratio,sub_allcaps_ratio,1,0.0009481098955532267,0.0021633724975282024,-0.0012152626019749759,-5.579089791192327,2.7468967516588178e-08
ALL-CAPS Ratio,sub_allcaps_ratio,5,0.06386698852095478,0.0737490897055663,-0.009882101184611525,-1.0363528075260637,0.3001629874491539
Exclamation Rate,sub_exclamation_rate,1,0.019282552211273982,0.01791101309778653,0.0013715391134874536,2.2224422044582166,0.026365006579352493
Exclamation Rate,sub_exclamation_rate,5,0.0703045934940045,0.06160558069505633,0.00869901279894817,0.1374543729951939,0.8906855051649512
Emoji Count,sub_emoji_count,1,0.262,0.16,0.10200000000000001,3.921822742442866,9.084848777667922e-05
Emoji Count,sub_emoji_count,5,1.525,1.754,-0.2290000000000001,-1.5087388278399438,0.13152364486579404
