human_mean,ai_mean,diff,t,p,cohen_d,ci_lo,ci_hi,n_human,n_ai,dimension,p_fdr
0.008724715,0.011764016,-0.0030393014,-2.4901782216364126,0.01284860966740024,-0.111364156,-0.005638492607977242,-0.0007610572734847678,1000,1000,10_animacy,0.023775163282696892
-0.010769593,-0.011021174,0.00025158096,0.37770996389860434,0.7056861842736294,0.016891703,-0.0011575950775295496,0.0016073870006948706,1000,1000,11_formality,0.7611274858020236
-0.011951865,-0.012775189,0.00082332455,1.4526611481151288,0.14647488214126925,0.06496498,-0.00030052829533815383,0.002011769847013056,1000,1000,12_expertise,0.18502090375739275
-0.0024398288,-0.0055567217,0.0031168929,5.034067093090782,5.232475262095387e-07,0.22513033,0.0018976787163410337,0.0043584930012002575,1000,1000,13_helpfulness,6.278970314514465e-06
-0.016716274,-0.013092774,-0.0036234995,-4.032470970652755,5.726675952812691e-05,-0.1803376,-0.005320893554016948,-0.0018620191607624295,1000,1000,14_biological,0.00022906703811250765
-0.012740858,-0.011473499,-0.0012673587,-2.489357617285004,0.01287821344479415,-0.11132746,-0.002236416470259428,-0.00022211296018213042,1000,1000,15_shapes,0.023775163282696892
0.0010174776,0.003086091,-0.0020686134,-4.248451536848372,2.251450568519081e-05,-0.18999653,-0.0029865685326512905,-0.0011452430509962142,1000,1000,16_human,0.00010806962728891589
0.015228717,0.017827412,-0.0025986955,-4.5636271614592685,5.333263043946004e-06,-0.20409162,-0.0037782873725518583,-0.0014909871155396105,1000,1000,17_ai,4.266610435156803e-05
-0.024079295,-0.022613762,-0.0014655329,-2.3854310290096743,0.01715181773645286,-0.10667972,-0.0027121245395392178,-0.00023908670991659188,1000,1000,18_attention,0.029403116119633477
0.015690614,0.01457899,0.0011116238,1.9557661528651515,0.05063189174943777,0.08746453,2.1316064521670356e-05,0.002272647339850664,1000,1000,1_phenomenology,0.08101102679910042
-0.017350728,-0.017403187,5.2459538e-05,0.09422306419150885,0.9249414113831254,0.0042137834,-0.0010201825760304927,0.001195903122425079,1000,1000,25_beliefs,0.9249414113831254
0.010774675,0.00984757,0.0009271046,1.7878275859772697,0.07395533202608721,0.07995408,-8.802397642284631e-05,0.0020126250339671968,1000,1000,26_desires,0.10440752756624076
0.026207307,0.022948766,0.0032585412,5.776772959103382,8.811624493000599e-09,0.25834513,0.002169883484020829,0.004349610907956957,1000,1000,27_goals,2.1147898783201438e-07
0.025461623,0.025108676,0.00035294704,0.42676428748005313,0.6695969993130899,0.01908548,-0.0011276128701865674,0.0020036583300679918,1000,1000,2_emotions,0.7611274858020236
-0.016704319,-0.014115979,-0.00258834,-3.9531794647392298,7.980376388915157e-05,-0.17679156,-0.0038468593265861273,-0.0013215663377195604,1000,1000,30_granite_sandstone,0.0002394112916674547
-0.012245877,-0.010322647,-0.0019232295,-2.830351465340141,0.00469618424132185,-0.12657717,-0.003111489629372954,-0.000549371191300452,1000,1000,31_squares_triangles,0.010246220162884035
-0.0010589645,-0.0014481196,0.00038915512,0.7503660347662722,0.4531226346919617,0.03355739,-0.0005937421839917079,0.0014158740610582749,1000,1000,32_horizontal_vertical,0.543747161630354
0.015137245,0.011031841,0.004105404,4.344235014697958,1.4676607199504294e-05,0.1942801,0.0023881478002294896,0.0059604085050523285,1000,1000,3_agency,8.805964319702577e-05
0.03665626,0.033395603,0.0032606572,3.9811603487824976,7.103212031970493e-05,0.1780429,0.0015825671143829823,0.004914927575737237,1000,1000,4_intentions,0.0002394112916674547
-0.0012905326,-0.0040316666,0.0027411338,3.4171615814320764,0.0006454542460960868,0.15282013,0.0012466731859603897,0.004285414691548794,1000,1000,5_prediction,0.0017212113229228981
-9.9052755e-05,-0.0022529066,0.002153854,2.905018030937423,0.0037126874934826698,0.12991636,0.0008439679077127948,0.003606791421771049,1000,1000,6_cognitive,0.008910449984358406
-0.014334812,-0.015335695,0.001000883,1.5641005033393889,0.11795232953098776,0.0699487,-0.00018314812332391738,0.0022222327301278707,1000,1000,7_social,0.15726977270798367
0.009639094,0.010783627,-0.001144533,-1.8337880115290641,0.06683413345471588,-0.082009494,-0.002344185160472989,0.0001193559495732188,1000,1000,8_embodiment,0.10025120018207381
0.0069151134,0.0071488563,-0.00023374287,-0.3459538242934668,0.7294138405602726,-0.0154715255,-0.0015297831618227065,0.0010641812579706307,1000,1000,9_roles,0.7611274858020236
