experiment,subject,condition,social_type,word_count,question_count,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,tom_rate,politeness_rate,sentiment,quality,connectedness
LLM,s015,bot,nonsocial,920.3,10.4,0.015693525273820307,0.014788612962247937,0.010352414194588959,0.001293021764643603,0.005584816669688657,0.0014996999652845994,0.04921209083027406,0.04128107583300126,0.07460727438548209,0.06866943903880575,0.014029085708235847,0.11314223191146391,0.0016271393578216008,0.003636529968174952,0.005263669325996553,0.006834351315414251,0.0025483603855181282,0.007482426003271888,0.977534,3.0,3.1
LLM,s015,bot,social,900.4,6.1,0.016765743022901007,0.019920840684172846,0.009489445221791567,0.0014179057389747697,0.0052946119273205765,0.0013923960225247088,0.05428094261768548,0.02778307936610346,0.08029562786517518,0.073561194158272,0.010680266189234356,0.10225417193719925,0.0018446543100637512,0.00040939922480620156,0.002254053534869953,0.004888596526984993,0.0012023829041781673,0.008244160622303558,0.811444,3.0,3.0
LLM,s015,hum,nonsocial,819.3,9.7,0.012409163129443753,0.009763079068967135,0.01056328093562409,0.0005867334413512053,0.006866416778657397,0.0,0.04018867335404358,0.04465870305145759,0.08056724501652927,0.0767038748890319,0.013035808132708021,0.12394786323713805,0.0014391325271000126,0.0017620585865487013,0.0032011911136487145,0.009719981309076888,0.0018510282871884672,0.0032345695043592194,0.9300499999999999,3.0,3.0
LLM,s015,hum,social,874.6,5.7,0.01287407630471149,0.015624239682913163,0.011796792109557945,0.0012274943980106557,0.005235911175953168,0.0008583948357771962,0.047616908506923614,0.040648230765050766,0.0738404349688773,0.07077062903351894,0.018266888654459686,0.1097016004500461,0.0010027445336667023,0.0020282096083221153,0.0030309541419888176,0.014566786373796648,0.0026778555524817047,0.006881884927694692,0.982386,2.8,3.3
LLM,s016,bot,nonsocial,900.4,12.9,0.008173640669799165,0.009476362978188933,0.011909754641137419,0.000912136145122475,0.005006562344089321,0.0012546591002931152,0.03673311587863043,0.041469707656765345,0.08252605507393503,0.07472345289427958,0.01872335141692911,0.12030120436347305,0.0007683147695965009,0.004755992809599774,0.005524307579196275,0.012702056567982756,0.004825985098673989,0.0063796891086361895,0.965774,3.0,3.0
LLM,s016,bot,social,990.5,5.2,0.015843870610102128,0.012886965093639142,0.009830690300975076,0.00032249577785132947,0.0035675615009559494,0.0008694393060719752,0.043321022589595595,0.02546782092545886,0.0791395818092813,0.07213698313529018,0.009347918035470696,0.10006222585804718,0.0005224838974828722,0.00048565933071010393,0.0010081432281929762,0.004386403379570287,0.0009524476219708161,0.006284992046868426,0.95482,2.8,3.2
LLM,s016,hum,nonsocial,759.6,10.3,0.009985410698184576,0.007897911981497491,0.01059461346682453,9.041591320072333e-05,0.005613292232546743,0.0,0.03418164429225406,0.04945666892536634,0.0861333026830752,0.0819645056900892,0.018231739039258076,0.13845433215076933,0.003292246082669888,0.0031315061545683725,0.00642375223723826,0.012351640957154426,0.001895789501680001,0.002586317853147577,0.9716020000000001,2.8,3.0
LLM,s016,hum,social,880.7,7.4,0.015996544862849807,0.018101773045294832,0.010717518013925635,0.0006451627002285989,0.0032156088518306113,0.0009719056817117485,0.04964851315584123,0.04264900219715424,0.07912029793311519,0.07279310346689133,0.02095438051193562,0.11840132463543207,0.0015985366660298365,0.0013558171096996344,0.002954353775729471,0.017089774533957963,0.001615936445625648,0.006671860040977418,0.95541,2.8,3.1
LLM,s017,bot,nonsocial,809.3,12.7,0.009821515091067854,0.007730291449211833,0.011150473007536726,0.0010598306465001322,0.007882915524816417,0.0006434443942638753,0.03828847011339684,0.051050560735215966,0.07688494333885273,0.07191413539329071,0.018614500669732817,0.12844895745166124,0.0009476142809476142,0.004063855215811129,0.005011469496758744,0.011638648638858908,0.0028364892810804165,0.00592485456953869,0.976238,3.0,3.0
LLM,s017,bot,social,812.5,5.4,0.015453241660348333,0.0164527634155792,0.012417193605463454,0.00041125307604971,0.0041431294040767085,0.0012170170794393374,0.050094598240956745,0.0277759817120672,0.0817262115298865,0.07355875880351817,0.010101119446968721,0.10438883325579632,0.0017984964054712938,0.0009889112828232725,0.0027874076882945663,0.004671172347330265,0.001289157364244125,0.007597370550163972,0.9812879999999999,3.0,3.1
LLM,s017,hum,nonsocial,981.5,8.0,0.010291007854634658,0.011429812241251907,0.008975486062759904,0.0012071160490376293,0.00491228839060842,0.0010190497276640746,0.0378347603259566,0.03705105170187634,0.0778069551848873,0.07367386619400404,0.013097275021632526,0.11255971215050234,0.0011476544773034827,0.001478311860871554,0.0026259663381750366,0.009591796264960272,0.0013496409811668841,0.004915626025520975,0.945826,2.8,3.1
LLM,s017,hum,social,905.7,5.1,0.014397230036526104,0.01656278588909784,0.011265749553659006,0.0007694804737745262,0.0065293186699998205,0.0011782119854722843,0.050702776608529586,0.03148773943143488,0.07891376024778357,0.07666103063731651,0.011432381073517437,0.10464329903681986,0.0012038361989947731,0.001321652166842833,0.002525488365837606,0.006614774814022437,0.0011566630814661607,0.008630168037958779,0.972204,2.7,3.1
LLM,s018,bot,nonsocial,810.5,9.3,0.013933801399193174,0.013610301494346827,0.010644565037818302,0.0011532310860765762,0.006678577241638242,0.0016578383893958355,0.04767831464846896,0.03917139765823939,0.07031863116925956,0.06301267233934535,0.015245834814570675,0.10662591387010922,0.0009159590740008686,0.0023589917172165066,0.003274950791217375,0.009435691938363975,0.003937502721700639,0.005777356692223845,0.9740679999999999,3.0,3.0
LLM,s018,bot,social,925.3,5.0,0.011534158621273504,0.01869689040370013,0.009253609925076232,0.000626627438750649,0.004729463188515149,0.0013567083406000665,0.04619745791791573,0.026768581151812697,0.07751052113563858,0.07368935775201917,0.009140577153133485,0.09994340253742506,0.0017999797918025581,0.00047723403441820845,0.0022772138262207664,0.004180776591031298,0.0014627525723099612,0.005890587535111428,0.950604,3.0,3.1
LLM,s018,hum,nonsocial,902.7,12.2,0.01338022888973912,0.008066850682730234,0.009565338570708185,0.0005993505952540166,0.0029778187544113313,0.00043503670592491523,0.0350246241987678,0.040808238354151684,0.08376885943913288,0.07741443341511309,0.01738924203006728,0.12417910936784848,0.0020976107312822207,0.0032052501010805924,0.005302860832362812,0.01203890774378406,0.0019474803459361332,0.005296198537363029,0.9588720000000001,2.8,2.9
LLM,s018,hum,social,937.5,7.6,0.015637060275017666,0.014612625576935042,0.011343182237142414,0.0006067563853161441,0.006180000210257932,0.001510710349214888,0.04989033503388409,0.044160959940056047,0.0787012762638244,0.07760680541520373,0.022074975039548514,0.12273359751308484,0.0027111323837249205,0.003135917266185785,0.005847049649910705,0.014719985469110778,0.003109852338798379,0.004578748878962774,0.9505560000000001,3.0,3.1
LLM,s019,bot,nonsocial,894.1,11.7,0.010198297279945534,0.007775996985171267,0.010228521504007654,0.0007669941412331296,0.00733549810995774,0.0015328567608186706,0.03783816478113399,0.044799514830968314,0.08106014052911203,0.07737142167020714,0.01711845947267966,0.12913899604845686,0.0018049982590684227,0.0040275932690880915,0.005832591528156514,0.012714576480692106,0.002542397518009485,0.003508751620537937,0.975932,3.0,2.9
