experiment,subject,condition,topic,social_type,social,word_count,question_count,tom_count,polite_pos,polite_neg,impolite,politeness_score,nonfluency_count,liwc_filler_count,disfluency_count,like_count,fung_interpersonal_count,fung_referential_count,fung_structural_count,fung_cognitive_count,fung_total_count,demir_modal_count,demir_verb_count,demir_adverb_count,demir_adjective_count,demir_quantifier_count,demir_noun_count,demir_total_count,sentiment,sentiment_pos,sentiment_neg,sentiment_neu,quality,connectedness,tom_rate,politeness_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate
LLM,s004,bot,family,social,1,898,7,0,4,0,0,4,0,0,0,9,32,69,69,12,99,12,5,9,0,1,0,27,0.9949,0.3464,0.0066,0.647,3.0,3.0,0.0,0.004454342984409799,0.0,0.0,0.0,0.01002227171492205,0.035634743875278395,0.07683741648106904,0.07683741648106904,0.013363028953229399,0.11024498886414254,0.013363028953229399,0.005567928730512249,0.01002227171492205,0.0,0.0011135857461024498,0.0,0.030066815144766147
LLM,s004,bot,fashion,nonsocial,0,628,17,1,1,0,0,1,0,3,3,12,31,46,48,15,78,7,13,7,0,4,0,31,0.98492,0.29359999999999997,0.0222,0.6839999999999999,3.0,3.0,0.0015923566878980893,0.0015923566878980893,0.0,0.004777070063694267,0.004777070063694267,0.01910828025477707,0.04936305732484077,0.0732484076433121,0.07643312101910828,0.02388535031847134,0.12420382165605096,0.011146496815286623,0.020700636942675158,0.011146496815286623,0.0,0.006369426751592357,0.0,0.04936305732484077
LLM,s004,bot,forgiveness,social,1,1098,2,1,5,0,0,5,4,0,4,3,21,90,78,9,104,25,26,13,1,3,1,69,0.82752,0.2222,0.075,0.7028000000000001,3.0,3.0,0.0009107468123861566,0.004553734061930784,0.0036429872495446266,0.0,0.0036429872495446266,0.00273224043715847,0.01912568306010929,0.08196721311475409,0.07103825136612021,0.00819672131147541,0.0947176684881603,0.022768670309653915,0.023679417122040074,0.011839708561020037,0.0009107468123861566,0.00273224043715847,0.0009107468123861566,0.06284153005464481
LLM,s004,bot,gardening,nonsocial,0,538,7,0,7,0,0,7,0,0,0,4,22,51,44,5,71,3,5,6,0,6,1,21,0.8886200000000001,0.23620000000000002,0.0204,0.7432000000000001,3.0,3.0,0.0,0.013011152416356878,0.0,0.0,0.0,0.007434944237918215,0.040892193308550186,0.09479553903345725,0.08178438661710037,0.00929368029739777,0.13197026022304834,0.0055762081784386614,0.00929368029739777,0.011152416356877323,0.0,0.011152416356877323,0.0018587360594795538,0.03903345724907063
LLM,s004,bot,hobbies,social,1,683,6,0,3,0,0,3,0,0,0,4,17,61,57,5,75,3,6,12,0,0,0,21,0.9909000000000001,0.2874,0.0,0.7126,3.0,3.0,0.0,0.004392386530014641,0.0,0.0,0.0,0.005856515373352855,0.024890190336749635,0.08931185944363104,0.08345534407027819,0.007320644216691069,0.10980966325036604,0.004392386530014641,0.008784773060029283,0.017569546120058566,0.0,0.0,0.0,0.03074670571010249
LLM,s004,bot,love,social,1,644,14,6,12,0,0,12,0,5,5,12,41,54,51,19,94,9,10,4,1,7,0,31,0.9932399999999999,0.33140000000000003,0.0128,0.6557999999999999,3.0,3.0,0.009316770186335404,0.018633540372670808,0.0,0.007763975155279503,0.007763975155279503,0.018633540372670808,0.06366459627329192,0.08385093167701864,0.07919254658385093,0.029503105590062112,0.14596273291925466,0.013975155279503106,0.015527950310559006,0.006211180124223602,0.0015527950310559005,0.010869565217391304,0.0,0.04813664596273292
LLM,s004,bot,mentorship,social,1,868,2,0,7,0,0,7,1,0,1,0,8,53,57,1,60,19,14,4,3,3,6,49,0.9940200000000001,0.299,0.006999999999999999,0.694,3.0,3.0,0.0,0.008064516129032258,0.001152073732718894,0.0,0.001152073732718894,0.0,0.009216589861751152,0.06105990783410138,0.06566820276497695,0.001152073732718894,0.06912442396313365,0.021889400921658985,0.016129032258064516,0.004608294930875576,0.0034562211981566822,0.0034562211981566822,0.0069124423963133645,0.056451612903225805
LLM,s004,bot,movies,nonsocial,0,1165,7,10,3,0,0,3,7,12,19,21,89,76,83,45,166,11,44,4,0,1,0,60,0.98078,0.19060000000000002,0.0486,0.7608,3.0,3.0,0.008583690987124463,0.002575107296137339,0.006008583690987125,0.010300429184549357,0.01630901287553648,0.018025751072961373,0.07639484978540773,0.06523605150214593,0.07124463519313305,0.03862660944206009,0.1424892703862661,0.00944206008583691,0.03776824034334764,0.0034334763948497852,0.0,0.0008583690987124463,0.0,0.05150214592274678
LLM,s004,bot,photography,nonsocial,0,1021,6,1,2,0,0,2,1,0,1,1,15,76,73,7,93,18,8,8,1,3,1,39,0.9922599999999999,0.2754,0.0128,0.7118,3.0,3.0,0.0009794319294809011,0.0019588638589618022,0.0009794319294809011,0.0,0.0009794319294809011,0.0009794319294809011,0.014691478942213516,0.07443682664054849,0.07149853085210578,0.0068560235063663075,0.0910871694417238,0.01762977473065622,0.007835455435847209,0.007835455435847209,0.0009794319294809011,0.002938295788442703,0.0009794319294809011,0.03819784524975514
LLM,s004,bot,podcasts,nonsocial,0,820,6,0,15,0,2,13,5,0,5,1,42,76,74,7,102,9,10,9,0,2,0,30,0.9881399999999999,0.2948,0.0424,0.6628000000000001,3.0,3.0,0.0,0.015853658536585366,0.006097560975609756,0.0,0.006097560975609756,0.0012195121951219512,0.05121951219512195,0.09268292682926829,0.09024390243902439,0.00853658536585366,0.12439024390243902,0.01097560975609756,0.012195121951219513,0.01097560975609756,0.0,0.0024390243902439024,0.0,0.036585365853658534
LLM,s004,bot,social_media,social,1,767,3,1,8,0,0,8,3,0,3,7,24,67,67,13,87,14,13,14,0,2,2,45,0.9827199999999999,0.246,0.022600000000000002,0.7314,3.0,3.0,0.001303780964797914,0.010430247718383311,0.003911342894393742,0.0,0.003911342894393742,0.009126466753585397,0.03129074315514994,0.08735332464146023,0.08735332464146023,0.01694915254237288,0.11342894393741851,0.018252933507170794,0.01694915254237288,0.018252933507170794,0.0,0.002607561929595828,0.002607561929595828,0.05867014341590613
