Subject,bot,hum
s001,0.002052709357240236,0.0014681647822598145
s002,0.0013725789630631674,0.0012908163468798304
s003,0.0008499819212061775,0.0010768216729315128
s004,0.0,0.0017188400010722054
s005,0.000595711373234309,0.0016072022856288165
s006,0.000321969696969697,0.0021582650086486403
s007,0.0009544143839569824,0.0014721401954988522
s008,0.0006667782240071396,0.0006537390197979257
s009,0.0020057132907742663,0.0012252194132785078
s010,0.0016279051548223325,0.000836179126949244
s011,0.00044209690396330314,0.0018429145186461906
s012,0.0010171434413854498,0.0015392566351978595
s013,0.0006871664519690836,0.001359355166062483
s014,0.00027365819209039543,0.001332376834450611
s015,0.0014581366935607202,0.0010247560798019514
s016,0.0011287717694383685,0.0010957887468227665
s017,0.0013298457565930682,0.0022967274694231567
s018,0.0009680911549572808,0.0020964657632700314
s019,0.000999131795097271,0.001992996535655102
s020,0.0012859520952562995,0.0014503335179803997
s021,0.0009009834576720832,0.0014832131550902017
s022,0.0015584577696292454,0.0008442189267243083
s023,0.0006989942528735632,0.0016826513807720726
s024,0.0012463507582726005,0.0016362919399770337
s025,0.0011619509436044586,0.001213648970854389
s026,0.0009702434192844986,0.0009548958954112463
s027,0.0011757994589259569,0.0016068938686585746
s028,0.0010158818051481694,0.0015013707387174927
s029,0.0016500171864545386,0.002249133693350353
s030,0.00047044207090936064,0.0015995678450235048
s031,0.0013594476249732923,0.0012552185863185922
s032,0.0017993641226943396,0.002094247627668038
s033,0.0008242456916723762,0.000912532508673122
s034,0.000991069430996462,0.0009704768181932828
s035,0.0005330241500982484,0.0023963354965024723
s036,0.0014289039766818446,0.0019442960039914433
s037,0.0011363559875013811,0.0014554810596820345
s038,0.0013391845041270964,0.0028423675164862806
s039,0.0013247610830144142,0.0010615573959232574
s040,0.0006458126328617469,0.0014997764674981274
s041,0.0009604876608414345,0.0011684520220477364
s042,0.0006110893783335818,0.0005060172802108286
s043,0.0015716771154393949,0.0017980733346229186
s044,0.001834435616296122,0.0015715119286305206
s045,0.0019818008935834934,0.0012297545354678003
s046,0.001618437260393247,0.0016668652786538964
s047,0.0007324398724891403,0.0017269356199402547
s048,0.0017346960714701401,0.0021688872514270003
s049,0.0006905031782482762,0.0014560141846246988
s050,0.0007723984091762237,0.0016024113724706268
