probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,4,Intentions,Mental,6,Cognitive,Mental,3.718931818643489e-05,-0.00011193060133354296,0.0001735111552860422,0.295,0.705,0.59,0.7164285714285714,False,n.s.
metacognitive,4,Intentions,Mental,7,Social,Mental,-2.707897322246618e-06,-0.0001586033754190863,0.0001352960612193537,0.492,0.508,0.984,0.984,False,n.s.
metacognitive,4,Intentions,Mental,8,Embodiment,Physical,0.00020065771841292393,6.43818042963076e-05,0.00032261158800772464,0.0,1.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,9,Roles,Physical,9.509488305266817e-05,-4.95458403694947e-05,0.00022497726874979072,0.097,0.903,0.194,0.2998181818181818,False,n.s.
metacognitive,4,Intentions,Mental,10,Animacy,Physical,0.00011807102334503378,-7.993012933007244e-06,0.00023760206011555628,0.039,0.961,0.078,0.14733333333333332,False,n.s.
metacognitive,4,Intentions,Mental,11,Formality,Pragmatic,0.0003054486159524784,0.00015583149631367713,0.0004411957361337005,0.0,1.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,12,Expertise,Pragmatic,0.00011478992899085488,-9.686781231569568e-06,0.0002313544506097039,0.036,0.964,0.072,0.14123076923076924,False,n.s.
metacognitive,4,Intentions,Mental,13,Helpfulness,Pragmatic,0.00016674421676747506,-4.980883652253639e-06,0.00033744862608872894,0.03,0.97,0.06,0.1224,False,n.s.
metacognitive,4,Intentions,Mental,14,Biological,Control,0.0002832323419046592,0.00016533929497619478,0.0003849176562049886,0.0,1.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,15,Shapes,Control,0.00011898882766743686,-6.767282232706983e-05,0.0002885087236204788,0.097,0.903,0.194,0.2998181818181818,False,n.s.
metacognitive,4,Intentions,Mental,17,Attention,Mental,6.376211488424406e-05,-9.045302694477205e-05,0.0002014812795656217,0.193,0.807,0.386,0.5226371681415929,False,n.s.
metacognitive,4,Intentions,Mental,18,SysPrompt (labeled),SysPrompt,-1.547643538542334e-05,-0.00013739317759218318,9.978167251005247e-05,0.585,0.415,0.83,0.888041958041958,False,n.s.
metacognitive,5,Prediction,Mental,6,Cognitive,Mental,-5.047459940149581e-05,-0.00015500470752507784,6.825822229423891e-05,0.813,0.187,0.374,0.5109107142857143,False,n.s.
metacognitive,5,Prediction,Mental,7,Social,Mental,-9.037181491017732e-05,-0.00024056746296993422,6.0635131699544456e-05,0.888,0.112,0.224,0.34271999999999997,False,n.s.
metacognitive,5,Prediction,Mental,8,Embodiment,Physical,0.0001129938008249932,2.575179456837658e-05,0.00023072948210470402,0.004,0.996,0.008,0.02353846153846154,True,*
metacognitive,5,Prediction,Mental,9,Roles,Physical,7.4309654647374554e-06,-0.00011721033109096396,0.00014343082105736397,0.458,0.542,0.916,0.9469459459459459,False,n.s.
metacognitive,5,Prediction,Mental,10,Animacy,Physical,3.040710575710308e-05,-6.376251205703674e-05,0.00015174186557583068,0.308,0.692,0.616,0.7249846153846154,False,n.s.
metacognitive,5,Prediction,Mental,11,Formality,Pragmatic,0.00021778469836454775,8.701304159132265e-05,0.00036710859884351985,0.0,1.0,0.0,0.0,True,***
metacognitive,5,Prediction,Mental,12,Expertise,Pragmatic,2.7126011402924185e-05,-7.351246968319172e-05,0.0001532129981807336,0.322,0.678,0.644,0.7464545454545455,False,n.s.
metacognitive,5,Prediction,Mental,13,Helpfulness,Pragmatic,7.908029917954435e-05,-9.989673531100961e-05,0.00027787175626457756,0.209,0.791,0.418,0.5513275862068966,False,n.s.
metacognitive,5,Prediction,Mental,14,Biological,Control,0.00019556842431672856,0.00010237117426178787,0.00032422000732421796,0.0,1.0,0.0,0.0,True,***
metacognitive,5,Prediction,Mental,15,Shapes,Control,3.1324910079506154e-05,-0.0001481164819607883,0.00023706791696542217,0.399,0.601,0.798,0.8659148936170213,False,n.s.
metacognitive,5,Prediction,Mental,17,Attention,Mental,-2.3901802703686642e-05,-0.00013418588594806504,0.0001210471984717653,0.664,0.336,0.672,0.7730526315789474,False,n.s.
metacognitive,5,Prediction,Mental,18,SysPrompt (labeled),SysPrompt,-0.00010314035297335404,-0.00021324283870834316,2.40590091142889e-05,0.946,0.054,0.108,0.1856629213483146,False,n.s.
metacognitive,6,Cognitive,Mental,7,Social,Mental,-3.989721550868151e-05,-0.00017842498423727718,8.110232463494405e-05,0.741,0.259,0.518,0.6549917355371901,False,n.s.
metacognitive,6,Cognitive,Mental,8,Embodiment,Physical,0.000163468400226489,9.817438482489145e-05,0.0002318033934163654,0.0,1.0,0.0,0.0,True,***
metacognitive,6,Cognitive,Mental,9,Roles,Physical,5.790556486623327e-05,-3.5401887935351875e-05,0.00013779793412251843,0.095,0.905,0.19,0.2996907216494845,False,n.s.
metacognitive,6,Cognitive,Mental,10,Animacy,Physical,8.08817051585989e-05,3.4333217025111005e-06,0.00015861996898368055,0.019,0.981,0.038,0.08944615384615384,False,n.s.
metacognitive,6,Cognitive,Mental,11,Formality,Pragmatic,0.0002682592977660435,0.00016058620719288104,0.00037561353698538607,0.0,1.0,0.0,0.0,True,***
metacognitive,6,Cognitive,Mental,12,Expertise,Pragmatic,7.760061080442e-05,-4.1042067304639675e-06,0.0001655552942312616,0.037,0.963,0.074,0.14331645569620252,False,n.s.
metacognitive,6,Cognitive,Mental,13,Helpfulness,Pragmatic,0.00012955489858104016,-3.3104726283883e-05,0.00027302416436097965,0.063,0.937,0.126,0.20954347826086955,False,n.s.
metacognitive,6,Cognitive,Mental,14,Biological,Control,0.00024604302371822437,0.00017086494375504182,0.00031812290657956505,0.0,1.0,0.0,0.0,True,***
metacognitive,6,Cognitive,Mental,15,Shapes,Control,8.179950948100196e-05,-8.267086786190262e-05,0.0002469162027405468,0.157,0.843,0.314,0.43674545454545455,False,n.s.
metacognitive,6,Cognitive,Mental,17,Attention,Mental,2.657279669780917e-05,-6.322704081523381e-05,0.00011377776204778514,0.272,0.728,0.544,0.6766829268292683,False,n.s.
metacognitive,6,Cognitive,Mental,18,SysPrompt (labeled),SysPrompt,-5.266575357185823e-05,-0.00013766054869116215,3.1532139990142636e-05,0.874,0.126,0.252,0.3637358490566037,False,n.s.
metacognitive,7,Social,Mental,8,Embodiment,Physical,0.00020336561573517053,9.66168924977613e-05,0.00033309919576683764,0.0,1.0,0.0,0.0,True,***
metacognitive,7,Social,Mental,9,Roles,Physical,9.780278037491478e-05,-2.765653717113454e-05,0.0002411246651465026,0.073,0.927,0.146,0.2376382978723404,False,n.s.
metacognitive,7,Social,Mental,10,Animacy,Physical,0.00012077892066728041,6.320724921569865e-06,0.0002472381346275884,0.021,0.979,0.042,0.0945,False,n.s.
metacognitive,7,Social,Mental,11,Formality,Pragmatic,0.0003081565132747251,0.00017743955605727108,0.00045409620923490026,0.0,1.0,0.0,0.0,True,***
