metric,label,anova_F,anova_p,anova_eta2,anova_sig,mean_gregory,sem_gregory,mean_rebecca,sem_rebecca,mean_chatgpt,sem_chatgpt,mean_gpt-4,sem_gpt-4,dz_Gregory_vs_Rebecca,padj_Gregory_vs_Rebecca,sig_Gregory_vs_Rebecca,dz_Gregory_vs_ChatGPT,padj_Gregory_vs_ChatGPT,sig_Gregory_vs_ChatGPT,dz_Gregory_vs_GPT-4,padj_Gregory_vs_GPT-4,sig_Gregory_vs_GPT-4,dz_Rebecca_vs_ChatGPT,padj_Rebecca_vs_ChatGPT,sig_Rebecca_vs_ChatGPT,dz_Rebecca_vs_GPT-4,padj_Rebecca_vs_GPT-4,sig_Rebecca_vs_GPT-4,dz_ChatGPT_vs_GPT-4,padj_ChatGPT_vs_GPT-4,sig_ChatGPT_vs_GPT-4
word_count,Word Count,1.441456099525975,0.233122911166316,0.022170174361518732,,863.638,10.37822755894792,887.44,9.29310299444196,876.3620000000001,9.086795483737118,863.28,9.20794599179182,-0.22217556769881974,0.3678420681227321,,-0.11593508442375773,0.4995704060841863,,0.0035010593034941547,0.9803499512527477,,0.12860518691667736,0.4995704060841863,,0.2784305884290639,0.32787286212922034,,0.15882776861339148,0.4995704060841863,
question_count,Questions (#),18.07747220882913,4.861915314791077e-10,0.21952363325940272,***,9.024000000000001,0.24767589091143993,9.294,0.28844990369000906,7.016,0.18457585134019883,9.178,0.2746617957430853,-0.09992240501311446,0.7247813368008433,,0.9976655903216874,3.276547201462511e-08,***,-0.058443492394431466,0.7628531195337563,,0.8801944665168356,3.168774373152926e-07,***,0.04291030788371162,0.7628531195337563,,-0.8521934070381695,4.2696559161203717e-07,***
demir_modal_rate,Demir: Modal Aux.,2.705617068904026,0.047537115194280166,0.041003844360158435,*,0.01169373323381921,0.00026806350758051286,0.012678434021216147,0.00034262923396829873,0.012250533283906257,0.0002842211183784504,0.01279368194769985,0.00029269468873094643,-0.3347258055268241,0.06580388568524603,,-0.20188262859862594,0.29332746565386897,,-0.40395759706517054,0.037614960985486987,*,0.126583737787396,0.450142925593059,,-0.034104086850109426,0.8104433335316642,,-0.18557944216196662,0.29332746565386897,
demir_verb_rate,Demir: Epistemic Verbs,1.0004503887088323,0.394535588512105,0.01791697904244914,,0.012923840618961915,0.0003740391212170805,0.01332626299270958,0.0003525876398582611,0.013900371589727536,0.0003876830077222653,0.013312633988283824,0.00035854901368738353,-0.09960399947544908,0.6163134897090095,,-0.2472090597751994,0.5203332189247792,,-0.0930604013997664,0.6163134897090095,,-0.14901180847308476,0.6163134897090095,,0.003565270017187788,0.9799896393391704,,0.13771467778718435,0.6163134897090095,
demir_adverb_rate,Demir: Epistemic Adverbs,2.2340422866108844,0.08671373572591878,0.03499487849199375,,0.010780575326521168,0.00025711327125220776,0.010642656980733307,0.00021558036393526598,0.009980922759445635,0.00023670923197751954,0.010296414535982552,0.00022245347837624167,0.05528624549988751,0.6975415770330957,,0.3208605235532115,0.16631233721156316,,0.1824211753309532,0.38142073060789483,,0.2749523613987319,0.17287018194205933,,0.16313662516823124,0.38142073060789483,,-0.14224411294457653,0.38333344717386003,
demir_adjective_rate,Demir: Epistemic Adj.,9.199437400268284,1.2878916061276335e-05,0.13077044406907146,***,0.00042693558257659485,4.195905682935213e-05,0.0004361366896530214,4.016749985231843e-05,0.0006970636130645455,7.684231914566071e-05,0.0008568727448970983,9.298261332576023e-05,-0.019749070060970767,0.8895113154201536,,-0.4380776088466397,0.004837748634205437,**,-0.5768975116516839,0.0009944290768214047,***,-0.44090266324595956,0.004837748634205437,**,-0.541094252994465,0.001107676858015897,**,-0.1826960462927485,0.24296052613147676,
demir_quantifier_rate,Demir: Quantifiers,2.9697543002972697,0.03387908775583115,0.04641599087494645,*,0.005429022191934598,0.00018805120695055915,0.004930838963226818,0.00018934327194115007,0.005407148824427825,0.00022261200241938277,0.004759606785186866,0.00015188696202021198,0.2537170361510675,0.15795264938614925,,0.010396292207680631,0.941697266251614,,0.38585898756367787,0.050298104467409004,,-0.20871822678565236,0.2195684184136935,,0.09592725741215924,0.6009207571314708,,0.35023831967175084,0.050298104467409004,
demir_noun_rate,Demir: Epistemic Nouns,4.913159534485228,0.0027802892966046766,0.07322323072198735,**,0.0009868300552237919,8.67511102505764e-05,0.000820781636989988,7.454316972655712e-05,0.0012629073568208016,0.00011142689472513879,0.0012574465098525447,0.00010426440782966896,0.22924258311147339,0.13372572957885515,,-0.2598538751942949,0.1083180167905324,,-0.2683966398395517,0.1083180167905324,,-0.4266228386262494,0.0121337393828106,*,-0.48973862912869576,0.006710621008977744,**,0.005000562640478877,0.9719368792852933,
demir_total_rate,Demir: Hedging (Total),0.8341176310346671,0.4771559298742234,0.014165094791499673,,0.04224093700903727,0.0006196651921847617,0.04283511128452886,0.0005099005504411209,0.0434989474273926,0.0006072477301646388,0.04327665651190273,0.0005465594064431527,-0.10299524246975081,0.704856916933425,,-0.19754803498565562,0.6036360145828017,,-0.18321379159749893,0.6036360145828017,,-0.10910152246037871,0.704856916933425,,-0.0743494724919816,0.7217363917289029,,0.03377607069092376,0.8122312610844391,
fung_interpersonal_rate,Fung: Interpersonal DMs,29.70978065003356,4.440892098500626e-15,0.33157510006556906,***,0.04117961594481202,0.0008780462835388063,0.043646597093704026,0.0009558249656075769,0.03319601379711206,0.000670266414456506,0.035975012221211536,0.000819138989509728,-0.2745977865818391,0.057934637103241725,,0.955248279887827,4.776262641613872e-08,***,0.6073978404490264,0.0001236534380838479,***,1.2600021235327101,4.826744065634685e-11,***,0.7846326172057934,2.306061454507148e-06,***,-0.3308043516464048,0.028139525250816123,*
