Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,0.5,0.26,0.62,0.38
s002,0.34,0.16,0.64,0.62
s003,0.36,0.36,0.56,0.44
s004,0.4,0.22,0.54,0.34
s005,0.48,0.26,0.56,0.56
s006,0.48,0.26,0.62,0.46
s007,0.56,0.32,0.5,0.5
s008,0.38,0.24,0.44,0.34
s009,0.46,0.46,0.68,0.34
s010,0.56,0.34,0.6,0.46
s011,0.58,0.38,0.62,0.44
s012,0.76,0.22,0.6,0.42
s013,0.52,0.24,0.64,0.4
s014,0.34,0.26,0.42,0.48
s015,0.44,0.24,0.6,0.32
s016,0.46,0.28,0.62,0.44
s017,0.62,0.46,0.42,0.42
s018,0.52,0.34,0.68,0.38
s019,0.62,0.28,0.48,0.4
s020,0.42,0.2,0.56,0.6
s021,0.6,0.26,0.46,0.48
s022,0.54,0.14,0.42,0.36
s023,0.46,0.36,0.52,0.34
s024,0.38,0.3,0.52,0.32
s025,0.46,0.16,0.44,0.38
s026,0.46,0.32,0.48,0.42
s027,0.48,0.18,0.42,0.36
s028,0.36,0.38,0.68,0.4
s029,0.42,0.4,0.6,0.4
s030,0.66,0.42,0.52,0.56
s031,0.66,0.34,0.58,0.42
s032,0.38,0.26,0.48,0.46
s033,0.56,0.18,0.5,0.5
s034,0.7,0.28,0.58,0.46
s035,0.58,0.42,0.48,0.54
s036,0.54,0.32,0.62,0.52
s037,0.52,0.42,0.54,0.5
s038,0.46,0.24,0.44,0.22
s039,0.62,0.26,0.6,0.44
s040,0.48,0.34,0.54,0.46
s041,0.48,0.42,0.58,0.4
s042,0.48,0.34,0.4,0.3
s043,0.56,0.46,0.7,0.46
s044,0.54,0.22,0.62,0.42
s045,0.68,0.48,0.58,0.46
s046,0.46,0.32,0.64,0.44
s047,0.4,0.32,0.54,0.46
s048,0.48,0.36,0.46,0.46
s049,0.58,0.3,0.7,0.4
s050,0.6,0.24,0.42,0.34
