Subject,bot,hum
s001,0.38,0.5
s002,0.25,0.63
s003,0.36,0.5
s004,0.31,0.44
s005,0.37,0.56
s006,0.37,0.54
s007,0.44,0.5
s008,0.31,0.39
s009,0.46,0.51
s010,0.45,0.53
s011,0.48,0.53
s012,0.49,0.51
s013,0.38,0.52
s014,0.3,0.45
s015,0.34,0.46
s016,0.37,0.53
s017,0.54,0.42
s018,0.43,0.53
s019,0.45,0.44
s020,0.31,0.58
s021,0.43,0.47
s022,0.34,0.39
s023,0.41,0.43
s024,0.34,0.42
s025,0.31,0.41
s026,0.39,0.45
s027,0.33,0.39
s028,0.37,0.54
s029,0.41,0.5
s030,0.54,0.54
s031,0.5,0.5
s032,0.32,0.47
s033,0.37,0.5
s034,0.49,0.52
s035,0.5,0.51
s036,0.43,0.57
s037,0.47,0.52
s038,0.35,0.33
s039,0.44,0.52
s040,0.41,0.5
s041,0.45,0.49
s042,0.41,0.35
s043,0.51,0.58
s044,0.38,0.52
s045,0.58,0.52
s046,0.39,0.54
s047,0.36,0.5
s048,0.42,0.46
s049,0.44,0.55
s050,0.42,0.38
