probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,1,Phenomenology,Mental,15,Shapes,Control,-0.00015396906957318635,-0.0005106814423106535,0.00018883683680655448,0.808,0.192,0.384,0.6372371134020619,False,n.s.
metacognitive,1,Phenomenology,Mental,17,Attention,Mental,-0.00046022799715466435,-0.0007353191706227963,-0.0002055468391716527,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,18,SysPrompt (labeled),SysPrompt,-0.00047086973495207306,-0.0007239121243533489,-0.00021564370285296686,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,3,Agency,Mental,-9.629748477264555e-05,-0.0004024771755921713,0.00015808364380496585,0.731,0.269,0.538,0.7376785714285715,False,n.s.
metacognitive,2,Emotions,Mental,4,Intentions,Mental,-0.00023640120813922026,-0.000521470652380073,4.6999961564106105e-05,0.952,0.048,0.096,0.29975510204081635,False,n.s.
metacognitive,2,Emotions,Mental,5,Prediction,Mental,-9.972719321671882e-05,-0.0005025309804663608,0.00019059974654476354,0.678,0.322,0.644,0.807639344262295,False,n.s.
metacognitive,2,Emotions,Mental,6,Cognitive,Mental,-0.0002602418320044913,-0.0005893697684096933,9.993400667902613e-05,0.921,0.079,0.158,0.3899032258064516,False,n.s.
metacognitive,2,Emotions,Mental,7,Social,Mental,-0.00033293552514259463,-0.0008626999564375748,6.393172386789252e-05,0.943,0.057,0.114,0.33542307692307693,False,n.s.
metacognitive,2,Emotions,Mental,8,Embodiment,Physical,0.0002112677222447259,-3.6393531866473594e-06,0.0004410391980022446,0.027,0.973,0.054,0.2348372093023256,False,n.s.
metacognitive,2,Emotions,Mental,9,Roles,Physical,0.00010623466433598016,-0.00023493284035494528,0.0003403367926408046,0.207,0.793,0.414,0.6398181818181818,False,n.s.
metacognitive,2,Emotions,Mental,10,Animacy,Physical,5.1047430735003574e-05,-0.00031829365068746553,0.00038752651117307177,0.38,0.62,0.76,0.8768955223880598,False,n.s.
metacognitive,2,Emotions,Mental,11,Formality,Pragmatic,8.397373528443805e-05,-0.000179546291068172,0.00037349717620280005,0.288,0.712,0.576,0.7584615384615384,False,n.s.
metacognitive,2,Emotions,Mental,12,Expertise,Pragmatic,-7.432998079029539e-05,-0.000345177725766625,0.00024166257674587628,0.698,0.302,0.604,0.7700999999999999,False,n.s.
metacognitive,2,Emotions,Mental,13,Helpfulness,Pragmatic,-1.3577249867306896e-05,-0.00039252434747122616,0.0003437011060589161,0.505,0.495,0.99,0.9920000000000001,False,n.s.
metacognitive,2,Emotions,Mental,14,Biological,Control,0.0002522861324587138,9.448767115127967e-05,0.00045671713350550443,0.001,0.999,0.002,0.021857142857142856,True,*
metacognitive,2,Emotions,Mental,15,Shapes,Control,-4.7886888366820775e-05,-0.00041324225251657224,0.0002849283079667364,0.604,0.396,0.792,0.891,False,n.s.
metacognitive,2,Emotions,Mental,17,Attention,Mental,-0.0003541458159482988,-0.0006210222817780602,-7.213318425485035e-05,0.995,0.005,0.01,0.085,False,n.s.
metacognitive,2,Emotions,Mental,18,SysPrompt (labeled),SysPrompt,-0.0003647875537457074,-0.0006442446036076991,-9.542536226252436e-05,0.996,0.004,0.008,0.08159999999999999,False,n.s.
