run,agent,topic,social,order
1,hum_2,space,0,1
1,hum_1,hobbies,1,2
1,bot_1,friendship,1,3
1,bot_2,photography,0,4
1,bot_2,conflict,1,5
1,hum_2,childhood_memories,1,6
1,hum_1,nature,0,7
1,bot_1,cars,0,8
2,hum_2,books,0,1
2,bot_1,empathy,1,2
2,hum_1,sports,0,3
2,bot_2,exercise,0,4
2,bot_2,role_models,1,5
2,bot_1,art,0,6
2,hum_2,networks,1,7
2,hum_1,mentorship,1,8
3,bot_1,music,0,1
3,hum_2,love,1,2
3,hum_1,cooking,0,3
3,bot_2,movies,0,4
3,bot_2,trust,1,5
3,hum_2,architecture,0,6
3,hum_1,cultural_celebrations,1,7
3,bot_1,loneliness,1,8
4,hum_2,podcasts,0,1
4,hum_1,forgiveness,1,2
4,bot_2,communication,1,3
4,bot_1,technology,0,4
4,hum_1,travel,0,5
4,bot_1,teamwork,1,6
4,hum_2,work_life,1,7
4,bot_2,seasons,0,8
5,bot_1,social_media,1,1
5,hum_1,weather,0,2
5,bot_2,fashion,0,3
5,hum_2,food,0,4
5,bot_2,goals,1,5
5,hum_2,family,1,6
5,bot_1,gardening,0,7
5,hum_1,boundaries,1,8
