layer,reading_best_acc,reading_final_acc,reading_train_acc,control_best_acc,control_final_acc,control_train_acc,diff_best_acc,z_stat,p_raw,p_fdr,sig_fdr_05,layer_group
0,0.5100,0.5025,0.6381,0.5350,0.5325,0.6094,-0.0250,-0.7078,0.4791,0.9219,0,early
1,0.5150,0.5100,0.5969,0.5150,0.5075,0.5650,0.0000,0.0000,1.0000,1.0000,0,early
2,0.5200,0.4925,0.6488,0.5300,0.4950,0.6119,-0.0100,-0.2832,0.7770,0.9219,0,early
3,0.5175,0.5125,0.6481,0.5225,0.5100,0.6381,-0.0050,-0.1415,0.8874,0.9330,0,early
4,0.5200,0.4875,0.6969,0.5150,0.5025,0.6756,0.0050,0.1415,0.8875,0.9330,0,early
5,0.5050,0.5000,0.7050,0.5050,0.5050,0.7056,0.0000,0.0000,1.0000,1.0000,0,early
6,0.5050,0.4750,0.7206,0.5125,0.4750,0.7200,-0.0075,-0.2122,0.8320,0.9219,0,early
7,0.5450,0.5175,0.7462,0.5050,0.4900,0.7325,0.0400,1.1328,0.2573,0.9219,0,early
8,0.5350,0.5125,0.7325,0.5125,0.4800,0.7512,0.0225,0.6371,0.5240,0.9219,0,early
9,0.5350,0.4975,0.7425,0.5025,0.4875,0.7312,0.0325,0.9199,0.3576,0.9219,0,early
10,0.5350,0.5175,0.7494,0.5175,0.5000,0.7556,0.0175,0.4957,0.6201,0.9219,0,early
11,0.4975,0.4925,0.7625,0.5175,0.4875,0.7519,-0.0200,-0.5657,0.5716,0.9219,0,early
12,0.5325,0.5025,0.7788,0.5225,0.4825,0.7588,0.0100,0.2833,0.7770,0.9219,0,early
13,0.5250,0.5075,0.7725,0.5350,0.5350,0.7744,-0.0100,-0.2834,0.7769,0.9219,0,early
14,0.5050,0.5000,0.7837,0.4900,0.4825,0.7788,0.0150,0.4243,0.6714,0.9219,0,middle
15,0.5125,0.4925,0.8056,0.4975,0.4750,0.7812,0.0150,0.4243,0.6714,0.9219,0,middle
16,0.5100,0.4875,0.7869,0.5175,0.5125,0.8181,-0.0075,-0.2122,0.8319,0.9219,0,middle
17,0.4975,0.4575,0.7913,0.5100,0.4825,0.8113,-0.0125,-0.3536,0.7237,0.9219,0,middle
18,0.4925,0.4800,0.8119,0.5200,0.4925,0.8237,-0.0275,-0.7779,0.4366,0.9219,0,middle
19,0.5550,0.5200,0.8200,0.4950,0.4875,0.7781,0.0600,1.6992,0.0893,0.9219,0,middle
20,0.5325,0.5225,0.8150,0.5100,0.5100,0.8231,0.0225,0.6370,0.5241,0.9219,0,middle
21,0.4925,0.4825,0.8013,0.5125,0.5100,0.8231,-0.0200,-0.5657,0.5716,0.9219,0,middle
22,0.5050,0.5025,0.8544,0.5125,0.4800,0.8488,-0.0075,-0.2122,0.8320,0.9219,0,middle
23,0.5500,0.5475,0.8087,0.4925,0.4875,0.8244,0.0575,1.6278,0.1036,0.9219,0,middle
24,0.5450,0.5000,0.8344,0.5275,0.5075,0.8400,0.0175,0.4963,0.6197,0.9219,0,middle
25,0.5350,0.5150,0.8225,0.5275,0.5200,0.8575,0.0075,0.2125,0.8317,0.9219,0,middle
26,0.5450,0.5425,0.8506,0.5150,0.4775,0.8575,0.0300,0.8501,0.3953,0.9219,0,middle
27,0.5000,0.4750,0.8806,0.5300,0.4950,0.8481,-0.0300,-0.8489,0.3959,0.9219,0,middle
28,0.5500,0.5500,0.8519,0.5225,0.5125,0.8781,0.0275,0.7799,0.4355,0.9219,0,late
29,0.5275,0.5150,0.8788,0.5175,0.5025,0.8819,0.0100,0.2831,0.7771,0.9219,0,late
30,0.5650,0.5025,0.8031,0.5275,0.5225,0.9094,0.0375,1.0652,0.2868,0.9219,0,late
31,0.5100,0.4925,0.8819,0.5025,0.4750,0.8938,0.0075,0.2121,0.8320,0.9219,0,late
32,0.5425,0.5400,0.8750,0.5150,0.4975,0.8975,0.0275,0.7791,0.4359,0.9219,0,late
33,0.5175,0.5125,0.8781,0.4875,0.4825,0.9125,0.0300,0.8485,0.3961,0.9219,0,late
34,0.5025,0.5000,0.8819,0.5225,0.5025,0.9075,-0.0200,-0.5659,0.5715,0.9219,0,late
35,0.5400,0.5375,0.9181,0.5500,0.5225,0.8950,-0.0100,-0.2840,0.7764,0.9219,0,late
36,0.4975,0.4750,0.8894,0.5325,0.5175,0.9094,-0.0350,-0.9904,0.3220,0.9219,0,late
37,0.5250,0.5200,0.9094,0.5075,0.4875,0.9163,0.0175,0.4952,0.6204,0.9219,0,late
38,0.5300,0.4950,0.8750,0.5400,0.5125,0.8950,-0.0100,-0.2835,0.7768,0.9219,0,late
39,0.5050,0.5000,0.8806,0.5300,0.4975,0.9094,-0.0250,-0.7075,0.4792,0.9219,0,late
40,0.5225,0.5075,0.8888,0.5375,0.4950,0.8281,-0.0150,-0.4250,0.6708,0.9219,0,late
