Subject,bot,hum
s001,1.06,1.18
s002,0.98,1.18
s003,1.03,1.06
s004,1.01,1.13
s005,0.92,1.3
s006,0.95,1.23
s007,1.15,0.99
s008,0.94,1.07
s009,1.16,1.24
s010,1.13,1.22
s011,1.03,1.12
s012,1.04,1.15
s013,1.15,1.21
s014,1.04,1.29
s015,1.04,1.04
s016,0.92,1.24
s017,0.99,0.96
s018,1.09,1.23
s019,1.09,1.09
s020,1.24,1.38
s021,1.03,1.39
s022,0.75,1.34
s023,0.82,1.17
s024,0.95,1.34
s025,1.1,1.15
s026,1.21,1.24
s027,1.03,1.18
s028,0.96,1.31
s029,1.07,1.08
s030,1.01,1.31
s031,1.12,1.31
s032,1.03,0.87
s033,1.16,1.24
s034,1.24,1.02
s035,1.18,1.23
s036,0.92,1.39
s037,1.13,1.43
s038,1.13,0.95
s039,1.18,1.02
s040,1.07,1.03
s041,1.05,1.22
s042,1.0,1.19
s043,1.17,1.46
s044,1.0,1.18
s045,1.34,1.33
s046,1.08,1.02
s047,1.31,1.11
s048,0.94,1.17
s049,1.05,1.23
s050,1.12,0.94
