layer,reading_best_acc,reading_final_acc,reading_train_acc,control_best_acc,control_final_acc,control_train_acc,diff_best_acc,z_stat,p_raw,p_fdr,sig_fdr_05,layer_group
0,0.5200,0.5100,0.6238,0.5325,0.5325,0.6319,-0.0125,-0.3540,0.7233,0.9324,0,early
1,0.5325,0.5200,0.6306,0.5450,0.5300,0.6356,-0.0125,-0.3546,0.7229,0.9324,0,early
2,0.5500,0.5325,0.6431,0.5550,0.5425,0.6763,-0.0050,-0.1422,0.8869,0.9324,0,early
3,0.5600,0.5500,0.6944,0.5675,0.5575,0.7106,-0.0075,-0.2139,0.8306,0.9324,0,early
4,0.5825,0.5475,0.7244,0.5875,0.5775,0.7212,-0.0050,-0.1435,0.8859,0.9324,0,early
5,0.5750,0.5625,0.7525,0.5875,0.5675,0.7444,-0.0125,-0.3583,0.7201,0.9324,0,early
6,0.5825,0.5625,0.7650,0.6350,0.6275,0.8063,-0.0525,-1.5213,0.1282,0.9324,0,early
7,0.5750,0.5650,0.7963,0.6275,0.6275,0.8425,-0.0525,-1.5163,0.1294,0.9324,0,early
8,0.5725,0.5625,0.7963,0.6925,0.6900,0.8912,-0.1200,-3.5200,0.0004,0.0177,1,early
9,0.6700,0.6525,0.9056,0.6775,0.6750,0.9075,-0.0075,-0.2262,0.8210,0.9324,0,early
10,0.6575,0.6400,0.9137,0.6675,0.6650,0.9256,-0.0100,-0.2991,0.7649,0.9324,0,early
11,0.6600,0.6525,0.9319,0.6975,0.6925,0.9400,-0.0375,-1.1357,0.2561,0.9324,0,early
12,0.6650,0.6425,0.9463,0.7000,0.6800,0.9456,-0.0350,-1.0633,0.2876,0.9324,0,early
13,0.6650,0.6525,0.9487,0.6700,0.6525,0.9519,-0.0050,-0.1501,0.8807,0.9324,0,early
14,0.6850,0.6700,0.9581,0.6900,0.6850,0.9644,-0.0050,-0.1526,0.8787,0.9324,0,middle
15,0.6600,0.6575,0.9694,0.6950,0.6875,0.9719,-0.0350,-1.0589,0.2896,0.9324,0,middle
16,0.6625,0.6600,0.9600,0.6925,0.6925,0.9794,-0.0300,-0.9076,0.3641,0.9324,0,middle
17,0.6800,0.6800,0.9694,0.6750,0.6700,0.9769,0.0050,0.1513,0.8798,0.9324,0,middle
18,0.6750,0.6750,0.9731,0.7050,0.6750,0.9781,-0.0300,-0.9173,0.3590,0.9324,0,middle
19,0.6675,0.6625,0.9756,0.6800,0.6750,0.9712,-0.0125,-0.3771,0.7061,0.9324,0,middle
20,0.6650,0.6575,0.9831,0.6975,0.6975,0.9762,-0.0325,-0.9863,0.3240,0.9324,0,middle
21,0.6625,0.6550,0.9856,0.6800,0.6725,0.9812,-0.0175,-0.5268,0.5983,0.9324,0,middle
22,0.6575,0.6575,0.9825,0.6850,0.6750,0.9869,-0.0275,-0.8279,0.4077,0.9324,0,middle
23,0.6675,0.6650,0.9869,0.6875,0.6875,0.9712,-0.0200,-0.6051,0.5451,0.9324,0,middle
24,0.6750,0.6600,0.9844,0.6900,0.6875,0.9850,-0.0150,-0.4557,0.6486,0.9324,0,middle
25,0.6700,0.6675,0.9806,0.6725,0.6700,0.9819,-0.0025,-0.0753,0.9400,0.9410,0,middle
26,0.6500,0.6475,0.9769,0.6475,0.6475,0.9862,0.0025,0.0741,0.9410,0.9410,0,middle
27,0.6700,0.6675,0.9925,0.6600,0.6500,0.9875,0.0100,0.2996,0.7645,0.9324,0,middle
28,0.6675,0.6675,0.9944,0.6450,0.6450,0.9875,0.0225,0.6699,0.5029,0.9324,0,late
29,0.6650,0.6575,0.9850,0.6900,0.6825,0.9900,-0.0250,-0.7564,0.4494,0.9324,0,late
30,0.6575,0.6550,0.9844,0.6700,0.6525,0.9912,-0.0125,-0.3742,0.7083,0.9324,0,late
31,0.6450,0.6375,0.9856,0.6550,0.6550,0.9944,-0.0100,-0.2965,0.7668,0.9324,0,late
32,0.6825,0.6700,0.9906,0.6775,0.6625,0.9981,0.0050,0.1516,0.8795,0.9324,0,late
33,0.6625,0.6625,0.9881,0.6550,0.6525,0.9969,0.0075,0.2237,0.8230,0.9324,0,late
34,0.6725,0.6525,0.9906,0.6475,0.6425,0.9962,0.0250,0.7464,0.4555,0.9324,0,late
35,0.6325,0.6275,0.9931,0.6600,0.6475,0.9950,-0.0275,-0.8134,0.4160,0.9324,0,late
36,0.6375,0.6150,0.9950,0.6700,0.6550,0.9969,-0.0325,-0.9660,0.3340,0.9324,0,late
37,0.6500,0.6450,0.9975,0.6825,0.6725,0.9950,-0.0325,-0.9747,0.3297,0.9324,0,late
38,0.6700,0.6650,0.9975,0.6525,0.6400,0.9906,0.0175,0.5229,0.6010,0.9324,0,late
39,0.6475,0.6375,0.9969,0.6550,0.6375,0.9912,-0.0075,-0.2226,0.8239,0.9324,0,late
40,0.6500,0.6450,0.9931,0.6725,0.6575,0.9925,-0.0225,-0.6723,0.5014,0.9324,0,late
