Subject,bot,hum
s001,0.47,0.43
s002,0.32,0.52
s003,0.44,0.34
s004,0.36,0.47
s005,0.29,0.5
s006,0.41,0.53
s007,0.37,0.4
s008,0.39,0.5
s009,0.4,0.47
s010,0.46,0.5
s011,0.33,0.55
s012,0.4,0.54
s013,0.48,0.43
s014,0.33,0.41
s015,0.38,0.46
s016,0.39,0.43
s017,0.36,0.41
s018,0.33,0.46
s019,0.32,0.44
s020,0.38,0.46
s021,0.38,0.37
s022,0.42,0.49
s023,0.37,0.35
s024,0.21,0.52
s025,0.33,0.45
s026,0.45,0.51
s027,0.32,0.42
s028,0.41,0.48
s029,0.37,0.49
s030,0.37,0.39
s031,0.46,0.41
s032,0.38,0.48
s033,0.43,0.46
s034,0.45,0.42
s035,0.44,0.43
s036,0.34,0.45
s037,0.33,0.41
s038,0.33,0.35
s039,0.35,0.39
s040,0.32,0.46
s041,0.38,0.46
s042,0.49,0.42
s043,0.24,0.47
s044,0.31,0.42
s045,0.38,0.45
s046,0.27,0.47
s047,0.34,0.43
s048,0.32,0.53
s049,0.33,0.43
s050,0.4,0.36
