layer,reading_best_acc,reading_final_acc,reading_train_acc,control_best_acc,control_final_acc,control_train_acc,diff_best_acc,z_stat,p_raw,p_fdr,sig_fdr_05,layer_group
0,0.5775,0.5725,0.6512,0.5450,0.5200,0.6369,0.0325,0.9262,0.3543,0.9916,0,early
1,0.5575,0.5575,0.6400,0.5375,0.5350,0.6100,0.0200,0.5683,0.5699,0.9916,0,early
2,0.5525,0.5375,0.6619,0.5450,0.5350,0.6631,0.0075,0.2131,0.8312,0.9916,0,early
3,0.5600,0.5350,0.6944,0.5600,0.5475,0.6913,0.0000,0.0000,1.0000,1.0000,0,early
4,0.5500,0.5450,0.7194,0.5675,0.5400,0.7250,-0.0175,-0.4984,0.6182,0.9916,0,early
5,0.5550,0.5325,0.7244,0.5750,0.5700,0.7431,-0.0200,-0.5705,0.5683,0.9916,0,early
6,0.5400,0.5275,0.7569,0.5875,0.5400,0.7544,-0.0475,-1.3546,0.1756,0.9916,0,early
7,0.5550,0.5500,0.7456,0.5400,0.5275,0.7494,0.0150,0.4262,0.6700,0.9916,0,early
8,0.5250,0.5125,0.7656,0.5300,0.5225,0.7706,-0.0050,-0.1416,0.8874,0.9916,0,early
9,0.5500,0.5350,0.7638,0.5625,0.5500,0.7887,-0.0125,-0.3558,0.7220,0.9916,0,early
10,0.5625,0.5550,0.7656,0.5800,0.5775,0.8031,-0.0175,-0.5001,0.6170,0.9916,0,early
11,0.5675,0.5600,0.8150,0.5800,0.5725,0.8075,-0.0125,-0.3575,0.7207,0.9916,0,early
12,0.5400,0.5200,0.7788,0.5800,0.5425,0.7981,-0.0400,-1.1396,0.2545,0.9916,0,early
13,0.5600,0.5500,0.7944,0.5625,0.5500,0.8144,-0.0025,-0.0712,0.9432,0.9916,0,early
14,0.5300,0.5200,0.8269,0.5600,0.5525,0.8113,-0.0300,-0.8520,0.3942,0.9916,0,middle
15,0.5475,0.5200,0.8100,0.5400,0.5375,0.8000,0.0075,0.2129,0.8314,0.9916,0,middle
16,0.5650,0.5550,0.8069,0.5675,0.5575,0.7800,-0.0025,-0.0713,0.9431,0.9916,0,middle
17,0.5550,0.5500,0.8244,0.5550,0.5425,0.8137,0.0000,0.0000,1.0000,1.0000,0,middle
18,0.5525,0.5425,0.8150,0.5925,0.5650,0.8294,-0.0400,-1.1435,0.2528,0.9916,0,middle
19,0.5325,0.5300,0.8194,0.5450,0.5150,0.8438,-0.0125,-0.3546,0.7229,0.9916,0,middle
20,0.5650,0.5525,0.8356,0.5700,0.5350,0.8588,-0.0050,-0.1427,0.8865,0.9916,0,middle
21,0.5425,0.5325,0.8669,0.5625,0.5225,0.8606,-0.0200,-0.5688,0.5695,0.9916,0,middle
22,0.5725,0.5575,0.8706,0.5650,0.5575,0.8600,0.0075,0.2142,0.8304,0.9916,0,middle
23,0.5950,0.5675,0.8000,0.5625,0.5450,0.8519,0.0325,0.9309,0.3519,0.9916,0,middle
24,0.5625,0.5500,0.8475,0.5650,0.5625,0.8644,-0.0025,-0.0713,0.9432,0.9916,0,middle
25,0.5875,0.5775,0.8375,0.5775,0.5525,0.8831,0.0100,0.2868,0.7743,0.9916,0,middle
26,0.5825,0.5800,0.8519,0.5575,0.5525,0.8656,0.0250,0.7141,0.4751,0.9916,0,middle
27,0.5625,0.5625,0.8675,0.5250,0.5100,0.8725,0.0375,1.0647,0.2870,0.9916,0,middle
28,0.5475,0.5425,0.8881,0.5675,0.5325,0.8888,-0.0200,-0.5695,0.5690,0.9916,0,late
29,0.5950,0.5900,0.8838,0.5475,0.5350,0.8969,0.0475,1.3574,0.1747,0.9916,0,late
30,0.5625,0.5550,0.8650,0.5600,0.5250,0.8812,0.0025,0.0712,0.9432,0.9916,0,late
31,0.5425,0.5325,0.8850,0.5575,0.5575,0.8356,-0.0150,-0.4264,0.6698,0.9916,0,late
32,0.5375,0.5325,0.8900,0.5800,0.5575,0.8812,-0.0425,-1.2105,0.2261,0.9916,0,late
33,0.5350,0.5225,0.8919,0.5750,0.5725,0.9087,-0.0400,-1.1383,0.2550,0.9916,0,late
34,0.5550,0.5475,0.8950,0.6025,0.5850,0.9231,-0.0475,-1.3605,0.1737,0.9916,0,late
35,0.5675,0.5600,0.9069,0.5350,0.5250,0.9225,0.0325,0.9241,0.3554,0.9916,0,late
36,0.5525,0.5475,0.9006,0.5900,0.5500,0.9269,-0.0375,-1.0716,0.2839,0.9916,0,late
37,0.5350,0.5300,0.8744,0.5500,0.5425,0.9000,-0.0150,-0.4258,0.6702,0.9916,0,late
38,0.6050,0.6025,0.8788,0.5750,0.5375,0.8413,0.0300,0.8626,0.3883,0.9916,0,late
39,0.5625,0.5475,0.9494,0.5750,0.5400,0.8894,-0.0125,-0.3569,0.7211,0.9916,0,late
40,0.5725,0.5675,0.9044,0.5650,0.5600,0.9394,0.0075,0.2142,0.8304,0.9916,0,late
