run,agent,topic,social,order
1,hum_1,conflict,1,1
1,bot_1,friendship,1,2
1,bot_2,nature,0,3
1,hum_2,childhood_memories,1,4
1,bot_2,hobbies,1,5
1,bot_1,photography,0,6
1,hum_1,cars,0,7
1,hum_2,space,0,8
2,bot_1,role_models,1,1
2,hum_1,exercise,0,2
2,hum_2,art,0,3
2,bot_2,sports,0,4
2,hum_1,mentorship,1,5
2,bot_1,books,0,6
2,hum_2,empathy,1,7
2,bot_2,networks,1,8
3,bot_1,cooking,0,1
3,bot_2,architecture,0,2
3,hum_1,movies,0,3
3,hum_2,love,1,4
3,hum_2,music,0,5
3,bot_2,trust,1,6
3,bot_1,cultural_celebrations,1,7
3,hum_1,loneliness,1,8
4,bot_1,teamwork,1,1
4,hum_1,work_life,1,2
4,bot_2,travel,0,3
4,hum_2,podcasts,0,4
4,hum_1,technology,0,5
4,bot_1,seasons,0,6
4,hum_2,forgiveness,1,7
4,bot_2,communication,1,8
5,hum_2,goals,1,1
5,hum_1,food,0,2
5,bot_2,gardening,0,3
5,bot_1,weather,0,4
5,hum_2,fashion,0,5
5,hum_1,social_media,1,6
5,bot_2,family,1,7
5,bot_1,boundaries,1,8
