metric,label,anova_F,anova_p,anova_eta2,anova_sig,mean_gregory,sem_gregory,mean_rebecca,sem_rebecca,mean_chatgpt,sem_chatgpt,mean_gpt-4,sem_gpt-4,dz_Gregory_vs_Rebecca,padj_Gregory_vs_Rebecca,sig_Gregory_vs_Rebecca,dz_Gregory_vs_ChatGPT,padj_Gregory_vs_ChatGPT,sig_Gregory_vs_ChatGPT,dz_Gregory_vs_GPT-4,padj_Gregory_vs_GPT-4,sig_Gregory_vs_GPT-4,dz_Rebecca_vs_ChatGPT,padj_Rebecca_vs_ChatGPT,sig_Rebecca_vs_ChatGPT,dz_Rebecca_vs_GPT-4,padj_Rebecca_vs_GPT-4,sig_Rebecca_vs_GPT-4,dz_ChatGPT_vs_GPT-4,padj_ChatGPT_vs_GPT-4,sig_ChatGPT_vs_GPT-4
word_count,Word Count,3.0287317751943967,0.0314072509857557,0.048172116278033104,*,872.1579999999999,7.53049695625483,882.434,8.445480670459322,853.258,11.377355989249983,845.488,9.507371850843118,-0.1198844569500799,0.4808648818468669,,0.21973531494354806,0.19001494816423373,,0.3093288747507861,0.09917940161642953,,0.2847280985841149,0.09917940161642953,,0.40478593149358205,0.03702589944970602,*,0.06151100005727412,0.6655095500210002,
question_count,Questions (#),11.938132426364138,4.846139579628428e-07,0.16850224747591325,***,8.062000000000001,0.21043957880239783,7.94,0.2204263031084104,6.451999999999999,0.1848604548168754,7.42,0.18737717065222392,0.05372601636924522,0.7056611106685061,,0.7847135385293211,6.904309972204781e-06,***,0.3177405853087917,0.043790781582508514,*,0.648807893982268,9.386395975434241e-05,***,0.25522658489308053,0.0927179546150078,,-0.47712536622374735,0.002912871031779249,**
demir_modal_rate,Demir: Modal Aux.,2.609557809074716,0.05375277570872228,0.039453657603158845,,0.011712666181156467,0.0003103578067422047,0.012155751766577759,0.0003077114801776146,0.012726539909437444,0.00034120500343993147,0.012747350469642838,0.00024823684796594723,-0.14680440844441128,0.3652030173379437,,-0.27102788630141594,0.1834478961591632,,-0.36160690480865293,0.08224428523982569,,-0.17855275943048474,0.31908538971641703,,-0.2423381142697734,0.18584975639112847,,-0.006767195404839292,0.962029260512833,
demir_verb_rate,Demir: Epistemic Verbs,0.3984059288221436,0.7543430009372931,0.006952342506761321,,0.013961096839520942,0.0003421344964931007,0.013559749556210345,0.0003627806060643491,0.014093725568510124,0.0003161984842456943,0.0137203268795398,0.00038986662936354527,0.10641618992993725,0.7781569901082346,,-0.046516246451729595,0.7781569901082346,,0.0578647827230724,0.7781569901082346,,-0.1449799729602312,0.7781569901082346,,-0.04006158820957384,0.7781569901082346,,0.09078123861814064,0.7781569901082346,
demir_adverb_rate,Demir: Epistemic Adverbs,13.473307151171012,8.143300600504944e-08,0.191634219515134,***,0.011165027867927195,0.00027475611929572767,0.011178528739574757,0.00025297197621505855,0.009435763634985668,0.00017191450724238707,0.009814035587878132,0.00020765125731496357,-0.004442328205402152,0.9750685694986894,,0.7280937550440477,1.3923767861660932e-05,***,0.5332825506423039,0.0006576621793041357,***,0.7653640567067012,1.1146206804164493e-05,***,0.5561602006250976,0.0005285450313787984,***,-0.18718846825505595,0.23012518041623653,
demir_adjective_rate,Demir: Epistemic Adj.,7.624100319055336,8.992268956464766e-05,0.1147761617336805,***,0.0005105515995602833,5.3750588607203904e-05,0.0005603143561409866,7.107376506028775e-05,0.000773298871355654,6.8081753776366e-05,0.000992269253225327,0.00010189918779699584,-0.07810253209992292,0.5832749862271942,,-0.4049709679182586,0.01229849593299988,*,-0.5502805079457137,0.0018075437078095774,**,-0.2927092917995366,0.06565092534421413,,-0.4298100291585743,0.011396671746404182,*,-0.26289997266540394,0.08284831079938275,
demir_quantifier_rate,Demir: Quantifiers,0.9655827050925347,0.41077362275900864,0.01598857471859853,,0.0053442037607073145,0.0001769895771916048,0.005175687283640117,0.0002154836262733663,0.0052549039177014365,0.0002136669093319483,0.004872224287567086,0.00018662418104333314,0.07980964426844674,0.8178043873868459,,0.047318707310280865,0.8178043873868459,,0.2430615461577483,0.5126818499410066,,-0.032754794330711906,0.8178043873868459,,0.16242145345975656,0.5126818499410066,,0.17173993747645702,0.5126818499410066,
demir_noun_rate,Demir: Epistemic Nouns,6.537558000245517,0.00035148557172326456,0.10046422900879945,***,0.0009858542261027051,7.372559519533234e-05,0.0008384330136749778,7.645249695504213e-05,0.0013498673475881029,0.00010524863453864978,0.0013262651589267844,0.00011326058782982838,0.1747673451657688,0.2669134059532251,,-0.3667464449302719,0.01874859828261064,*,-0.36808463597955887,0.01874859828261064,*,-0.48980192316467297,0.005327486605269876,**,-0.4675443154540187,0.005327486605269876,**,0.021915878252984945,0.8774826191777305,
demir_total_rate,Demir: Hedging (Total),0.032973170980005004,0.9919306680000181,0.0005810400961673986,,0.04367940047497489,0.0005676830846434555,0.04346846471581896,0.0005999731492706667,0.04363409924957842,0.0004664749342997144,0.04347247163677996,0.0005954646612012505,0.03327860966937517,0.9965177720555976,,0.008399189010185137,0.9965177720555976,,0.03427303396424164,0.9965177720555976,,-0.030170100694680017,0.9965177720555976,,-0.0006203677151431394,0.9965177720555976,,0.025823619025661194,0.9965177720555976,
fung_interpersonal_rate,Fung: Interpersonal DMs,41.506289527532104,1.1102230246251565e-16,0.4232852988798952,***,0.04165652011308182,0.0008083206198566167,0.040924023708608745,0.000850422438173539,0.03108525998733447,0.0008916403048790467,0.032331326993860814,0.0006406029626977555,0.08118477152564443,0.5685511323633236,,1.114648030025358,8.694444097178194e-10,***,1.3567067899150687,4.704478971856134e-12,***,1.0624915197661837,2.1378200589929815e-09,***,1.0333784895559617,3.332194777184273e-09,***,-0.14489320460501776,0.3727287622961578,
