Subject,bot,hum
s001,74.73,62.85576923076923
s002,77.57,62.47
s003,74.83,60.66
s004,70.0,62.0
s005,63.8,63.97
s006,73.1,67.32
s007,72.56,66.5
s008,77.58,67.75
s009,72.82,69.9
s010,73.44,57.29
s011,76.59,67.69
s012,70.77,70.66
s013,79.2,68.51
s014,67.65,65.01
s015,81.05,62.58
s016,75.69,61.12
s017,71.19,65.57
s018,66.99,61.47
s019,74.97,64.32
s020,76.4,66.43
s021,74.57,63.6
s022,69.37,62.84
s023,69.96,63.19
s024,74.75,69.58
s025,69.19,62.39
s026,82.64,68.19
s027,72.16,62.06
s028,71.49,71.12
s029,79.37,57.81
s030,72.48,59.77
s031,73.08,66.93
s032,67.55,64.86
s033,72.97,63.81
s034,77.8,68.29
s035,70.78,66.65
s036,74.2,68.28
s037,75.36,68.01
s038,67.9,72.15
s039,77.04,63.19
s040,81.21,69.68
s041,71.91,67.88
s042,74.7,62.26
s043,75.4,63.82
s044,81.16,64.16
s045,73.38,67.14
s046,77.93,67.18
s047,73.11,69.05
s048,72.9,65.33
s049,75.08,67.4
s050,74.04,66.0
