subject,trial,turn,partner_type,label,topic,sub_word_count,sub_ttr,sub_trigram_rep,sub_allcaps_ratio,sub_emoji_count,sub_self_ref_rate,sub_exclamation_rate,partner_word_count,partner_ttr,partner_trigram_rep,partner_allcaps_ratio,partner_emoji_count,partner_self_ref_rate,partner_exclamation_rate,reading_peak_confidence,reading_peak_layer,reading_peak_correct,reading_fixed_confidence,reading_fixed_layer,control_peak_confidence,control_peak_layer,control_peak_correct,control_fixed_confidence,control_fixed_layer
s001,1,1,ai,0,hobbies,105,0.7523809523809524,0.0,0.0,0,0.05714285714285714,0.009523809523809525,100,0.77,0.0,0.0,0,0.03,0.01,0.3994346261024475,7,1,0.00392832001671195,27,0.49496492743492126,4,1,0.23061500489711761,27
s001,1,2,ai,0,hobbies,97,0.7835051546391752,0.0,0.0,0,0.05154639175257732,0.020618556701030927,101,0.7425742574257426,0.0,0.0,0,0.04950495049504951,0.019801980198019802,0.3405315577983856,9,1,0.009271359071135521,27,0.1548301726579666,8,1,0.05577138066291809,27
s001,1,3,ai,0,hobbies,96,0.6770833333333334,0.010638297872340425,0.010416666666666666,1,0.0,0.020833333333333332,295,0.5254237288135594,0.04436860068259386,0.003389830508474576,5,0.023728813559322035,0.01694915254237288,0.16702544689178467,9,1,0.001849483815021813,27,0.2038799524307251,9,1,0.07727779448032379,27
s001,1,4,ai,0,hobbies,231,0.5108225108225108,0.08296943231441048,0.012987012987012988,8,0.017316017316017316,0.03463203463203463,312,0.4391025641025641,0.16451612903225807,0.009615384615384616,10,0.016025641025641024,0.02564102564102564,0.005557599011808634,26,1,0.0021924858447164297,27,0.13175442814826965,18,1,0.07553714513778687,27
s001,1,5,ai,0,hobbies,328,0.23170731707317074,0.549079754601227,0.009146341463414634,5,0.006097560975609756,0.006097560975609756,328,0.23170731707317074,0.549079754601227,0.009146341463414634,5,0.006097560975609756,0.006097560975609756,0.2697754502296448,27,1,0.2697754502296448,27,0.5243449211120605,16,0,0.15662217140197754,27
s001,2,1,human,1,nature,149,0.6510067114093959,0.05442176870748299,0.006711409395973154,0,0.03355704697986577,0.006711409395973154,109,0.7522935779816514,0.0,0.0,0,0.027522935779816515,0.009174311926605505,0.6151348948478699,7,1,0.9471349120140076,27,0.5063260793685913,4,1,0.8698575496673584,27
s001,2,2,human,1,nature,193,0.6010362694300518,0.031413612565445025,0.0,0,0.06217616580310881,0.010362694300518135,126,0.6587301587301587,0.024193548387096774,0.0,0,0.023809523809523808,0.023809523809523808,0.6637548804283142,9,1,0.9438654780387878,27,0.9478897452354431,8,1,0.9968024492263794,27
s001,2,3,human,1,nature,99,0.6767676767676768,0.020618556701030927,0.0,0,0.050505050505050504,0.020202020202020204,79,0.7088607594936709,0.0,0.0,0,0.05063291139240506,0.02531645569620253,0.7628750205039978,9,1,0.9769689440727234,27,0.9534732699394226,9,1,0.9859334826469421,27
s001,2,4,human,1,nature,66,0.7878787878787878,0.0,0.0,0,0.030303030303030304,0.030303030303030304,65,0.7692307692307693,0.0,0.0,0,0.07692307692307693,0.03076923076923077,0.9956907629966736,26,1,0.994744062423706,27,0.970262348651886,18,1,0.9913866519927979,27
s001,2,5,human,1,nature,65,0.7538461538461538,0.031746031746031744,0.0,0,0.015384615384615385,0.03076923076923077,53,0.7169811320754716,0.0,0.0,0,0.018867924528301886,0.03773584905660377,0.9905587434768677,27,1,0.9905587434768677,27,0.9237585663795471,16,1,0.9454070329666138,27
s001,3,1,human,1,cars,72,0.8333333333333334,0.0,0.013888888888888888,0,0.05555555555555555,0.0,121,0.7024793388429752,0.01680672268907563,0.0,0,0.04132231404958678,0.01652892561983471,0.608142077922821,7,1,0.9707434773445129,27,0.5064114928245544,4,1,0.8846454620361328,27
