metric,metric_col,turn,human_mean,ai_mean,diff,t,p
Type-Token Ratio (TTR),sub_ttr,1,0.7417078382901954,0.7480680300723499,-0.006360191782154523,-1.6669527229753747,0.0956805331303189
Type-Token Ratio (TTR),sub_ttr,5,0.5888823004821493,0.6167114350866598,-0.02782913460451053,-6.376884465169234,2.2387750258150127e-10
Trigram Repetition Rate,sub_trigram_rep,1,0.007213405529257461,0.00931543468798849,-0.0021020291587310292,-3.3100004150410984,0.0009495510954632587
Trigram Repetition Rate,sub_trigram_rep,5,0.060867196429449794,0.04900743758354047,0.011859758845909327,3.9678113151006884,7.50964291756749e-05
Word Count,sub_word_count,1,112.091,110.008,2.0829999999999984,0.9909862406669259,0.3218122940094589
Word Count,sub_word_count,5,204.564,186.852,17.71199999999999,5.224111695339203,1.9321218871291268e-07
Self-Reference Rate,sub_self_ref_rate,1,0.04116655387361835,0.041308179516999145,-0.00014162564338079248,-0.12654294825473458,0.8993148870779355
Self-Reference Rate,sub_self_ref_rate,5,0.03522528776226022,0.035725222927429946,-0.0004999351651697251,-0.48814207413129773,0.6255027752549558
ALL-CAPS Ratio,sub_allcaps_ratio,1,0.0005971656160600365,0.006076000215118157,-0.00547883459905812,-20.948443224758737,3.006438812707167e-88
ALL-CAPS Ratio,sub_allcaps_ratio,5,0.054814379716033826,0.05242379046679075,0.002390589249243076,0.2850768306385052,0.7756148266968079
Exclamation Rate,sub_exclamation_rate,1,0.010705078859544739,0.01672921566948144,-0.006024136809936702,-11.386938976954514,3.766386372376816e-29
Exclamation Rate,sub_exclamation_rate,5,0.021102876871939836,0.020459954268782728,0.0006429226031571082,0.7655141664947553,0.44405585081668064
Emoji Count,sub_emoji_count,1,0.083,0.159,-0.076,-3.257352474728886,0.0011434086676704856
Emoji Count,sub_emoji_count,5,1.243,1.649,-0.4059999999999999,-2.969407163129665,0.0030192823707871305
