human_mean,ai_mean,diff,t,p,cohen_d,ci_lo,ci_hi,n_human,n_ai,dimension,n_prompts_sig,n_prompts_total,p_fdr
0.19357719,0.1656986,0.027878582,4.028050007030449,5.834517746363627e-05,0.18013988,0.014056740701198578,0.04177200235426426,1000,1000,10_animacy,40,40,7.27888440698286e-05
0.1892594,0.16070645,0.02855295,4.0451341801039895,5.428138576382978e-05,0.1809039,0.014015287533402443,0.04249449148774147,1000,1000,11_formality,40,40,7.27888440698286e-05
0.1869163,0.15853378,0.028382525,4.014350242365819,6.181054935477598e-05,0.17952721,0.015065212920308114,0.04173484779894352,1000,1000,12_expertise,40,40,7.27888440698286e-05
0.18783377,0.15945297,0.028380796,4.040231185401316,5.54193323051873e-05,0.18068463,0.015155252441763878,0.042889912799000736,1000,1000,13_helpfulness,40,40,7.27888440698286e-05
0.18853687,0.16077255,0.02776432,4.012129115933421,6.239043777413879e-05,0.17942788,0.014488168433308602,0.04139032922685146,1000,1000,14_biological,40,40,7.27888440698286e-05
0.1914881,0.16312155,0.02836655,4.029117774014351,5.808296494306705e-05,0.18018763,0.015491815283894539,0.04235775806009769,1000,1000,15_shapes,40,40,7.27888440698286e-05
0.18582164,0.15847802,0.027343616,3.958514151365061,7.805605599913927e-05,0.17703015,0.013485546037554742,0.04115149043500423,1000,1000,16_human,40,40,8.094702103614442e-05
0.19003399,0.16246352,0.027570471,3.9254639563830405,8.94954649287573e-05,0.17555209,0.0147296953946352,0.041593095287680626,1000,1000,17_ai,40,40,8.94954649287573e-05
0.19167401,0.16327079,0.028403223,4.019916914090301,6.0379565597493095e-05,0.17977615,0.014085857197642326,0.04307202100753784,1000,1000,18_attention,40,40,7.27888440698286e-05
0.19542691,0.1671048,0.028322116,4.042983967886131,5.4777678484464135e-05,0.18080775,0.01545276828110218,0.04217707626521587,1000,1000,1_phenomenology,40,40,7.27888440698286e-05
0.18125342,0.15221792,0.029035494,4.058938618110325,5.119529239197018e-05,0.18152125,0.01547774448990822,0.04274674877524376,1000,1000,20_sysprompt_talkto_human,14,14,7.27888440698286e-05
0.18127082,0.15301624,0.028254583,3.9707117670077965,7.4195058750626e-05,0.17757565,0.013442336395382882,0.04113318845629692,1000,1000,21_sysprompt_talkto_ai,14,14,8.094702103614442e-05
0.18264791,0.15348965,0.029158264,4.0548403390313,5.2093680805953494e-05,0.18133797,0.01474079005420208,0.04330352135002613,1000,1000,22_sysprompt_bare_human,14,14,7.27888440698286e-05
0.18340172,0.15521741,0.02818431,3.963626180173,7.641532120590465e-05,0.17725874,0.01419735699892044,0.04222528077661991,1000,1000,23_sysprompt_bare_ai,14,14,8.094702103614442e-05
0.18864298,0.16039215,0.028250828,4.035983651390947,5.6423399744253376e-05,0.18049468,0.014216672629117966,0.04200720936059952,1000,1000,25_beliefs,40,40,7.27888440698286e-05
0.1943604,0.16586539,0.028495014,4.062701336973206,5.038341874362339e-05,0.18168953,0.015047961845993996,0.0422492615878582,1000,1000,26_desires,40,40,7.27888440698286e-05
0.196525,0.16764754,0.028877452,4.065955648396412,4.9691106220960436e-05,0.18183506,0.014640511572360992,0.04192150570452213,1000,1000,27_goals,40,40,7.27888440698286e-05
0.19580756,0.16714157,0.02866599,4.065524982540364,4.978220391504949e-05,0.1818158,0.015542458370327951,0.04182663857936859,1000,1000,2_emotions,40,40,7.27888440698286e-05
0.19270405,0.16420826,0.028495789,4.050607064434633,5.303734824759809e-05,0.18114866,0.014051272347569466,0.041933730617165564,1000,1000,30_granite_sandstone,40,40,7.27888440698286e-05
0.18907133,0.16091906,0.028152272,4.028000839514575,5.835727855474544e-05,0.18013768,0.01489860676229,0.041364971920847884,1000,1000,31_squares_triangles,40,40,7.27888440698286e-05
0.18931997,0.16102237,0.028297603,4.034499232587791,5.677834743100316e-05,0.18042828,0.014612188190221786,0.042714053019881244,1000,1000,32_horizontal_vertical,40,40,7.27888440698286e-05
0.19252615,0.16407944,0.028446704,4.049378367330898,5.331426626049873e-05,0.18109371,0.014533769711852074,0.042165194824337955,1000,1000,3_agency,40,40,7.27888440698286e-05
0.19673167,0.16785541,0.02887626,4.067523882837588,4.9360715991724516e-05,0.1819052,0.014752046018838883,0.041578080877661704,1000,1000,4_intentions,40,40,7.27888440698286e-05
0.18902597,0.16077733,0.028248638,4.02788882070737,5.838485746675907e-05,0.18013267,0.014729049429297448,0.042099595069885254,1000,1000,5_prediction,40,40,7.27888440698286e-05
0.18797457,0.15953845,0.028436124,4.028917383780985,5.813208966545631e-05,0.18017866,0.01478627696633339,0.04233197160065174,1000,1000,6_cognitive,40,40,7.27888440698286e-05
0.18440619,0.15624292,0.02816327,4.03492054997154,5.667738933870461e-05,0.18044715,0.014038065820932389,0.040839091315865515,1000,1000,7_social,40,40,7.27888440698286e-05
0.19005565,0.16215889,0.027896762,4.0157372079858975,6.145103634448865e-05,0.17958923,0.014438961818814277,0.041911949217319486,1000,1000,8_embodiment,40,40,7.27888440698286e-05
0.19146298,0.16305013,0.028412849,4.026345608000244,5.8766054306028884e-05,0.18006365,0.014757134765386582,0.04179362915456295,1000,1000,9_roles,40,40,7.27888440698286e-05
