dimension,prompt_idx,human_mean,ai_mean,diff,t,p
17_ai,19,0.19465451,0.16637999,0.028274521,3.978424874744483,7.184762362288561e-05
17_ai,20,0.188448,0.16069007,0.027757928,3.9050953076228874,9.731640610496712e-05
17_ai,21,0.18014942,0.1533241,0.026825324,3.860874086171724,0.00011657454239975777
17_ai,22,0.19276568,0.16558155,0.027184129,3.9406186934931258,8.406615447773225e-05
17_ai,23,0.18552628,0.1579957,0.02753058,3.918826686231669,9.197625645021712e-05
17_ai,24,0.19132017,0.16368899,0.027631178,3.919043569870055,9.189417535349633e-05
17_ai,25,0.18563831,0.1576308,0.028007507,3.923785135476132,9.011690663336871e-05
17_ai,26,0.19658016,0.16891901,0.027661145,3.923571589855405,9.0196245678948e-05
17_ai,27,0.18616407,0.15880923,0.027354836,3.9226312637697784,9.054639317016068e-05
17_ai,28,0.19926947,0.171329,0.027940467,3.9499961468270306,8.086422573795497e-05
