Subject,bot,hum
s001,0.36,0.38461538461538464
s002,0.31,0.42
s003,0.38,0.35
s004,0.32,0.43
s005,0.28,0.39
s006,0.34,0.35
s007,0.37,0.45
s008,0.34,0.44
s009,0.35,0.38
s010,0.31,0.38
s011,0.33,0.38
s012,0.35,0.42
s013,0.43,0.41
s014,0.36,0.36
s015,0.35,0.35
s016,0.31,0.37
s017,0.33,0.39
s018,0.32,0.33
s019,0.35,0.38
s020,0.36,0.37
s021,0.33,0.3
s022,0.46,0.4
s023,0.32,0.35
s024,0.24,0.36
s025,0.39,0.43
s026,0.37,0.4
s027,0.34,0.4
s028,0.38,0.49
s029,0.29,0.49
s030,0.37,0.39
s031,0.31,0.35
s032,0.36,0.39
s033,0.41,0.43
s034,0.34,0.41
s035,0.39,0.44
s036,0.37,0.41
s037,0.39,0.4
s038,0.4,0.36
s039,0.34,0.37
s040,0.41,0.37
s041,0.32,0.32
s042,0.34,0.43
s043,0.33,0.34
s044,0.39,0.44
s045,0.38,0.43
s046,0.4,0.37
s047,0.32,0.37
s048,0.32,0.42
s049,0.36,0.48
s050,0.47,0.38
