experiment,metric,n_subjects,hum_mean,bot_mean,condition_F,condition_p,sociality_F,sociality_p,interaction_F,interaction_p
Exp1_Human,um_rate,23,0.0013817804238602208,0.0012827823376862708,0.0437625875734382,0.8362208900808132,0.302613597186367,0.5877907816228827,1.4656429646325602,0.23888056917447675
Exp1_Human,uh_rate,23,0.00017772860889309506,0.00014089956698085728,0.21050577888486152,0.6508718992912417,0.2514290170602526,0.6210513896885852,0.006558011300280559,0.9361888337172105
Exp1_Human,er_rate,23,0.0,0.0,,,,,,
Exp1_Human,ah_rate,23,9.146713952205943e-05,0.0,1.126287948081162,0.30008071685900306,0.8750838264613032,0.35970726282915444,0.8750838264613031,0.35970726282915444
Exp1_Human,well_rate,23,0.0014559554516500465,0.001211122553001005,0.732172053363476,0.40140356737532523,0.0005396669226705394,0.9816756467195699,0.025841997853224614,0.873753801296438
Exp1_Human,so_rate,23,0.009125106635196212,0.009397701824835845,0.11421994046954308,0.7385937797290247,4.0671196625806765,0.05609358568490119,0.08858390546057723,0.768777633802094
Exp1_Human,you_know_rate,23,0.001649486369574231,0.0020239908079754607,2.1222624576603826,0.15929761955955446,2.025033888672535,0.16875222726480177,9.340848707067865,0.005786310581051168
Exp1_Human,i_mean_rate,23,0.0010327205710276102,0.0011797980541102349,0.44266350375852104,0.5127551811578177,2.0692287249827523,0.16437265381808697,1.6279106994965948,0.2152992833705839
Exp1_Human,like_rate,23,0.020417920007689737,0.017161465814836872,6.149005288810248,0.021288084160963505,17.13350473803277,0.0004293961692877213,0.011964810702135476,0.9138897197271091
Exp1_Human,basically_rate,23,0.0003670131018213007,0.0004018556470777193,0.12394696222243681,0.7281425298153994,0.4062634316316487,0.5304502200751758,0.00017775380509261367,0.989482740386362
Exp1_Human,actually_rate,23,0.001488082151453067,0.0010303036873600033,2.6147069064085176,0.12012714438730243,1.4155538246569142,0.24681860954747536,0.36867368334549655,0.5499441919147269
Exp1_Human,right_rate,23,0.0006955011540518125,0.0004911516584071553,2.0130225491206293,0.16996693543702845,9.43023010618055,0.0055928945081624715,1.140331497078289,0.2971605328588076
Exp1_Human,okay_rate,23,0.0030530745455768335,0.00219673306331898,0.2592013830261489,0.6157379063835227,1.0565678198256916,0.31516877231706875,0.5309599799008415,0.47388951717774674
Exp1_Human,filled_pauses_rate,23,0.0016509761722753754,0.001423681904667128,0.22356042817793753,0.6409975768361913,0.043076576342648,0.8374903564566683,0.4304095105441346,0.5185913459964422
Exp1_Human,discourse_connectives_rate,23,0.01058106208684626,0.01060882437783685,0.001271699790203088,0.9718743434317647,3.415729214725995,0.07806617305509622,0.11028946679942937,0.742958116315581
Exp1_Human,interactional_phrases_rate,23,0.002682206940601841,0.0032037888620856953,2.3143295151744665,0.1424306241026626,3.4517222132562186,0.07662084100609223,1.2058476810614396,0.2840294326924423
Exp1_Human,quotative_hedge_rate,23,0.020417920007689737,0.017161465814836872,6.149005288810248,0.021288084160963505,17.13350473803277,0.0004293961692877213,0.011964810702135476,0.9138897197271091
Exp1_Human,pragmatic_stance_rate,23,0.005603670952903012,0.004120044056163857,0.6995808697117727,0.4119177707471039,1.3372627099942371,0.25992081807001577,0.8466518644766083,0.3674811313167342
Exp1_Human,filler_composite_rate,23,0.04093583616031622,0.036517805015590404,4.160362009732755,0.053567810995036824,9.011832309086005,0.006564556805180866,0.45212397594335235,0.5083292409509519
Exp2_LLM,um_rate,50,0.0,0.0,,,,,,
Exp2_LLM,uh_rate,50,0.0,0.0,,,,,,
Exp2_LLM,er_rate,50,0.0,0.0,,,,,,
Exp2_LLM,ah_rate,50,0.0,0.0,,,,,,
Exp2_LLM,well_rate,50,0.002924182586139924,0.0031665087370652883,1.8788445263482574,0.17671201840309625,69.65150414276444,5.6833204808981463e-11,2.2072367211748043,0.14377046652690506
Exp2_LLM,so_rate,50,0.0025041090011314543,0.0016969862187372995,32.190888445471515,7.417273635290655e-07,161.81142930488963,1.1102230246251565e-16,2.6141732348554254,0.11233341000613506
Exp2_LLM,you_know_rate,50,9.352343232770771e-05,4.069387566265788e-05,2.7485274772017694,0.10373343425799797,17.198237778476063,0.00013326993287909872,1.3523094928983455,0.25050696811748174
Exp2_LLM,i_mean_rate,50,0.0,0.0,,,,,,
Exp2_LLM,like_rate,50,0.0044286658851679424,0.0036293390357915946,16.861027062093036,0.00015201042403578668,76.49472936984489,1.413524852722503e-11,1.8868133413563866,0.17581396046303155
Exp2_LLM,basically_rate,50,0.0,0.0,,,,,,
Exp2_LLM,actually_rate,50,0.00019194809068148286,9.990938515287042e-05,5.72942576171821,0.020556769996361357,7.531376389991117,0.008449990520904227,0.012367842253651687,0.9119034808453063
Exp2_LLM,right_rate,50,0.0004422546991111579,0.0002489268275539881,13.912564014752078,0.0004976006528901733,0.413546842776806,0.5231728797691529,2.667010664627364,0.1088585750565444
Exp2_LLM,okay_rate,50,1.578610524822854e-05,5.725806451612903e-06,1.3138382689849855,0.25726775322898054,3.3722319317293983,0.07237432298933621,0.2399564441084551,0.6264236599684971
Exp2_LLM,filled_pauses_rate,50,0.0,0.0,,,,,,
Exp2_LLM,discourse_connectives_rate,50,0.005428291587271377,0.004863494955802588,5.442820030331453,0.02379831205691052,0.6311499091573076,0.43076489298744725,6.140083810577662,0.016709508252451766
Exp2_LLM,interactional_phrases_rate,50,9.352343232770771e-05,4.069387566265788e-05,2.7485274772017694,0.10373343425799797,17.198237778476063,0.00013326993287909872,1.3523094928983455,0.25050696811748174
Exp2_LLM,quotative_hedge_rate,50,0.0044286658851679424,0.0036293390357915946,16.861027062093036,0.00015201042403578668,76.49472936984489,1.413524852722503e-11,1.8868133413563866,0.17581396046303155
Exp2_LLM,pragmatic_stance_rate,50,0.0006499888950408693,0.0003545620191584714,18.783769172586513,7.253339506396728e-05,3.1613686461843775,0.08160543622331506,2.956960203167192,0.09182011413750124
Exp2_LLM,filler_composite_rate,50,0.010600469799807897,0.008888089886415311,22.97704953691697,1.5649633477332614e-05,32.930880373015974,5.901985301592916e-07,5.249288582283658,0.026294953028583867
