experiment,subject,condition,social_type,um_rate,uh_rate,er_rate,ah_rate,well_rate,so_rate,you_know_rate,i_mean_rate,like_rate,basically_rate,actually_rate,right_rate,okay_rate,filled_pauses_rate,discourse_connectives_rate,interactional_phrases_rate,quotative_hedge_rate,pragmatic_stance_rate,filler_composite_rate
Exp1_Human,sub-001,bot,nonsocial,0.0,0.0,0.0,0.0,0.0,0.00931330706460188,0.002836635210909872,0.0,0.018950543598497335,0.0,0.001808868830145426,0.0014204545454545455,0.0004940711462450593,0.0,0.00931330706460188,0.002836635210909872,0.018950543598497335,0.0037233945218450304,0.034823880395854115
Exp1_Human,sub-001,bot,social,0.0,0.0,0.0,0.0,0.0004761904761904762,0.005559875541078548,0.0020634920634920637,0.0,0.009127943941550235,0.0,0.0,0.0005878894767783657,0.0,0.0,0.006036066017269024,0.0020634920634920637,0.009127943941550235,0.0005878894767783657,0.01781539149908969
Exp1_Human,sub-001,hum,nonsocial,0.0,0.0,0.0,0.0,0.0021935775667118952,0.004760156691509967,0.0050281551793363195,0.00041701417848206843,0.013455133433401307,0.0,0.0005285412262156448,0.0,0.0,0.0,0.006953734258221863,0.005445169357818388,0.013455133433401307,0.0005285412262156448,0.026382578275657206
Exp1_Human,sub-001,hum,social,0.0,0.0,0.0,0.0,0.0014242424242424244,0.0061965308867015685,0.0023483016573335597,0.0,0.0058401133315926865,0.0,0.003114142212796408,0.0005263157894736842,0.0,0.0,0.007620773310943993,0.0023483016573335597,0.0058401133315926865,0.003640458002270092,0.01944964630214033
Exp1_Human,sub-002,bot,nonsocial,0.000572737686139748,0.0,0.0,0.0,0.000572737686139748,0.008721596696479246,0.0,0.0032655293170967005,0.021834901777926574,0.000572737686139748,0.00034083162917518747,0.0,0.00034083162917518747,0.000572737686139748,0.009294334382618993,0.0032655293170967005,0.021834901777926574,0.001254400944490123,0.03622190410827214
Exp1_Human,sub-002,bot,social,0.0044194278921391595,0.0,0.0,0.0,0.0005197505197505198,0.008659111620023575,0.0022764227642276423,0.0036503136200716846,0.021294118064619696,0.0,0.0006009615384615385,0.0,0.0,0.0044194278921391595,0.009178862139774095,0.005926736384299327,0.021294118064619696,0.0006009615384615385,0.041420106019293815
Exp1_Human,sub-002,hum,nonsocial,0.0007412898443291327,0.0,0.0,0.0,0.0005482456140350877,0.00753961322256473,0.0,0.0013050949456572965,0.030116158359623352,0.0,0.0010121457489878543,0.0008097165991902835,0.0,0.0007412898443291327,0.008087858836599817,0.0013050949456572965,0.030116158359623352,0.0018218623481781378,0.04207226433438774
Exp1_Human,sub-002,hum,social,0.00537326979779605,0.0,0.0,0.0,0.0007215007215007216,0.005215246333690644,0.0,0.0012545497620124488,0.017134625948630192,0.0,0.0017235252309879177,0.0,0.0004012841091492777,0.00537326979779605,0.005936747055191365,0.0012545497620124488,0.017134625948630192,0.0021248093401371954,0.03182400190376725
Exp1_Human,sub-003,bot,nonsocial,0.0032272461976859956,0.0,0.0,0.0,0.0030033902512173615,0.018344137564281125,0.007752707315463248,0.0005847953216374269,0.008020056848384857,0.0010845111628986208,0.005434906765986737,0.00033523298692591353,0.0004210526315789474,0.0032272461976859956,0.02134752781549849,0.008337502637100674,0.008020056848384857,0.007275703547390218,0.048208037046060234
Exp1_Human,sub-003,bot,social,0.0,0.0,0.0,0.0,0.0013024249150775232,0.016479366798717282,0.005069041495943682,0.0009459186762183432,0.00918189308515148,0.00034806822137138876,0.0015357191827780063,0.0,0.0,0.0,0.017781791713794806,0.006014960172162026,0.00918189308515148,0.0018837874041493948,0.03486243237525771
Exp1_Human,sub-003,hum,nonsocial,0.0,0.0,0.0,0.00023923444976076553,0.0014232886136910906,0.012756476690147973,0.005792004860454834,0.0,0.009645265312223062,0.0022407803766727767,0.0045440264911149565,0.0003787878787878788,0.0,0.00023923444976076553,0.014179765303839062,0.005792004860454834,0.009645265312223062,0.007163594746575612,0.03701986467285333
Exp1_Human,sub-003,hum,social,0.0,0.0,0.0,0.0,0.0030329440693049165,0.007763944519520503,0.004230524414264905,0.001496631761316568,0.005717720439249251,0.001422475106685633,0.0016624631198248788,0.00034626038781163435,0.0,0.0,0.01079688858882542,0.005727156175581473,0.005717720439249251,0.003431198614322146,0.02567296381797829
Exp1_Human,sub-004,bot,nonsocial,0.0,0.0,0.0,0.0,0.0,0.0038076903175755885,0.0,0.0,0.04681656560040857,0.0,0.0,0.0,0.0,0.0,0.0038076903175755885,0.0,0.04681656560040857,0.0,0.050624255917984154
Exp1_Human,sub-004,bot,social,0.0,0.0013157894736842105,0.0,0.0,0.003264740799366838,0.015900215655417615,0.0,0.0018796992481203006,0.01376053155831549,0.0,0.0,0.002624388840954846,0.0,0.0013157894736842105,0.019164956454784454,0.0018796992481203006,0.01376053155831549,0.002624388840954846,0.0387453655758593
Exp1_Human,sub-004,hum,nonsocial,0.000434593654932638,0.0,0.0,0.0,0.002314266929651545,0.01468313821254998,0.0,0.0,0.04100470503185435,0.0,0.0010256410256410256,0.0,0.00030165912518853697,0.000434593654932638,0.01699740514220152,0.0,0.04100470503185435,0.0013273001508295626,0.05976400397981808
Exp1_Human,sub-004,hum,social,0.0,0.0,0.0,0.003968253968253968,0.00044802867383512545,0.00908584812729639,0.0,0.0026654536458458025,0.013375727509620359,0.0,0.0008680555555555555,0.0015432098765432098,0.0,0.003968253968253968,0.009533876801131515,0.0026654536458458025,0.013375727509620359,0.0024112654320987653,0.03195457735695041
