experiment,subject,condition,um_rate,uh_rate,er_rate,ah_rate,well_rate,so_rate,you_know_rate,i_mean_rate,like_rate,basically_rate,actually_rate,right_rate,okay_rate,filled_pauses_rate,discourse_connectives_rate,interactional_phrases_rate,quotative_hedge_rate,pragmatic_stance_rate,filler_composite_rate
Exp2_LLM,s008,bot,0.0,0.0,0.0,0.0,0.0031741901944688034,0.0017219073356006614,0.0,0.0,0.003071412446219576,0.0,0.00013157894736842105,0.000551061678463094,0.00028629032258064516,0.0,0.004896097530069465,0.0,0.003071412446219576,0.0009689309484121602,0.008936440924701201
Exp2_LLM,s008,hum,0.0,0.0,0.0,0.0,0.0037305513035844323,0.0030832815913630794,0.0,0.0,0.004739979993964257,0.0,0.0,0.0002777777777777778,0.0,0.0,0.0068138328949475125,0.0,0.004739979993964257,0.0002777777777777778,0.011831590666689547
Exp2_LLM,s009,bot,0.0,0.0,0.0,0.0,0.0033393234258178865,0.0016537026743884417,0.0,0.0,0.0024191352714535144,0.0,0.0002770184071441589,0.00038111888111888115,0.0,0.0,0.004993026100206329,0.0,0.0024191352714535144,0.0006581372882630401,0.008070298659922884
Exp2_LLM,s009,hum,0.0,0.0,0.0,0.0,0.003130212686185373,0.0020193711965388224,0.0,0.0,0.0035378577927488706,0.0,0.0,0.00027853137999638266,0.00014285714285714284,0.0,0.005149583882724196,0.0,0.0035378577927488706,0.00042138852285352553,0.009108830198326591
Exp2_LLM,s010,bot,0.0,0.0,0.0,0.0,0.0021739442744577197,0.0010423649968477964,0.0,0.0,0.003996301464207409,0.0,0.0,0.0005420282513251986,0.0,0.0,0.003216309271305516,0.0,0.003996301464207409,0.0005420282513251986,0.007754638986838124
Exp2_LLM,s010,hum,0.0,0.0,0.0,0.0,0.0025146648253731143,0.002675792321048395,0.0,0.0,0.0037649565913484687,0.0,0.0003864042933810376,0.0003401943967981703,0.0,0.0,0.00519045714642151,0.0,0.0037649565913484687,0.0007265986901792079,0.009682012427949187
Exp2_LLM,s011,bot,0.0,0.0,0.0,0.0,0.0033491811409017054,0.001672868366041877,0.0,0.0,0.004054449624286946,0.0,0.00025,0.0002964426877470356,0.0,0.0,0.005022049506943582,0.0,0.004054449624286946,0.0005464426877470356,0.009622941818977562
Exp2_LLM,s011,hum,0.0,0.0,0.0,0.0,0.002499228577212106,0.0033132374817373654,0.0,0.0,0.003868716000231749,0.0,0.00015873015873015873,0.0002702702702702703,0.0,0.0,0.005812466058949472,0.0,0.003868716000231749,0.000429000429000429,0.01011018248818165
Exp2_LLM,s012,bot,0.0,0.0,0.0,0.0,0.00337477897698958,0.003313552784928515,0.0,0.0,0.002611783546023978,0.0,0.00024390243902439024,0.00027504553734061934,0.0,0.0,0.006688331761918095,0.0,0.002611783546023978,0.0005189479763650095,0.009819063284307084
Exp2_LLM,s012,hum,0.0,0.0,0.0,0.0,0.003375138580113301,0.0030708382594245493,0.00017543859649122806,0.0,0.0027682565760940104,0.0,0.0,0.0006561007043343333,0.0,0.0,0.006445976839537851,0.00017543859649122806,0.0027682565760940104,0.0006561007043343333,0.010045772716457423
Exp2_LLM,s013,bot,0.0,0.0,0.0,0.0,0.003571670869943796,0.0016249830383018257,0.0,0.0,0.0036998564048025795,0.0,0.0002631578947368421,0.00033116105865141636,0.0,0.0,0.005196653908245622,0.0,0.0036998564048025795,0.0005943189533882585,0.009490829266436459
Exp2_LLM,s013,hum,0.0,0.0,0.0,0.0,0.0025742467634310207,0.0016995986006775605,0.0,0.0,0.0043717120295731155,0.0,0.0002702702702702703,0.0004441552599447336,0.0001680672268907563,0.0,0.004273845364108581,0.0,0.0043717120295731155,0.0008824927571057602,0.009528050150787455
Exp2_LLM,s014,bot,0.0,0.0,0.0,0.0,0.003321464813115169,0.001128984124133463,0.0,0.0,0.0036281694289450757,0.0,0.0,0.0003871124031007752,0.0,0.0,0.004450448937248632,0.0,0.0036281694289450757,0.0003871124031007752,0.008465730769294483
Exp2_LLM,s014,hum,0.0,0.0,0.0,0.0,0.003481174832592952,0.0016030863063416394,0.0,0.0,0.003154316562197322,0.0,0.0002702702702702703,0.0005244019529733815,0.0,0.0,0.005084261138934592,0.0,0.003154316562197322,0.0007946722232436518,0.009033249924375564
Exp2_LLM,s015,bot,0.0,0.0,0.0,0.0,0.00348851479771514,0.0008333932629707277,0.0002040816326530612,0.0,0.0035886773471122905,0.0,0.00015873015873015873,0.0001234567901234568,0.0,0.0,0.004321908060685868,0.0002040816326530612,0.0035886773471122905,0.0002821869488536155,0.008396853989304835
Exp2_LLM,s015,hum,0.0,0.0,0.0,0.0,0.003718669941898625,0.0019341977058662768,0.0,0.0,0.0036543717590915847,0.0,0.00044700460829493084,0.00010526315789473683,0.0,0.0,0.005652867647764902,0.0,0.0036543717590915847,0.0005522677661896678,0.009859507173046156
Exp2_LLM,s016,bot,0.0,0.0,0.0,0.0,0.00588589045549617,0.0014495976409753413,0.0,0.0,0.004657444380644773,0.0,0.0003846153846153846,0.00016949152542372882,0.0,0.0,0.007335488096471511,0.0,0.004657444380644773,0.0005541069100391135,0.012547039387155396
Exp2_LLM,s016,hum,0.0,0.0,0.0,0.0,0.0020658373789952736,0.0023563197693195243,0.0,0.0,0.005471861477179937,0.0,0.0002380952380952381,0.0008986512185952525,0.0,0.0,0.004422157148314798,0.0,0.005471861477179937,0.0011367464566904907,0.011030765082185225
Exp2_LLM,s017,bot,0.0,0.0,0.0,0.0,0.0026808304684656677,0.0009565217391304348,0.0,0.0,0.0028806926740324685,0.0,0.00022222222222222223,0.0,0.0,0.0,0.003637352207596102,0.0,0.0028806926740324685,0.00022222222222222223,0.006740267103850792
Exp2_LLM,s017,hum,0.0,0.0,0.0,0.0,0.002794000852299642,0.0014465812761364156,0.00043478260869565214,0.0,0.00344085139616997,0.0,0.0,0.00038377192982456135,0.0,0.0,0.0042405821284360575,0.00043478260869565214,0.00344085139616997,0.00038377192982456135,0.00849998806312624
Exp2_LLM,s018,bot,0.0,0.0,0.0,0.0,0.0039045625434902306,0.002357621976282257,0.0,0.0,0.004940001383918291,0.0,0.0001282051282051282,0.0002375,0.0,0.0,0.006262184519772487,0.0,0.004940001383918291,0.00036570512820512823,0.011567891031895906
