Subject,bot,hum
s001,0.3,0.45
s002,0.3,0.55
s003,0.25,0.25
s004,0.3,0.3
s005,0.3,0.55
s006,0.45,0.4
s007,0.3,0.3
s008,0.25,0.3
s009,0.6,0.4
s010,0.2,0.3
s011,0.1,0.5
s012,0.2,0.3
s013,0.15,0.45
s014,0.2,0.55
s015,0.35,0.25
s016,0.35,0.35
s017,0.35,0.5
s018,0.2,0.75
s019,0.25,0.25
s020,0.2,0.55
s021,0.2,0.35
s022,0.15,0.4
s023,0.35,0.65
s024,0.1,0.35
s025,0.25,0.5
s026,0.45,0.35
s027,0.3,0.5
s028,0.15,0.4
s029,0.2,0.45
s030,0.15,0.8
s031,0.25,0.25
s032,0.25,0.45
s033,0.3,0.65
s034,0.2,0.5
s035,0.35,0.55
s036,0.25,0.5
s037,0.15,0.7
s038,0.3,0.3
s039,0.6,0.45
s040,0.25,0.35
s041,0.5,0.35
s042,0.2,0.35
s043,0.3,0.7
s044,0.15,0.4
s045,0.35,0.35
s046,0.35,0.45
s047,0.15,0.5
s048,0.15,0.65
s049,0.1,0.5
s050,0.3,0.35
