human_mean,ai_mean,diff,t,p,cohen_d,ci_lo,ci_hi,n_human,n_ai,dimension,p_fdr
0.19736399,0.16898705,0.028376937,4.028573945362802,5.8216373566933985e-05,0.18016331,0.014833595976233483,0.042274069413542746,1000,1000,10_animacy,7.263622805027872e-05
0.19411604,0.16490008,0.029215962,4.045294458877307,5.424456290169815e-05,0.18091108,0.013989027589559555,0.042547598108649255,1000,1000,11_formality,7.263622805027872e-05
0.19113974,0.1621756,0.028964147,4.014379945302144,6.180282926879735e-05,0.17952853,0.013826792687177658,0.04277497753500938,1000,1000,12_expertise,7.263622805027872e-05
0.19190347,0.16296457,0.028938904,4.0402089902662865,5.5424534672911173e-05,0.18068364,0.014774027094244958,0.042200993001461025,1000,1000,13_helpfulness,7.263622805027872e-05
0.19144778,0.16328834,0.02815944,4.012628453653056,6.225962404309605e-05,0.17945021,0.014324508234858513,0.04246418215334415,1000,1000,14_biological,7.263622805027872e-05
0.19425581,0.1655082,0.028747618,4.029469494050312,5.799683755223195e-05,0.18020335,0.014406559243798255,0.04282746762037277,1000,1000,15_shapes,7.263622805027872e-05
0.191053,0.16303052,0.028022483,3.9589235753820127,7.792343087588286e-05,0.17704846,0.013971082121133804,0.041726238653063775,1000,1000,16_human,8.080948387128593e-05
0.1942959,0.16618176,0.02811414,3.9257546179210085,8.938828431092022e-05,0.1755651,0.013822971284389496,0.04280490428209304,1000,1000,17_ai,8.938828431092022e-05
0.19526061,0.1663682,0.028892413,4.020158208120007,6.0318253346055696e-05,0.17978695,0.014583152532577515,0.042602555453777315,1000,1000,18_attention,7.263622805027872e-05
0.1992774,0.17044796,0.02882944,4.04356794441712,5.4642466375382245e-05,0.18083385,0.01532074548304081,0.04256560318171978,1000,1000,1_phenomenology,7.263622805027872e-05
0.18156041,0.15247889,0.029081523,4.058959970816576,5.119065035386012e-05,0.18152222,0.015119898691773414,0.04206739403307438,1000,1000,20_sysprompt_talkto_human,7.263622805027872e-05
0.18239549,0.15397488,0.028420612,3.9706557025332976,7.421238438294994e-05,0.17757313,0.015018047764897346,0.042050321400165555,1000,1000,21_sysprompt_talkto_ai,8.080948387128593e-05
0.18318622,0.15394673,0.02923949,4.05487807272566,5.208534138118596e-05,0.18133967,0.015397372841835021,0.04370352812111378,1000,1000,22_sysprompt_bare_human,7.263622805027872e-05
0.18513834,0.15670258,0.028435767,3.9636530858510874,7.640677264810473e-05,0.17725995,0.0145978894084692,0.041667182743549344,1000,1000,23_sysprompt_bare_ai,8.080948387128593e-05
0.1934479,0.16455041,0.028897494,4.0363678393357025,5.633187764701313e-05,0.18051185,0.014740941673517227,0.04306062087416649,1000,1000,25_beliefs,7.263622805027872e-05
0.19854413,0.16949017,0.029053956,4.062902357271481,5.034039050941058e-05,0.18169853,0.01330757699906826,0.043128197267651554,1000,1000,26_desires,7.263622805027872e-05
0.20108646,0.17161082,0.029475644,4.0664734560409785,4.9581785004005686e-05,0.18185823,0.015379959717392921,0.04283949807286262,1000,1000,27_goals,7.263622805027872e-05
0.20042123,0.17114396,0.029277265,4.066221981957066,4.963484849563414e-05,0.18184698,0.015167318284511566,0.04408022202551365,1000,1000,2_emotions,7.263622805027872e-05
0.19499522,0.1661828,0.028812423,4.050883779122944,5.297517203450448e-05,0.18116103,0.014656606316566468,0.0418401688337326,1000,1000,30_granite_sandstone,7.263622805027872e-05
0.19168696,0.1631743,0.028512657,4.028370980154886,5.826623809501242e-05,0.18015423,0.014128327742218972,0.042257716506719584,1000,1000,31_squares_triangles,7.263622805027872e-05
0.19214767,0.16346025,0.028687418,4.03504258772265,5.664817786575809e-05,0.1804526,0.013949603214859963,0.04232415854930877,1000,1000,32_horizontal_vertical,7.263622805027872e-05
0.19866526,0.1694056,0.029259667,4.049964939835456,5.318189669999589e-05,0.18111993,0.015200478583574295,0.042856227979063986,1000,1000,3_agency,7.263622805027872e-05
0.2010245,0.17157882,0.029445678,4.067903245469141,4.928110678547639e-05,0.18192217,0.015418315306305885,0.043879730999469756,1000,1000,4_intentions,7.263622805027872e-05
0.19390194,0.16499957,0.028902367,4.028119835509979,5.832799539088247e-05,0.180143,0.014989010617136957,0.0441321812570095,1000,1000,5_prediction,7.263622805027872e-05
0.19335963,0.16419183,0.029167801,4.029423527884304,5.8008086630259604e-05,0.18020129,0.014848035573959351,0.043028098344802854,1000,1000,6_cognitive,7.263622805027872e-05
0.18944655,0.16059004,0.028856516,4.035032432922804,5.6650608017189346e-05,0.18045214,0.014456266909837723,0.04222950004041195,1000,1000,7_social,7.263622805027872e-05
0.19470575,0.16618598,0.02851978,4.015977483576917,6.138895660905357e-05,0.17959999,0.015092902630567551,0.04266934767365455,1000,1000,8_embodiment,7.263622805027872e-05
0.19642827,0.16735505,0.029073223,4.026747066011488,5.8666661751488564e-05,0.1800816,0.0153343316167593,0.04391386583447456,1000,1000,9_roles,7.263622805027872e-05
