experiment,subject,condition,topic,social_type,social,word_count,question_count,tom_count,polite_pos,polite_neg,impolite,politeness_score,nonfluency_count,liwc_filler_count,disfluency_count,like_count,fung_interpersonal_count,fung_referential_count,fung_structural_count,fung_cognitive_count,fung_total_count,demir_modal_count,demir_verb_count,demir_adverb_count,demir_adjective_count,demir_quantifier_count,demir_noun_count,demir_total_count,sentiment,sentiment_pos,sentiment_neg,sentiment_neu,quality,connectedness,tom_rate,politeness_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate
LLM,s004,bot,fashion,nonsocial,0,866,19,11,1,0,0,1,1,13,14,22,69,72,82,34,148,9,6,19,0,2,0,36,0.9913000000000001,0.2542,0.0088,0.7368,3.0,3.0,0.012702078521939953,0.0011547344110854503,0.0011547344110854503,0.015011547344110854,0.016166281755196306,0.025404157043879907,0.07967667436489607,0.08314087759815242,0.09468822170900693,0.03926096997690531,0.17090069284064666,0.010392609699769052,0.006928406466512702,0.021939953810623556,0.0,0.0023094688221709007,0.0,0.04157043879907621
LLM,s004,bot,forgiveness,social,1,1462,1,0,8,0,1,7,2,0,2,1,5,126,104,4,126,19,18,14,2,4,5,62,0.9494400000000001,0.24379999999999996,0.0878,0.6682,3.0,3.0,0.0,0.0047879616963064295,0.0013679890560875513,0.0,0.0013679890560875513,0.0006839945280437756,0.003419972640218878,0.08618331053351573,0.07113543091655267,0.0027359781121751026,0.08618331053351573,0.012995896032831737,0.012311901504787962,0.009575923392612859,0.0013679890560875513,0.0027359781121751026,0.003419972640218878,0.04240766073871409
LLM,s004,bot,gardening,nonsocial,0,697,10,0,4,0,0,4,2,0,2,6,34,49,48,11,77,9,11,7,0,3,0,30,0.9781000000000001,0.25999999999999995,0.026600000000000002,0.7132,3.0,3.0,0.0,0.005738880918220947,0.0028694404591104736,0.0,0.0028694404591104736,0.00860832137733142,0.04878048780487805,0.0703012912482066,0.06886657101865136,0.015781922525107604,0.11047345767575323,0.01291248206599713,0.015781922525107604,0.010043041606886656,0.0,0.00430416068866571,0.0,0.043041606886657105
LLM,s004,bot,hobbies,social,1,933,8,1,8,0,0,8,0,1,1,8,31,87,85,9,111,10,8,8,1,3,0,30,0.99412,0.31779999999999997,0.0196,0.662,3.0,3.0,0.0010718113612004287,0.00857449088960343,0.0,0.0010718113612004287,0.0010718113612004287,0.00857449088960343,0.03322615219721329,0.0932475884244373,0.09110396570203644,0.00964630225080386,0.1189710610932476,0.010718113612004287,0.00857449088960343,0.00857449088960343,0.0010718113612004287,0.003215434083601286,0.0,0.03215434083601286
LLM,s004,bot,love,social,1,953,0,1,1,0,0,1,1,2,3,21,42,72,64,26,107,10,25,8,1,10,0,54,0.99444,0.3224,0.028000000000000004,0.6496000000000001,3.0,3.0,0.001049317943336831,0.001049317943336831,0.001049317943336831,0.002098635886673662,0.0031479538300104933,0.022035676810073453,0.04407135362014691,0.07555089192025184,0.06715634837355719,0.02728226652675761,0.11227701993704092,0.01049317943336831,0.026232948583420776,0.008394543546694649,0.001049317943336831,0.01049317943336831,0.0,0.05666316894018888
LLM,s004,bot,mentorship,social,1,1023,1,0,4,0,0,4,0,0,0,1,21,90,86,6,108,13,11,6,0,11,2,43,0.99236,0.2414,0.0132,0.7454,3.0,3.0,0.0,0.0039100684261974585,0.0,0.0,0.0,0.0009775171065493646,0.020527859237536656,0.08797653958944282,0.08406647116324535,0.005865102639296188,0.10557184750733138,0.01270772238514174,0.010752688172043012,0.005865102639296188,0.0,0.010752688172043012,0.0019550342130987292,0.042033235581622676
LLM,s004,bot,movies,nonsocial,0,954,6,0,4,0,0,4,3,0,3,1,36,77,77,5,109,10,16,9,1,7,1,44,0.98384,0.18980000000000002,0.016599999999999997,0.7936,3.0,3.0,0.0,0.0041928721174004195,0.0031446540880503146,0.0,0.0031446540880503146,0.0010482180293501049,0.03773584905660377,0.08071278825995808,0.08071278825995808,0.005241090146750524,0.11425576519916142,0.010482180293501049,0.016771488469601678,0.009433962264150943,0.0010482180293501049,0.007337526205450734,0.0010482180293501049,0.04612159329140461
LLM,s004,bot,photography,nonsocial,0,901,5,1,2,0,0,2,1,0,1,1,25,50,50,4,71,13,6,14,3,2,3,41,0.9800800000000001,0.18939999999999999,0.0078,0.8028000000000001,3.0,4.0,0.0011098779134295228,0.0022197558268590455,0.0011098779134295228,0.0,0.0011098779134295228,0.0011098779134295228,0.02774694783573807,0.05549389567147614,0.05549389567147614,0.004439511653718091,0.07880133185349611,0.014428412874583796,0.006659267480577136,0.01553829078801332,0.003329633740288568,0.0022197558268590455,0.003329633740288568,0.04550499445061043
LLM,s004,bot,podcasts,nonsocial,0,725,9,1,6,0,2,4,2,1,3,4,34,54,50,7,82,7,5,4,0,6,1,23,0.91256,0.27480000000000004,0.127,0.5982000000000001,3.0,3.0,0.001379310344827586,0.005517241379310344,0.002758620689655172,0.001379310344827586,0.004137931034482759,0.005517241379310344,0.04689655172413793,0.07448275862068965,0.06896551724137931,0.009655172413793104,0.11310344827586206,0.009655172413793104,0.006896551724137931,0.005517241379310344,0.0,0.008275862068965517,0.001379310344827586,0.031724137931034485
LLM,s004,bot,social_media,social,1,1214,2,1,4,0,0,4,2,1,3,2,30,77,70,18,101,18,20,22,0,2,0,62,0.98296,0.1742,0.0236,0.8022,3.0,3.0,0.0008237232289950577,0.0032948929159802307,0.0016474464579901153,0.0008237232289950577,0.002471169686985173,0.0016474464579901153,0.02471169686985173,0.06342668863261944,0.057660626029654036,0.014827018121911038,0.08319604612850082,0.014827018121911038,0.016474464579901153,0.018121911037891267,0.0,0.0016474464579901153,0.0,0.051070840197693576
