experiment,subject,condition,social_type,word_count,question_count,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,tom_rate,politeness_rate,sentiment,quality,connectedness
LLM,s017,hum,nonsocial,196.1,1.98,0.007555204860053061,0.01267162564062623,0.009396874858287928,0.00044999511719889194,0.0055967941901409945,0.0008849268510338918,0.036555421517340994,0.04196685763832986,0.07481391246528066,0.0682938994534214,0.015804694847351305,0.11484086014553112,0.0019932408338188493,0.0024325824483771344,0.004425823282195984,0.010867850506645037,0.0019043906070924806,0.003995656857570833,0.9793559999999999,3.1,3.2
LLM,s017,hum,social,202.1,0.96,0.015351022469612613,0.014205825298255455,0.009113137513355027,0.0013279229128844263,0.00483445342819046,0.002928255846428037,0.04776061746872602,0.039050440241619806,0.07892250015533475,0.07927236972909305,0.016704825428319078,0.11301825451921471,0.0016400967675353388,0.001997258294394008,0.003637355061929347,0.011348775634380248,0.0018010132006005355,0.00599646890043819,0.97311,3.0,3.1
LLM,s018,bot,nonsocial,131.12,1.9,0.01091692038723624,0.011851330517761105,0.012200676603161122,0.000883220208130847,0.00475608649962339,0.0009714036296476019,0.041579637845560305,0.04021749451682595,0.07292316066069694,0.06809651390389862,0.012658993787769706,0.10926970817918683,0.0013537835306871519,0.0024826254864438453,0.0038364090171309974,0.006716719418610768,0.003322790335095222,0.009733619056434502,0.95516,3.0,3.0
LLM,s018,bot,social,201.36,0.9,0.01387786296007087,0.019231590562270473,0.008314658357156567,0.0008433944056484708,0.004505599169658921,0.0030486761371757098,0.04982178159198101,0.027099484368632014,0.0783918458121025,0.07346175258185551,0.008133308841961813,0.09925248069712753,0.000532913857877053,0.0010976639104752384,0.0016305777683522915,0.0051278846901935534,0.0017336657296411532,0.00619647198430552,0.989364,3.0,3.2
LLM,s018,hum,nonsocial,181.32,2.46,0.0073258349864750785,0.006045612194474594,0.010142774045358897,0.0,0.002392375485843615,6.451612903225807e-05,0.025971112841184443,0.04878680358379995,0.08222810113802746,0.08078179323738771,0.01735362841495066,0.1310336396495103,0.0008258180438785455,0.002559139100468586,0.003384957144347131,0.01349372255117258,0.0016516832659696633,0.004470824294660908,0.9016,3.0,3.2
LLM,s018,hum,social,203.44,0.74,0.01774230581856716,0.016694157059748763,0.009522511077327045,0.0008436704588360141,0.0039032412867518124,0.00039266321347246206,0.04909854891470326,0.030335561096747024,0.07762340234964132,0.07479304596186992,0.013399124651191707,0.10480548866742526,0.0019469391585354048,0.0018217011475108544,0.0037686403060462593,0.006323336613736165,0.003201859697056873,0.004619153072326369,0.987716,2.8,3.0
LLM,s019,bot,nonsocial,202.48,1.44,0.010113748019139517,0.012049136561851238,0.0115889008174546,0.001221331051592619,0.005156614324621041,0.000984019900242853,0.04111375067490187,0.03882111050410598,0.07829399183031051,0.07424276961679367,0.012204158958326326,0.11566901841226257,0.0007707036370395442,0.0017439883469924707,0.0025146919840320155,0.007266773145592395,0.0016688986249892809,0.0033244455867696694,0.9828619999999999,3.0,3.0
LLM,s019,bot,social,181.32,0.5,0.013116065051907218,0.01370060146924298,0.010037425645138112,0.000548256552351855,0.004070583085163382,0.0017804820989323427,0.043253413902735884,0.024091660352374644,0.0849413497964687,0.08208462056057528,0.00785240553522099,0.10393075998205113,0.001988610203998955,0.00034820621043111247,0.0023368164144300673,0.002686981355400557,0.00047892516467947844,0.006824462324388133,0.988308,3.0,3.0
LLM,s019,hum,nonsocial,178.54,2.4,0.009656352690827475,0.010763965045983332,0.011020295427437286,0.0002899851794058759,0.005253554045453518,0.0003221963221963222,0.03730634871130381,0.05427603582818876,0.08331325756542148,0.07939815024884672,0.021512393386774083,0.13823728582584943,0.0009050129784119495,0.00545532723943967,0.00636034021785162,0.014821379264034516,0.0035399622743898834,0.00381947675771065,0.9496819999999999,3.0,3.1
LLM,s019,hum,social,236.32,0.84,0.014746111149480847,0.018970955739329082,0.010912152806522413,0.000841272033927086,0.0028682037377089718,0.001547693368931375,0.04988638883589977,0.03237349329585873,0.07774296575533401,0.07250428460166643,0.015321425558791195,0.1064580244988396,0.0018368651908035644,0.0013434079841922809,0.003180273174995845,0.009119512381451122,0.0017925543374533238,0.005022219694771314,0.9763620000000001,3.0,3.0
LLM,s020,bot,nonsocial,180.36,1.76,0.009646918021398701,0.009014684115624269,0.011202421723934904,0.0009879143022945742,0.0048405540707393505,0.001128795695548726,0.03682128792954053,0.03913312564330541,0.07634728638498185,0.07442938214867731,0.00895965145410915,0.11187906490655918,0.0012832031890913928,0.001731846265382906,0.003015049454474299,0.004862157184679896,0.0014301482963690406,0.00472636461472641,0.970664,3.1,3.4
LLM,s020,bot,social,185.34,0.72,0.012713214025641224,0.01409638412603418,0.009615983413551507,0.000197787776527934,0.004315366382264535,0.00047288602482483115,0.04141162174884421,0.02733904657862853,0.0847244608202668,0.0810638969425856,0.007872058720713497,0.1051126355280076,0.0019248368045679122,0.0009502544821972563,0.0028750912867651687,0.002533683225047232,0.0009882241009191953,0.007830121296194491,0.935524,3.0,3.1
LLM,s020,hum,nonsocial,197.36,2.26,0.009050846287021354,0.00735694341981043,0.009599586408628104,0.00011299435028248587,0.006150323858666683,0.0,0.03227069432440906,0.055717777535325606,0.08476775576797901,0.08249531580366087,0.02273342336458685,0.14078517060389484,0.0012867917241650435,0.003603289993672571,0.004890081717837614,0.017835053576888353,0.00290590959731741,0.004660770313541199,0.984512,3.0,2.9
LLM,s020,hum,social,204.64,0.56,0.011774490540189485,0.013802040348319446,0.009841682035775144,0.0007077840099880714,0.005382402614272161,0.0015784088733558793,0.043086808421900186,0.03281830679429284,0.0770783354021849,0.07403779042290125,0.014678264096387117,0.10635885210079342,0.0009765440348817174,0.0017603852854360651,0.0027369293203177826,0.008681352085192358,0.0010547953016757643,0.005983709677638246,0.976896,3.0,3.1
