metric,metric_col,turn,human_mean,ai_mean,diff,t,p
Type-Token Ratio (TTR),sub_ttr,1,0.7283286270547398,0.7160707752665084,0.012257851788231355,3.250920124320366,0.001169453835291414
Type-Token Ratio (TTR),sub_ttr,5,0.5786566057498306,0.582363477212486,-0.00370687146265547,-0.8844862837179862,0.3765401859335874
Trigram Repetition Rate,sub_trigram_rep,1,0.009161755994441642,0.010781902007727488,-0.0016201460132858458,-2.4378827831219825,0.014860210331499094
Trigram Repetition Rate,sub_trigram_rep,5,0.06715726770268202,0.058842751592354574,0.008314516110327443,2.5093383827371456,0.012174312818521077
Word Count,sub_word_count,1,124.896,127.908,-3.0120000000000005,-1.3490893464810843,0.17746113490799234
Word Count,sub_word_count,5,213.056,211.939,1.1170000000000186,0.33258506604030313,0.7394824078114854
Self-Reference Rate,sub_self_ref_rate,1,0.045581755011906484,0.04428017131052637,0.0013015837013801157,1.1455780254650918,0.25210698679958776
Self-Reference Rate,sub_self_ref_rate,5,0.03436982402125426,0.03466107991860617,-0.00029125589735190527,-0.2865814149199824,0.7744625596838175
ALL-CAPS Ratio,sub_allcaps_ratio,1,0.0012720137360032802,0.0003115669302732611,0.0009604468057300192,4.861783514516165,1.2541196183247459e-06
ALL-CAPS Ratio,sub_allcaps_ratio,5,0.06410750037137601,0.053661747354510375,0.010445753016865636,1.1602274956953846,0.24609481103617717
Exclamation Rate,sub_exclamation_rate,1,0.018953125746893514,0.014933774791009845,0.004019350955883669,7.14369912935491,1.2674228840469746e-12
Exclamation Rate,sub_exclamation_rate,5,0.06033877968332557,0.0161890795349379,0.04414970014838767,1.0949610671685097,0.27366566877461557
Emoji Count,sub_emoji_count,1,0.153,0.053,0.1,5.503883977664961,4.1934142677528415e-08
Emoji Count,sub_emoji_count,5,1.389,1.151,0.238,1.755118989742547,0.07939220487640798
